x0,y0,x_final,y_final,max_deviation,bending_angle
-8.000000000000000000e+00,-3.000000000000000000e+00,-3.260137342907907687e+00,-2.986377322146184010e+00,1.362267785381598983e-02,8.946510485295734727e-02
-8.000000000000000000e+00,-2.996998499249624803e+00,-3.260137342907907687e+00,-2.983375821395808813e+00,1.362267785381598983e-02,8.946510485295734727e-02
-8.000000000000000000e+00,-2.993996998499249607e+00,-3.260137342907907687e+00,-2.980374320645433617e+00,1.362267785381598983e-02,8.946510485295734727e-02
-8.000000000000000000e+00,-2.990995497748874410e+00,-3.260137342907907687e+00,-2.977372819895058420e+00,1.362267785381598983e-02,8.946510485295734727e-02
-8.000000000000000000e+00,-2.987993996998499213e+00,-3.260137342907907687e+00,-2.974371319144683223e+00,1.362267785381598983e-02,8.946510485295734727e-02
-8.000000000000000000e+00,-2.984992496248124016e+00,-3.260137342907907687e+00,-2.971369818394308027e+00,1.362267785381598983e-02,8.946510485295734727e-02
-8.000000000000000000e+00,-2.981990995497748820e+00,-3.260137342907907687e+00,-2.968368317643932830e+00,1.362267785381598983e-02,8.946510485295734727e-02
-8.000000000000000000e+00,-2.978989494747373623e+00,-3.260137342907907687e+00,-2.965366816893557633e+00,1.362267785381598983e-02,8.946510485295734727e-02
-8.000000000000000000e+00,-2.975987993996998426e+00,-3.260137342907907687e+00,-2.962365316143182437e+00,1.362267785381598983e-02,8.946510485295734727e-02
-8.000000000000000000e+00,-2.972986493246623230e+00,-3.260136614426573765e+00,-2.959437411048040811e+00,1.354908219858241836e-02,8.882798486968163099e-02
-8.000000000000000000e+00,-2.969984992496248033e+00,-3.260130012886762518e+00,-2.957676642912912435e+00,1.230834958333559825e-02,8.927720168312358595e-02
-8.000000000000000000e+00,-2.966983491745872836e+00,-3.260132053176334033e+00,-2.954213998498024907e+00,1.276949324784792950e-02,8.917282340055648904e-02
-8.000000000000000000e+00,-2.963981990995497640e+00,-3.260124699137346926e+00,-2.953608343920727908e+00,1.037364707476973180e-02,9.035590211909505509e-02
-8.000000000000000000e+00,-2.960980490245122443e+00,-3.260122265533261121e+00,-2.951355078123493847e+00,9.625412121628595941e-03,9.069036593223381293e-02
-8.000000000000000000e+00,-2.957978989494747246e+00,-3.260114906105856303e+00,-2.955415744979669412e+00,9.307517876364190812e-03,9.219469072233665852e-02
-8.000000000000000000e+00,-2.954977488744372049e+00,-3.260123946386478178e+00,-2.948446595504155443e+00,8.632392500790064815e-03,9.073734591129592464e-02
-8.000000000000000000e+00,-2.951975987993996853e+00,-3.260108947736024110e+00,-2.951504450367640420e+00,9.848948361465659218e-03,9.016033557434549595e-02
-8.000000000000000000e+00,-2.948974487243621656e+00,-3.260114427407516224e+00,-2.946795896855287644e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.945972986493246459e+00,-3.260114427407516224e+00,-2.943794396104912447e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.942971485742871263e+00,-3.260114427407516224e+00,-2.940792895354537251e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.939969984992496066e+00,-3.260114427407516224e+00,-2.937791394604162054e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.936968484242120869e+00,-3.260114427407516224e+00,-2.934789893853786857e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.933966983491745673e+00,-3.260114427407516224e+00,-2.931788393103411661e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.930965482741370476e+00,-3.260114427407516224e+00,-2.928786892353036464e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.927963981990995279e+00,-3.260114427407516224e+00,-2.925785391602661267e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.924962481240620527e+00,-3.260114427407516224e+00,-2.922783890852286515e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.921960980490245330e+00,-3.260114427407516224e+00,-2.919782390101911318e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.918959479739870133e+00,-3.260114427407516224e+00,-2.916780889351536121e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.915957978989494936e+00,-3.260114427407516224e+00,-2.913779388601160925e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.912956478239119740e+00,-3.260114427407516224e+00,-2.910777887850785728e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.909954977488744543e+00,-3.260114427407516224e+00,-2.907776387100410531e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.906953476738369346e+00,-3.260114427407516224e+00,-2.904774886350035334e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.903951975987994150e+00,-3.260114427407516224e+00,-2.901773385599660138e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.900950475237618953e+00,-3.260114427407516224e+00,-2.898771884849284941e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.897948974487243756e+00,-3.260114427407516224e+00,-2.895770384098909744e+00,9.745672346708644795e-03,9.073066986027683578e-02
-8.000000000000000000e+00,-2.894947473736868560e+00,-3.260114427407516224e+00,-2.892768883348534548e+00,9.745672346708644795e-03,9.073066986027683578e-02
