removed_mechanism,remaining_combination,candidate_code,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,mean_kappa_bias,mean_gamma_bias,delta_pearson_kappa_vs_control,delta_ssim_kappa_vs_control,delta_kappa_bias_vs_control,delta_pearson_kappa_vs_full_c10,delta_ssim_kappa_vs_full_c10,delta_kappa_bias_vs_full_c10,lost_pearson_kappa,lost_ssim_kappa,lost_kappa_bias
Coherence (A),Memory only,C10-B,0.09458271637575731,0.08242904852747251,-0.009290403902590946,0.09525493843840627,-0.0625772018495527,-0.03018714192585606,0.005072631068405872,0.001289173772380265,-0.00022985398733503526,-0.008814121765323646,0.002442183343537494,-0.0013971938058815608,0.008814121765323646,-0.002442183343537494,0.0013971938058815608
Elastic Memory (B),Coherence only,C10-A,0.09346934011095223,0.08103140360220153,-0.012931028445331597,0.08688438898390699,-0.0608517029498576,-0.03471757610608567,0.003959254803600792,-0.0023514507703603863,0.0014956449123600668,-0.009927498030128726,-0.0011984411992031572,0.0003283050938135412,0.009927498030128726,0.0011984411992031572,-0.0003283050938135412
