combination,n_mechanisms,mechanism_a,mechanism_b,candidate_code,candidate_name,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,median_rms_kappa,median_rms_gamma,mean_kappa_bias,mean_gamma_bias,max_conservation_error,median_runtime_seconds,delta_pearson_kappa_vs_control,delta_ssim_kappa_vs_control,delta_kappa_bias_vs_control,interaction_pearson_kappa,interaction_ssim_kappa,interaction_kappa_bias
CONTROL,0,no,no,CONTROL,Gradient (control),0.08951008530735144,0.08360319633681881,-0.01057957767497121,0.09290241574484291,0.1558016447600129,0.06971014058135759,-0.06234734786221767,-0.028311712667677076,2.220446049250313e-16,0.23063710797578096,0.0,0.0,0.0,,,
C10-A,1,yes,no,C10-A,Neighbour Coherence only,0.09346934011095223,0.08103140360220153,-0.012931028445331597,0.08688438898390699,0.1434351816680834,0.06860991439339473,-0.0608517029498576,-0.03471757610608567,2.220446049250313e-16,0.21581926103681326,0.003959254803600792,-0.0023514507703603863,0.0014956449123600668,,,
C10-B,1,no,yes,C10-B,Elastic Memory only,0.09458271637575731,0.08242904852747251,-0.009290403902590946,0.09525493843840627,0.15550679140404888,0.06887400555359507,-0.0625772018495527,-0.03018714192585606,2.220446049250313e-16,0.2276368080638349,0.005072631068405872,0.001289173772380265,-0.00022985398733503526,,,
C10-C,2,yes,yes,C10-C,Combined (original C10),0.10339683814108096,0.08236006923316277,-0.01173258724612844,0.09103655200761389,0.13989696057451279,0.0678596209492412,-0.061180008043671144,-0.03786427711038008,2.220446049250313e-16,0.22254384099505842,0.013886752833729518,-0.0011530095711572291,0.0011673398185465256,,,
AB,2,yes,yes,C10-C,Combined (original C10),0.10339683814108096,0.08236006923316277,-0.01173258724612844,0.09103655200761389,0.13989696057451279,0.0678596209492412,-0.061180008043671144,-0.03786427711038008,2.220446049250313e-16,0.22254384099505842,0.013886752833729518,-0.0011530095711572291,0.0011673398185465256,0.0048548669617228535,-9.073257317710783e-05,-9.845110647850597e-05
