rank,candidate_code,candidate_name,candidate_family,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,mean_kappa_bias,mean_gamma_bias,alone_contribution_pearson_kappa,alone_contribution_kappa_bias,combined_contribution_pearson_kappa,lost_when_removed_pearson_kappa,is_redundant
1,C10-C,Combined (original C10),combined response,0.10339683814108096,0.08236006923316277,-0.01173258724612844,0.09103655200761389,-0.061180008043671144,-0.03786427711038008,0.013886752833729518,0.0011673398185465256,0.013886752833729518,0.0,True
2,C10-B,Elastic Memory only,elastic memory,0.09458271637575731,0.08242904852747251,-0.009290403902590946,0.09525493843840627,-0.0625772018495527,-0.03018714192585606,0.005072631068405872,-0.00022985398733503526,0.013886752833729518,0.008814121765323646,False
3,C10-A,Neighbour Coherence only,neighbour coherence,0.09346934011095223,0.08103140360220153,-0.012931028445331597,0.08688438898390699,-0.0608517029498576,-0.03471757610608567,0.003959254803600792,0.0014956449123600668,0.013886752833729518,0.009927498030128726,False
