candidate_code,candidate_name,candidate_family,cluster_id,cluster_label,rms_kappa,rms_gamma,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,kappa_bias,gamma_bias,std_resid_kappa,std_resid_gamma,max_conservation_error,runtime_seconds,n_photons,grid_n,step,steps
CONTROL,Gradient (control),gradient,Abell2744,Abell 2744,0.1558016447600129,0.06082155109478467,0.014001283242230248,0.0894846182223967,-0.01057957767497121,0.10079111678948749,-0.05939227269880529,0.0015525044615070048,0.14403718427404782,0.060801733589368176,2.220446049250313e-16,0.23342589801177382,20000,256,0.03,160
CONTROL,Gradient (control),gradient,MACS0416,MACS J0416,0.18596014429000082,0.06527636650253028,0.018967012754256992,0.11745442862258898,0.00036284712828226834,0.12674274391854978,-0.09848896238078059,-0.012579496017368443,0.15773743865523845,0.06405279309851888,2.220446049250313e-16,0.23048205790109932,20000,256,0.03,160
CONTROL,Gradient (control),gradient,MACS1149,MACS J1149,0.08559205111477881,0.11556336632138196,0.23902221907516175,0.007503044877968726,0.10812500268698974,0.012020953045169697,-0.03243890908757914,-0.09306476324719898,0.07920679510776008,0.06851161563758894,2.220446049250313e-16,0.2307111790869385,20000,256,0.03,160
CONTROL,Gradient (control),gradient,AbellS1063,Abell S1063,0.1353950414190409,0.06971014058135759,0.08951008530735144,0.08360319633681881,-0.03831386987622781,0.09290241574484291,-0.05393297259251046,-0.02199898193895887,0.12418957970860244,0.06614792886796986,2.220446049250313e-16,0.23063710797578096,20000,256,0.03,160
CONTROL,Gradient (control),gradient,Abell370,Abell 370,0.17914589435421172,0.09173287793351412,0.1953536511633862,-0.0171367048166958,-0.03980978502957958,0.012167844121246184,-0.0674836225514129,-0.015467826596366079,0.1659494264868331,0.09041939633922443,2.220446049250313e-16,0.22576683305669576,20000,256,0.03,160
C10-A,Neighbour Coherence only,neighbour coherence,Abell2744,Abell 2744,0.1434351816680834,0.05724860755124785,0.025552008433447612,0.08602641258061179,-0.012931028445331597,0.09730302935648207,-0.05801932940433457,-0.0053674948202604746,0.1311770130610825,0.05699643029095129,2.220446049250313e-16,0.2151473299600184,20000,256,0.03,160
C10-A,Neighbour Coherence only,neighbour coherence,MACS0416,MACS J0416,0.17308038419594962,0.06317707884151429,0.023460949573156642,0.1136421932846943,0.0010031554738130415,0.1238968013897513,-0.0973736975963178,-0.019916586492830846,0.14309151760268107,0.059955590843727834,2.220446049250313e-16,0.21581926103681326,20000,256,0.03,160
C10-A,Neighbour Coherence only,neighbour coherence,MACS1149,MACS J1149,0.08327742392685923,0.11704020936219105,0.23911900847125556,0.008170083053282583,0.09601373008645635,0.01124098962943528,-0.033313169778973736,-0.0954782322314809,0.07632405947780226,0.06769281924618678,2.220446049250313e-16,0.21673522400669754,20000,256,0.03,160
C10-A,Neighbour Coherence only,neighbour coherence,AbellS1063,Abell S1063,0.126077414545249,0.06860991439339473,0.09346934011095223,0.08103140360220153,-0.03055547736471414,0.08688438898390699,-0.050951379383086595,-0.026318632511446893,0.11532333414090727,0.0633612652635375,2.220446049250313e-16,0.22251986293122172,20000,256,0.03,160
C10-A,Neighbour Coherence only,neighbour coherence,Abell370,Abell 370,0.16048382659710878,0.08956506092904033,0.20631671653200134,0.01287153576071917,-0.029172744707107526,0.04055346396815385,-0.06460093858657537,-0.026506934474409223,0.14690737671398396,0.08555280570496845,2.220446049250313e-16,0.21548538992647082,20000,256,0.03,160
