x0,y0,x_final,y_final,max_deviation,bending_angle
-7.989361702127659726e+00,-2.978723404255319451e+00,-3.219520500697124366e+00,-3.013082417756202336e+00,3.435901350088288453e-02,5.764342804027393352e-02
-7.968085106382979177e+00,-2.978723404255319451e+00,-3.198193118600801022e+00,-3.005869884631480193e+00,2.714648037616074205e-02,5.624439909685999966e-02
-7.946808510638297740e+00,-2.978723404255319451e+00,-3.176925079160523246e+00,-3.006935762098426057e+00,2.821235784310660577e-02,5.758631125040199195e-02
-7.925531914893617191e+00,-2.978723404255319451e+00,-3.155624893684293664e+00,-3.003037146618559472e+00,2.431374236324002069e-02,5.646703158538011330e-02
-7.904255319148935754e+00,-2.978723404255319451e+00,-3.134374019890513896e+00,-3.007555667424195889e+00,2.883226316887643748e-02,5.736734648970098077e-02
-7.882978723404255206e+00,-2.978723404255319451e+00,-3.113058346846591107e+00,-2.998691133223309269e+00,1.996772896798981733e-02,5.944064462436696172e-02
-7.861702127659574657e+00,-2.978723404255319451e+00,-3.091799833610593851e+00,-3.004474019403606366e+00,2.575061514828691500e-02,5.742739089179535461e-02
-7.840425531914894108e+00,-2.978723404255319451e+00,-3.070588239810329245e+00,-3.014127513239323708e+00,3.540410898400425665e-02,5.902977574650022929e-02
-7.819148936170212671e+00,-2.978723404255319451e+00,-3.049247149302237503e+00,-3.004015898050801603e+00,2.529249379548215160e-02,5.829601165356437797e-02
-7.797872340425532123e+00,-2.978723404255319451e+00,-3.028009355065497399e+00,-3.011024989813040786e+00,3.230158555772133511e-02,5.776767861931569881e-02
-7.776595744680850686e+00,-2.978723404255319451e+00,-3.006705878272228016e+00,-3.006670358082574879e+00,2.794695382725542743e-02,5.680481623433765448e-02
-7.755319148936170137e+00,-2.978723404255319451e+00,-2.985430996718824392e+00,-3.006749659561079646e+00,2.802625530576019486e-02,5.750419621813815385e-02
-7.734042553191489588e+00,-2.978723404255319451e+00,-2.964101571149404979e+00,-2.993302968682907572e+00,1.457956442758812088e-02,5.893911420599433348e-02
-7.712765957446809040e+00,-2.978723404255319451e+00,-2.942829485737668893e+00,-2.997288921217241331e+00,1.856551696192187961e-02,5.663683690519685787e-02
-7.691489361702127603e+00,-2.978723404255319451e+00,-2.921592660473063319e+00,-3.005038204461619067e+00,2.631480020629961558e-02,5.929668571358557433e-02
-7.670212765957447054e+00,-2.978723404255319451e+00,-2.900259155936152133e+00,-2.990626126374172689e+00,1.190272211885323728e-02,5.930485432185254868e-02
-7.648936170212765617e+00,-2.978723404255319451e+00,-2.879016587528827831e+00,-3.001489223559304698e+00,2.276581930398524634e-02,5.833579978365752150e-02
-7.627659574468085069e+00,-2.978723404255319451e+00,-2.857732144926449003e+00,-2.999393183207718305e+00,2.066977895239885399e-02,5.852598698962873519e-02
-7.606382978723404520e+00,-2.978723404255319451e+00,-2.836465582377471595e+00,-3.001617889857245647e+00,2.289448560192619553e-02,5.918595991180271298e-02
