x0,y0,x_final,y_final,max_deviation,bending_angle
-8.000000000000000000e+00,-3.000000000000000000e+00,-3.260124463918311122e+00,-2.975819751413113057e+00,2.418024858688694323e-02,2.241882466478378397e-02
-8.000000000000000000e+00,-2.996998499249624803e+00,-3.260124463918311122e+00,-2.972818250662737860e+00,2.418024858688694323e-02,2.241882466478378397e-02
-8.000000000000000000e+00,-2.993996998499249607e+00,-3.260124463918311122e+00,-2.969816749912362663e+00,2.418024858688694323e-02,2.241882466478378397e-02
-8.000000000000000000e+00,-2.990995497748874410e+00,-3.260124463918311122e+00,-2.966815249161987467e+00,2.418024858688694323e-02,2.241882466478378397e-02
-8.000000000000000000e+00,-2.987993996998499213e+00,-3.260124463918311122e+00,-2.963813748411612270e+00,2.418024858688694323e-02,2.241882466478378397e-02
-8.000000000000000000e+00,-2.984992496248124016e+00,-3.260124463918311122e+00,-2.960812247661237073e+00,2.418024858688694323e-02,2.241882466478378397e-02
-8.000000000000000000e+00,-2.981990995497748820e+00,-3.260128303379201675e+00,-2.957497547060540022e+00,2.449344843720879794e-02,2.022211938207280069e-02
-8.000000000000000000e+00,-2.978989494747373623e+00,-3.260130291331008845e+00,-2.954348786685480288e+00,2.464070806189333496e-02,1.958527450093575095e-02
-8.000000000000000000e+00,-2.975987993996998426e+00,-3.260130079201279951e+00,-2.951360841473360086e+00,2.462715252363834040e-02,1.953396584926355914e-02
-8.000000000000000000e+00,-2.972986493246623230e+00,-3.260136672691100745e+00,-2.947833464630742917e+00,2.515302861588031291e-02,2.012009307022674318e-02
-8.000000000000000000e+00,-2.969984992496248033e+00,-3.260156041378192704e+00,-2.943266339246974006e+00,2.671865324927402696e-02,2.012414261715833250e-02
-8.000000000000000000e+00,-2.966983491745872836e+00,-3.260171635145708624e+00,-2.939040901149719609e+00,2.794259059615322727e-02,1.967329498729998918e-02
-8.000000000000000000e+00,-2.963981990995497640e+00,-3.260174364163861860e+00,-2.935826627432928770e+00,2.815536356256886918e-02,1.947484306474241492e-02
-8.000000000000000000e+00,-2.960980490245122443e+00,-3.260158742863235481e+00,-2.934154413271785611e+00,2.682607697333683205e-02,1.887592243221874674e-02
-8.000000000000000000e+00,-2.957978989494747246e+00,-3.260092849573608564e+00,-2.938121768690065139e+00,1.985722080468210748e-02,1.665513361620467314e-02
-8.000000000000000000e+00,-2.954977488744372049e+00,-3.260092849573608564e+00,-2.935120267939689942e+00,1.985722080468210748e-02,1.665513361620467314e-02
-8.000000000000000000e+00,-2.951975987993996853e+00,-3.260092849573608564e+00,-2.932118767189314745e+00,1.985722080468210748e-02,1.665513361620467314e-02
-8.000000000000000000e+00,-2.948974487243621656e+00,-3.260092849573608564e+00,-2.929117266438939549e+00,1.985722080468210748e-02,1.665513361620467314e-02
-8.000000000000000000e+00,-2.945972986493246459e+00,-3.260092849573608564e+00,-2.926115765688564352e+00,1.985722080468210748e-02,1.665513361620467314e-02
-8.000000000000000000e+00,-2.942971485742871263e+00,-3.260092849573608564e+00,-2.923114264938189155e+00,1.985722080468210748e-02,1.665513361620467314e-02
-8.000000000000000000e+00,-2.939969984992496066e+00,-3.260092849573608564e+00,-2.920112764187813958e+00,1.985722080468210748e-02,1.665513361620467314e-02
-8.000000000000000000e+00,-2.936968484242120869e+00,-3.260092849573608564e+00,-2.917111263437438762e+00,1.985722080468210748e-02,1.665513361620467314e-02
-8.000000000000000000e+00,-2.933966983491745673e+00,-3.260092849573608564e+00,-2.914109762687063565e+00,1.985722080468210748e-02,1.665513361620467314e-02
-8.000000000000000000e+00,-2.930965482741370476e+00,-3.260092849573608564e+00,-2.911108261936688368e+00,1.985722080468210748e-02,1.665513361620467314e-02
-8.000000000000000000e+00,-2.927963981990995279e+00,-3.260092849573608564e+00,-2.908106761186313172e+00,1.985722080468210748e-02,1.665513361620467314e-02
-8.000000000000000000e+00,-2.924962481240620527e+00,-3.260092849573608564e+00,-2.905105260435938419e+00,1.985722080468210748e-02,1.665513361620467314e-02
