A,B,cluster_id,cluster_label,rms_kappa,rms_gamma,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,kappa_bias,gamma_bias,std_resid_kappa,std_resid_gamma,max_conservation_error,runtime_seconds
0.0,0.0,Abell2744,Abell 2744,0.1558016447600129,0.06082155109478467,0.014001283242230248,0.0894846182223967,-0.01057957767497121,0.10079111678948749,-0.05939227269880529,0.0015525044615070048,0.14403718427404782,0.060801733589368176,2.220446049250313e-16,0.23478632397018373
0.0,0.0,MACS0416,MACS J0416,0.18596014429000082,0.06527636650253028,0.018967012754256992,0.11745442862258898,0.00036284712828226834,0.12674274391854978,-0.09848896238078059,-0.012579496017368443,0.15773743865523845,0.06405279309851888,2.220446049250313e-16,0.23124814499169588
0.0,0.0,MACS1149,MACS J1149,0.08559205111477881,0.11556336632138196,0.23902221907516175,0.007503044877968726,0.10812500268698974,0.012020953045169697,-0.03243890908757914,-0.09306476324719898,0.07920679510776008,0.06851161563758894,2.220446049250313e-16,0.2253378399182111
0.0,0.0,AbellS1063,Abell S1063,0.1353950414190409,0.06971014058135759,0.08951008530735144,0.08360319633681881,-0.03831386987622781,0.09290241574484291,-0.05393297259251046,-0.02199898193895887,0.12418957970860244,0.06614792886796986,2.220446049250313e-16,0.22772927512414753
0.0,0.0,Abell370,Abell 370,0.17914589435421172,0.09173287793351412,0.1953536511633862,-0.0171367048166958,-0.03980978502957958,0.012167844121246184,-0.0674836225514129,-0.015467826596366079,0.1659494264868331,0.09041939633922443,2.220446049250313e-16,0.22179944103118032
0.0,0.25,Abell2744,Abell 2744,0.155512439318976,0.06025385271698936,0.010736726817498422,0.08618490995698541,-0.00962992504559003,0.09857329872491453,-0.059415132188122916,0.00010731154684063333,0.1437148595309687,0.060253757156484115,2.220446049250313e-16,0.21579896612092853
0.0,0.25,MACS0416,MACS J0416,0.18593929539059867,0.06500052757107595,0.01516438687994717,0.13029066321095836,0.0003247409917226055,0.13877713160497787,-0.09846697637502061,-0.013271240048354224,0.15772658664256145,0.06363130339775513,2.220446049250313e-16,0.21584586496464908
0.0,0.25,MACS1149,MACS J1149,0.08564534599335996,0.1161830217878966,0.23588021659314692,-0.01461573030525309,0.10621723464025354,0.006062437295041763,-0.03249549581286708,-0.09361336882174043,0.07924120167058472,0.06881156683008792,2.220446049250313e-16,0.21238796703983098
0.0,0.25,AbellS1063,Abell S1063,0.13456833960428097,0.06920760246734897,0.09225521450357994,0.08575210226518742,-0.03941925485598113,0.09525407347198091,-0.05388778616118238,-0.022680807576158386,0.12330752015388101,0.06538557338566271,2.220446049250313e-16,0.21295836882200092
0.0,0.25,Abell370,Abell 370,0.1787618348355792,0.09069931298483525,0.19320193572421204,-0.00701715645184981,-0.039954542698850834,0.022129343131447658,-0.06757302225279228,-0.01758005004984197,0.16549827871433145,0.08897925160488908,2.220446049250313e-16,0.21425873087719083
0.0,0.5,Abell2744,Abell 2744,0.15550679140404888,0.060280194443209326,0.00882936582205614,0.08242904852747251,-0.009290403902590946,0.09525493843840627,-0.05973153456686126,-0.0009662063208238462,0.14357752592613593,0.06027245048491661,2.220446049250313e-16,0.21676435798872262
0.0,0.5,MACS0416,MACS J0416,0.1864769043382551,0.06513827541996028,0.01050875630644144,0.14032245890989511,0.00010880282815462606,0.14779029516636996,-0.09893159955480386,-0.013677308334780432,0.15807015676941255,0.0636861536081584,2.220446049250313e-16,0.21715923899319023
0.0,0.5,MACS1149,MACS J1149,0.08573735470090346,0.11673128781864259,0.23279686064059885,-0.03892402666614597,0.10530315343603279,-0.0001606725768125901,-0.032456797284022156,-0.09396663716630785,0.07935647611362556,0.06925651345147421,2.220446049250313e-16,0.2137984709115699
