A,B,label
0.0,0.0,CONTROL (pure gradient)
0.0,0.25,"A=0.0, B=0.25"
0.0,0.5,memory only at B=0.5 (C10-B)
0.0,0.75,"A=0.0, B=0.75"
0.0,1.0,memory only at B=1
0.25,0.0,"A=0.25, B=0.0"
0.25,0.25,"A=0.25, B=0.25"
0.25,0.5,"A=0.25, B=0.5"
0.25,0.75,"A=0.25, B=0.75"
0.25,1.0,"A=0.25, B=1.0"
0.5,0.0,"A=0.5, B=0.0"
0.5,0.25,"A=0.5, B=0.25"
0.5,0.5,"A=0.5, B=0.5"
0.5,0.75,"A=0.5, B=0.75"
0.5,1.0,"A=0.5, B=1.0"
0.75,0.0,"A=0.75, B=0.0"
0.75,0.25,"A=0.75, B=0.25"
0.75,0.5,"A=0.75, B=0.5"
0.75,0.75,"A=0.75, B=0.75"
0.75,1.0,"A=0.75, B=1.0"
1.0,0.0,C10-A (coherence only)
1.0,0.25,"A=1.0, B=0.25"
1.0,0.5,"ORIGINAL C10 (A=1, B=0.5)"
1.0,0.75,"A=1.0, B=0.75"
1.0,1.0,"maximum combined (A=1, B=1)"
