A,B,median_pearson_kappa,delta_A,delta_B,grad_A,grad_B,grad_magnitude,hessian_AA,hessian_AB,hessian_BB,hessian_dominant_eigenvalue,hessian_dominant_eigenvector_angle_deg,is_local_max,neighborhood_mean,neighborhood_std
0.0,0.0,0.08951008530735144,0.0008194491591941577,0.0027451291962285046,0.003277796636776631,0.010980516784914018,0.011459306246708075,nan,nan,nan,nan,nan,False,0.0914515953489439,0.0016417724881146285
0.0,0.25,0.09225521450357994,0.0014563326147186972,0.002536315534202936,0.005825330458874789,0.010145262136811745,0.01169875287283736,nan,nan,-0.00668203718481819,nan,nan,False,0.09283777722296983,0.002447817819452174
0.0,0.5,0.09458271637575731,0.0020548491905288124,0.0015533367793039016,0.00821939676211525,0.006213347117215606,0.01030359963954744,nan,nan,-0.024773282971950916,nan,nan,False,0.0950850814558211,0.0018667286541906604
0.0,0.75,0.09536188806218775,0.002599669046629019,0.0011226642948680282,0.010398676186516076,0.004490657179472113,0.011326891380054854,nan,nan,0.010991763470002969,nan,nan,False,0.09679296909724013,0.0015836781151266175
0.0,1.0,0.09682804496549337,0.0025579975394060678,0.001466156903305621,0.010231990157624271,0.005864627613222484,0.011793535501599664,nan,nan,nan,nan,nan,False,0.09738438316034934,0.0014781549739081377
0.25,0.0,0.0903295344665456,0.0006903613580132584,0.003382012651753044,0.0027614454320530335,0.013528050607012176,0.01380701756716812,-0.004130809637788779,nan,nan,nan,nan,False,0.09192649592762181,0.0018873423975671894
0.25,0.25,0.09371154711829864,0.0013032858214987106,0.0031540155498702635,0.005213143285994842,0.012616062199481054,0.013650710177184475,-0.004897497383039573,0.009870787789034496,-0.007295907260248979,0.0038466645156461205,-138.46346705293436,False,0.09346782150520186,0.0028195987562761415
0.25,0.5,0.09663756556628612,0.0019242098316425704,0.0021250049952590624,0.007696839326570282,0.00850001998103625,0.011466981961137566,-0.004180459484359744,0.00935599518042085,-0.025632430487309454,-0.0006733353187974274,-159.45133222610485,False,0.09601231882453742,0.0023965089663552466
0.25,0.75,0.09796155710881677,0.002472785219051317,0.0013742384693066559,0.009891140876205268,0.0054969538772266235,0.011315969678348185,-0.004060282482486466,0.007842812260529686,0.0016079016568324445,0.0071129811295518475,-125.06604230251484,False,0.09801484186852051,0.0023758353979159517
0.25,1.0,0.09938604250489944,0.002904561364208781,0.0014244853960826698,0.011618245456835125,0.005697941584330679,0.012940253698970311,0.011090042393686828,nan,nan,nan,nan,False,0.09874702647259977,0.00237118474354164
0.5,0.0,0.09089080802337796,0.0008394458832223367,0.003970978123199409,0.003357783532889347,0.015883912492797636,0.016234943373248815,0.008901514444479286,nan,nan,nan,nan,False,0.09309154928162122,0.0022556231757628643
0.5,0.25,0.09486178614657736,0.001517823291819452,0.003770164007832248,0.006071293167277808,0.015080656031328993,0.01625689967546991,0.011762696433303299,0.01101186240308083,-0.006426051691749146,0.01695008532825312,-154.77615052884747,False,0.09496526891428408,0.003393809304311615
