file,sha256,kind,role,validation_lab
constitutive_equations.py,e2c789d19fd559753519704c6668c7a2879c53eb61a315604ec81af6795aca9f,frozen_implementation,Version A constitutive field,CONSTITUTIVE-LAB-001
weak_lensing_observation001.py,a5c3632fec9adfc2659d5c283d07c599db6db7edb2e34e4aebd84e35434642bc,frozen_implementation,Pipeline core (field, propagate, observables),WEAK-LENSING-OBSERVATION-001
observable_lab001.py,2867c0bf94fabe3fbba0264d5d272ecadbdf45fabb341a6a8fe77972fbaec132,frozen_implementation,Observable extraction (8 methods),OBSERVABLE-LAB-001
source_plane_lab001.py,efa9d74924cb61a3b48a69fa075055512d86391d03194be342597420bc353de4,frozen_implementation,Source plane launchers (A-E),SOURCE-PLANE-LAB-001
numerical_convergence001.py,0442f878713de6530b5a1b1844b8ece037852d461bcb695360e8a3345fd58f29,frozen_implementation,Numerical convergence audit,NUMERICAL-CONVERGENCE-001
transport_lab001.py,877ddeaec5a49b43bae50d50aeb5f9363e195cd44d67d6acdd16222265aabb1c,frozen_implementation,Transport validation: kernel,TRANSPORT-LAB-001
transport_lab002.py,0b532156360580e971b63bd1e7ef0600d05876af20ccf937c91d2f97be9a4184,frozen_implementation,Transport validation: interpolation,TRANSPORT-LAB-002
transport_lab003.py,ed36c7bd8a70505f4fbe4aac766edc404a8067f5f8858d77387846ee34161b45,frozen_implementation,Transport validation: boundary,TRANSPORT-LAB-003
transport_lab004.py,ff38d371e5b74560e20de08dc72172a49ec5ea69496f32b79b7892ea38004883,frozen_implementation,Transport validation: gradient,TRANSPORT-LAB-004
transport_lab005.py,c36fb5e0cf0d813ccb9a6ecef9976d4d386fc36a83a27ee1cf2b1b51bfbadf82,frozen_implementation,Transport validation: launch position,TRANSPORT-LAB-005
transport_lab006.py,47f3f3d0c246a3e8354a6680ef7d145a7fc0199a78369ab1ead2d0a7095fa84c,frozen_implementation,Transport validation: normalisation,TRANSPORT-LAB-006
transport_lab007.py,d06d489504d7d12a2a684f369e703d460c6a2653ccbf6118dc0c829d044bf910,frozen_implementation,Transport validation: update rule,TRANSPORT-LAB-007
transport_lab008.py,ee630bc72700407f263f8bbee49cfde923bd970605ebf200765fdd0b0e341a51,frozen_implementation,Transport validation: amplitude law,TRANSPORT-LAB-008
constitutive_lab001.py,570c612b5d08d7de3494952958a2f3108f42f0b314736ebe31b8a0ff25f47192,frozen_implementation,Constitutive validation,CONSTITUTIVE-LAB-001
input_lab001.py,1ede495cac8738720a62eeef32bc3c7e87f5ab2d55d80afa64314a2d3b1e8611,frozen_implementation,Input identification (14 candidates),INPUT-LAB-001
input_lab002.py,071ff78b5465178b2e908347fff7f67bf0638bf8b960d240a56dc5304597a360,frozen_implementation,Transport-sensitivity sweep,INPUT-LAB-002
observation_bridge001.py,73ee7256bd0c4c6170a42ec4edf3ce5c22be2499c25807bd52ef11e8b9448b71,frozen_implementation,Observation bridge audit,OBSERVATION-BRIDGE-001
weak_lensing_prediction001.py,428a5b2ca26c3493efb046d91e1729fe49d65b90c0050ccaf66073ec5fcd1442,frozen_implementation,Forward prediction,WEAK-LENSING-PREDICTION-001
weak_lensing_generalization001.py,7669454c09045569ae676a1bcb047bd7d749ae34efcb1362893520bd62c9d7bd,frozen_implementation,Cross-dataset generalization,WEAK-LENSING-GENERALIZATION-001
weak_lensing_validation001.py,5427fd051c7e85ed70ab4d8a12b66a6ef2756ea1b08969bb965fff9051354bab,frozen_implementation,Validation suite (10 tests),WEAK-LENSING-VALIDATION-001
PBUF_benchmark/WL-001_Abell2744/hlsp_frontier_model_abell2744_merten_v1_kappa.fits,benchmark_input,SaWLens kappa FITS (Abell 2744),WEAK-LENSING-OBSERVATION-001
PBUF_benchmark/WL-001_Abell2744/hlsp_frontier_model_abell2744_merten_v1_gamma.fits,benchmark_input,SaWLens gamma FITS (Abell 2744),WEAK-LENSING-OBSERVATION-001
PBUF_benchmark/WL-001_Abell2744/hlsp_frontier_model_abell2744_merten_v1_gamma1.fits,benchmark_input,SaWLens gamma1 FITS (Abell 2744),WEAK-LENSING-OBSERVATION-001
PBUF_benchmark/WL-001_Abell2744/hlsp_frontier_model_abell2744_merten_v1_gamma2.fits,benchmark_input,SaWLens gamma2 FITS (Abell 2744),WEAK-LENSING-OBSERVATION-001
PBUF_benchmark/WL-002_MACS0416/hlsp_frontier_model_macs0416_merten_v1_kappa.fits,benchmark_input,SaWLens kappa FITS (MACS J0416),WEAK-LENSING-OBSERVATION-001
PBUF_benchmark/WL-003_MACS1149/hlsp_frontier_model_macs1149_merten_v1_kappa.fits,benchmark_input,SaWLens kappa FITS (MACS J1149),WEAK-LENSING-OBSERVATION-001
PBUF_benchmark/WL-004_AbellS1063/hlsp_frontier_model_abells1063_merten_v1_kappa.fits,benchmark_input,SaWLens kappa FITS (Abell S1063),WEAK-LENSING-OBSERVATION-001
PBUF_benchmark/WL-005_Abell370/hlsp_frontier_model_abell370_merten_v1_kappa.fits,benchmark_input,SaWLens kappa FITS (Abell 370),WEAK-LENSING-OBSERVATION-001
