cluster_id,step_index,propagation_distance,eigen_trace_identity_relative_rms_error,eigen_gap_identity_relative_rms_error,symmetric_reconstruction_relative_rms_error,principal_axis_global_nematic_order,principal_axis_orientation_count,neighbor_nematic_coherence_mean,neighbor_nematic_pair_count,lambda_high_vs_observed_pearson,lambda_high_vs_observed_spearman,lambda_high_vs_observed_count,lambda_high_vs_los_mag_pearson,lambda_high_vs_los_mag_spearman,lambda_high_vs_los_mag_count,lambda_high_rms,lambda_low_vs_observed_pearson,lambda_low_vs_observed_spearman,lambda_low_vs_observed_count,lambda_low_vs_los_mag_pearson,lambda_low_vs_los_mag_spearman,lambda_low_vs_los_mag_count,lambda_low_rms,abs_lambda_high_vs_observed_pearson,abs_lambda_high_vs_observed_spearman,abs_lambda_high_vs_observed_count,abs_lambda_high_vs_los_mag_pearson,abs_lambda_high_vs_los_mag_spearman,abs_lambda_high_vs_los_mag_count,abs_lambda_high_rms,abs_lambda_low_vs_observed_pearson,abs_lambda_low_vs_observed_spearman,abs_lambda_low_vs_observed_count,abs_lambda_low_vs_los_mag_pearson,abs_lambda_low_vs_los_mag_spearman,abs_lambda_low_vs_los_mag_count,abs_lambda_low_rms,mean_eigenvalue_vs_observed_pearson,mean_eigenvalue_vs_observed_spearman,mean_eigenvalue_vs_observed_count,mean_eigenvalue_vs_los_mag_pearson,mean_eigenvalue_vs_los_mag_spearman,mean_eigenvalue_vs_los_mag_count,mean_eigenvalue_rms,eigenvalue_gap_vs_observed_pearson,eigenvalue_gap_vs_observed_spearman,eigenvalue_gap_vs_observed_count,eigenvalue_gap_vs_los_mag_pearson,eigenvalue_gap_vs_los_mag_spearman,eigenvalue_gap_vs_los_mag_count,eigenvalue_gap_rms,spectral_magnitude_vs_observed_pearson,spectral_magnitude_vs_observed_spearman,spectral_magnitude_vs_observed_count,spectral_magnitude_vs_los_mag_pearson,spectral_magnitude_vs_los_mag_spearman,spectral_magnitude_vs_los_mag_count,spectral_magnitude_rms,minimum_abs_eigenvalue_vs_observed_pearson,minimum_abs_eigenvalue_vs_observed_spearman,minimum_abs_eigenvalue_vs_observed_count,minimum_abs_eigenvalue_vs_los_mag_pearson,minimum_abs_eigenvalue_vs_los_mag_spearman,minimum_abs_eigenvalue_vs_los_mag_count,minimum_abs_eigenvalue_rms,symmetric_frobenius_mag_vs_observed_pearson,symmetric_frobenius_mag_vs_observed_spearman,symmetric_frobenius_mag_vs_observed_count,symmetric_frobenius_mag_vs_los_mag_pearson,symmetric_frobenius_mag_vs_los_mag_spearman,symmetric_frobenius_mag_vs_los_mag_count,symmetric_frobenius_mag_rms,neighbor_nematic_coherence_vs_observed_pearson,neighbor_nematic_coherence_vs_observed_spearman,neighbor_nematic_coherence_vs_observed_count,neighbor_nematic_coherence_vs_los_mag_pearson,neighbor_nematic_coherence_vs_los_mag_spearman,neighbor_nematic_coherence_vs_los_mag_count,neighbor_nematic_coherence_rms,principal_vs_displacement_nematic_alignment_vs_observed_pearson,principal_vs_displacement_nematic_alignment_vs_observed_spearman,principal_vs_displacement_nematic_alignment_vs_observed_count,principal_vs_displacement_nematic_alignment_vs_los_mag_pearson,principal_vs_displacement_nematic_alignment_vs_los_mag_spearman,principal_vs_displacement_nematic_alignment_vs_los_mag_count,principal_vs_displacement_nematic_alignment_rms,principal_vs_response_nematic_alignment_vs_observed_pearson,principal_vs_response_nematic_alignment_vs_observed_spearman,principal_vs_response_nematic_alignment_vs_observed_count,principal_vs_response_nematic_alignment_vs_los_mag_pearson,principal_vs_response_nematic_alignment_vs_los_mag_spearman,principal_vs_response_nematic_alignment_vs_los_mag_count,principal_vs_response_nematic_alignment_rms,principal_vs_displacement_nematic_alignment_mean,principal_vs_displacement_nematic_alignment_mean_abs,principal_vs_response_nematic_alignment_mean,principal_vs_response_nematic_alignment_mean_abs
Abell2744,0,0.0,0.0,0.0,0.0,nan,0,nan,0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,nan,nan
Abell2744,1,0.03,7.804556450640771e-17,6.109921828641741e-17,5.2483551170283066e-17,0.026492621830674034,1024,0.06333849260822957,1984,0.29196753032640255,0.1463157365352979,1024,0.4197551390205315,0.2205027805593305,1024,4.993110279292671e-07,-0.5192233391237239,-0.4168554980866891,1024,-0.4888259133410104,-0.3866028896359345,1024,4.916949115747868e-07,0.4460139010141115,0.26520085294328016,1024,0.5266112844724256,0.3496117610507117,1024,4.993110279292671e-07,0.629346272173697,0.523028127458694,1024,0.625829136029093,0.512511187057435,1024,4.916949115747868e-07,-0.12925087122257334,-0.13337146171590014,1024,-0.024734128676895416,-0.07238019454974609,1024,3.1554978056537685e-07,0.631818942880495,0.5506304650060797,1024,0.7126266012597943,0.598885898719691,1024,7.641100191079866e-07,0.6845775938153558,0.5798038968063801,1024,0.7411995298905942,0.6589413869716043,1024,6.47381603385126e-07,0.51846598744194,0.40911521663328804,1024,0.5474949152934053,0.41072644347686144,1024,2.682768127863873e-07,0.6974221172135237,0.5896410865639081,1024,0.7569723983895168,0.6651234934911666,1024,7.007677137827618e-07,-0.048453582676045395,-0.052709760120878336,1024,0.0002308405227517297,-0.019491542092840285,1024,0.3229685525947274,-0.20956902598949095,-0.23700898764394535,1024,-0.13069081761431117,-0.11380581235247836,1024,0.7142052766285256,-0.20582888955138712,-0.23281161710535728,1024,-0.12818761590608313,-0.11193011944782204,1024,0.713673811202688,-0.05740298190728156,0.6476521839957887,-0.06012806644152641,0.6468301655150304
Abell2744,5,0.15,7.939076477186674e-17,6.185252562357448e-17,6.691489689633008e-17,0.027156668826489195,1024,0.06297498685919982,1984,0.2920412788756944,0.14597359809741792,1024,0.4197901027498452,0.2201228899935627,1024,7.487670185584677e-06,-0.5192019186265134,-0.4165675514984622,1024,-0.48900825253309016,-0.3863733705564695,1024,7.366230194701401e-06,0.4457623376431811,0.2640862487483013,1024,0.526500872868601,0.34896281113654243,1024,7.487670185584677e-06,0.6290136326855218,0.5225396967312782,1024,0.6256823839864332,0.5120844695479579,1024,7.366230194701401e-06,-0.12915332810062724,-0.13342636882197267,1024,-0.024764790090493087,-0.07278409090909091,1024,4.730064565859651e-06,0.6316743646073428,0.5500197589585867,1024,0.7125972294642888,0.5986133301444818,1024,1.1452469645890548e-05,0.6841535667642819,0.5788808807488734,1024,0.7410445587171043,0.6582802329947787,1024,9.70489166700234e-06,0.5181877635426462,0.4076086407445819,1024,0.5472540909528502,0.4099074637007367,1024,4.017664722344668e-06,0.6970051570005541,0.5886518198805522,1024,0.7568310681371861,0.6646705350118017,1024,1.050364470502617e-05,-0.04879795020775553,-0.05333983397110364,1024,0.00016247754096870653,-0.019754443530505688,1024,0.3229595557396262,-0.20818502187613333,-0.23492613859881267,1024,-0.12998451505497902,-0.11299702498033044,1024,0.7137216201254105,-0.2087262316341714,-0.23616628147128246,1024,-0.13017457148896486,-0.11460191509906302,1024,0.7148327413173996,-0.05846177549381096,0.6471093381394739,-0.05874613361816698,0.6483268698642267
Abell2744,10,0.3,6.760577968230101e-17,6.367293229455054e-17,5.2284754025735264e-17,0.02715421001610425,1024,0.06295006622253359,1984,0.2920045264074198,0.14590107780201703,1024,0.41977683283241407,0.22005279486445892,1024,2.7454089253351642e-05,-0.5191428101547283,-0.416357914312281,1024,-0.4889340202675002,-0.38624375268221156,1024,2.7005889166336954e-05,0.4457265579043076,0.2639911308203991,1024,0.5264722608421063,0.3488861669408483,1024,2.7454089253351642e-05,0.6288842337784961,0.5222852442600673,1024,0.625525342471493,0.5118391701237394,1024,2.7005889166336954e-05,-0.12910956458741607,-0.13341780809670267,1024,-0.024695429046761034,-0.07274727755525356,1024,1.7343864970473576e-05,0.6316133869298395,0.5497855460088692,1024,0.7125534094388001,0.5985046558722552,1024,4.198632544454047e-05,0.6840732614345854,0.578705642926114,1024,0.7409932711274777,0.6581686529933481,1024,3.558235321233813e-05,0.5180673926969761,0.40725316948000856,1024,0.5470420455780581,0.40962297045990986,1024,1.4728924138167194e-05,0.6969254005325245,0.5883549884664903,1024,0.7567655859054365,0.6644110198662471,1024,3.851032415334197e-05,-0.04882561043695144,-0.05350915975252128,1024,5.1160879846164545e-05,-0.020057868714684214,1024,0.3230461401219255,-0.20795958441035528,-0.2346859577283456,1024,-0.1297400744782008,-0.11314121620413418,1024,0.7139883393561945,-0.2086362544951515,-0.23572149256133323,1024,-0.13002475726787877,-0.1137898308418568,1024,0.7143489352762821,-0.0588103504937586,0.6474812409084295,-0.05845812031214721,0.6479129692994181
Abell2744,20,0.6,7.861737019511236e-17,5.597567686340684e-17,5.538872593281975e-17,0.027199708367018127,1024,0.06293038850775817,1984,0.29198648377641223,0.1458014336420857,1024,0.4197695371495847,0.21996614825477434,1024,0.00010482256037276507,-0.5191040962049406,-0.4162797949002217,1024,-0.488899619889833,-0.3861184710499964,1024,0.00010310471274150039,0.44571393428072703,0.2639254725162721,1024,0.5264668410453366,0.34880329777912883,1024,0.00010482256037276507,0.6288083741220613,0.5221500160932694,1024,0.6254408194935218,0.5116027555253558,1024,0.00010310471274150039,-0.12908659708617895,-0.13342384307274158,1024,-0.02466701432510446,-0.07275027269150991,1024,6.622161692299709e-05,0.6315674499153359,0.5496446740218869,1024,0.7125221760302266,0.5983988202739432,1024,0.00016029813384326684,0.6840125579741163,0.5786142242150061,1024,0.7409610053269331,0.6580982449395608,1024,0.00013585417419403157,0.5180332900148439,0.4070204540984193,1024,0.5469497959665668,0.4093231886131178,1024,5.623161305410879e-05,0.6968733001535493,0.5881958774408126,1024,0.7567294577936938,0.66435046893999,1024,0.00014703180252111886,-0.04883631193935938,-0.05358208237965811,1024,3.4285319967501606e-05,-0.0201481921893999,1024,0.323080928761482,-0.20779838334012993,-0.23448250080466349,1024,-0.1295613749279368,-0.11301745449181032,1024,0.7140167319645779,-0.20871180194721148,-0.23586169399542237,1024,-0.130151969849879,-0.1140669256490952,1024,0.7142512143706501,-0.058987992554818965,0.6475522881855947,-0.05840995807193076,0.6478158126517772
Abell2744,40,1.2,7.648354202314594e-17,5.759166883436859e-17,5.709652914960231e-17,0.027217665616145727,1024,0.06292158341340244,1984,0.29197687437090475,0.14578992248408554,1024,0.4197632758423892,0.21995930861526358,1024,0.00040930293654146846,-0.5190822103274652,-0.41627831968385665,1024,-0.488878523429177,-0.3861050599921322,1024,0.00040258220288914035,0.4457052386503857,0.26391811878620985,1024,0.5264637104654953,0.348815334203562,1024,0.00040930293654146846,0.6287645232209467,0.5220905715792862,1024,0.6253932941000117,0.5115547886417281,1024,0.00040258220288914035,-0.12907288637208328,-0.13341382948286962,1024,-0.024651474478912406,-0.07273888446820685,1024,0.0002585794891591933,0.6315459000217502,0.5495430852585652,1024,0.7125059173878499,0.5983457013089193,1024,0.0006258987450329065,0.6839796395344686,0.5785085674307989,1024,0.7409425164879986,0.6580535525892283,1024,0.0005304676553252306,0.5180141677171108,0.40698661352907517,1024,0.5469060862179189,0.40931992525570415,1024,0.0002195572604089756,0.6968448645060742,0.5881473741148702,1024,0.7567099118030391,0.6643312575995994,1024,0.0005741091568199748,-0.04885010325008429,-0.053535434250053644,1024,1.7969145619957177e-05,-0.02007222972248051,1024,0.3230932528373726,-0.20769999732134986,-0.23441690955582575,1024,-0.12945492668575972,-0.11291945318646734,1024,0.7140241552521434,-0.2085801445732572,-0.23571514466061083,1024,-0.1299632308648638,-0.11408175604391674,1024,0.7139908757771207,-0.059097158064534444,0.6475673840833333,-0.058936027574600605,0.6475262865573157
Abell2744,80,2.4,7.734687264192412e-17,5.684505763327734e-17,4.957392148985197e-17,0.027226811984796723,1024,0.06291595000391183,1984,0.2919736625281909,0.14576128987554537,1024,0.4197614657484608,0.2199298378156069,1024,0.001617236221405761,-0.5190719769574923,-0.41625857190115156,1024,-0.4888696668737461,-0.38608089773621346,1024,0.001590653735763465,0.4456990883606505,0.26389277188684646,1024,0.5264610905686681,0.3487989503612045,1024,0.001617236221405761,0.6287432437866888,0.5220536241148702,1024,0.6253703564365475,0.5115208027859237,1024,0.001590653735763465,-0.12906649512159263,-0.13338160941635077,1024,-0.02464490470439092,-0.072729418496531,1024,0.0010217014905303285,0.6315358649768266,0.5495526294614119,1024,0.7124986652524421,0.5983542732100708,1024,0.0024730080595991846,0.683962714415519,0.5784692283277305,1024,0.7409333381152674,0.6580405662148631,1024,0.002095971261049692,0.5180025207784226,0.40696113251913313,1024,0.5468828019137058,0.4092884092697232,1024,0.000867488775592407,0.6968300778830224,0.5881170315964523,1024,0.7567001328740135,0.6643294694585509,1024,0.0022683986208171286,-0.04885796884168741,-0.0535866309634504,1024,7.131105179270837e-06,-0.020116419158143193,1024,0.3231025902730115,-0.20763784062511773,-0.23427170132680067,1024,-0.12939242346035454,-0.11274347775552536,1024,0.7140256659268902,-0.20868550871700997,-0.23575913293040554,1024,-0.1300584633118101,-0.11389022378585223,1024,0.7144359626851973,-0.05916498772122705,0.6475661086473058,-0.05851303649913929,0.6479732271919338
Abell2744,120,3.5999999999999996,7.468277021445215e-17,5.1911612227047577e-17,5.305857956714415e-17,0.027253170029556538,1024,0.06290919542484731,1984,0.2919276378306273,0.14575842884986767,1024,0.4197116724520949,0.21992285288963592,1024,0.0036236859955823494,-0.519094392387502,-0.4162578678206137,1024,-0.4888911306586699,-0.38607523156426576,1024,0.003564339228998989,0.44573723632770423,0.2639645881017095,1024,0.5265034112417422,0.34887141477719763,1024,0.0036236859955823494,0.6287617799802984,0.5220472873900294,1024,0.625386659040382,0.5115091910449896,1024,0.003564339228998989,-0.12912412104843915,-0.13339296411200915,1024,-0.024707457676009924,-0.07274594762534868,1024,0.0022894081713317757,0.6315331462840817,0.5495472873900293,1024,0.7124903985154497,0.5983530103354553,1024,0.005541269671120391,0.6839823159322682,0.5784592594413848,1024,0.7409559006623374,0.6580629850332594,1024,0.004696470396546523,0.5180612416975771,0.4069743424111294,1024,0.5469321907246342,0.40930017747299907,1024,0.0019439084722082198,0.6968559745217475,0.5881333930870467,1024,0.7567248311301197,0.6643438863457549,1024,0.005082874613244041,-0.048906786906656285,-0.053770965953794436,1024,-8.364508770094488e-05,-0.020289667673986125,1024,0.32310921921665436,-0.20761973660899588,-0.23430422314212146,1024,-0.12937112724122188,-0.11274671876117588,1024,0.7140238760685633,-0.20832051280920844,-0.23501160056505258,1024,-0.1300435912275245,-0.11346569674915957,1024,0.7147167145692678,-0.0591874156510051,0.647563765347214,-0.05801539343791822,0.6484081824639061
Abell2744,159,4.77,7.508852631812646e-17,6.655389098404732e-17,5.4320221780901174e-17,0.027286670426400157,1024,0.06286265910390339,1984,0.291872945921252,0.1458768373149274,1024,0.41959856838395276,0.21963574449252557,1024,0.006348532782386773,-0.5191460855031027,-0.4162755592411129,1024,-0.48893183497369735,-0.3860890896573922,1024,0.006244895699021038,0.4458045792350538,0.26414963834847294,1024,0.5266064763540127,0.3491609371647236,1024,0.006348532782386773,0.6288182629856961,0.5220455327766255,1024,0.625432975584989,0.5114942824189972,1024,0.006244895699021038,-0.12918340183890625,-0.13339972552034904,1024,-0.02479746142047646,-0.07284558060939847,1024,0.0040111964329609135,0.6315208164078691,0.5495679515950218,1024,0.7124241278474868,0.5982353618303412,1024,0.009708058212958375,0.6840065837664738,0.5784512463343109,1024,0.7410109139631812,0.6581128071132251,1024,0.008228011790130748,0.5181584374047944,0.4070627101065732,1024,0.5470070030912222,0.4095517242150061,1024,0.0034062314604501576,0.6968895577783882,0.5881523473821615,1024,0.7567740940838789,0.6643891598419284,1024,0.008905200210028464,-0.04899845020630924,-0.05393189864816537,1024,-0.00027667251952600316,-0.020442732547743366,1024,0.323134535994628,-0.20761097244160723,-0.23416165242114298,1024,-0.12931304456792125,-0.11253286826764895,1024,0.713994863606735,-0.20818407073474582,-0.23512413051641515,1024,-0.1283778313177338,-0.11144600261068593,1024,0.7132648486543095,-0.05926519598350781,0.6474961914111133,-0.06072993748748504,0.6471174346080262
