cluster_id,candidate_id,interface_total_x,interface_total_y,interface_total_z,diff_x,diff_y,diff_z,max_abs_diff,passes
Abell2744,PL1_PM1_PS1,-0.00353776976685973,0.00653169730281567,0.004840820634550033,-2.6020852139652106e-18,8.673617379884035e-19,2.7755575615628914e-17,2.7755575615628914e-17,True
Abell2744,PL1_PM1_PS2,-0.006089130097898794,-0.0036299217080659986,0.021482919788723173,8.673617379884035e-19,-2.6020852139652106e-18,-1.3877787807814457e-17,1.3877787807814457e-17,True
Abell2744,PL1_PM2_PS1,-0.00353776976685973,0.00653169730281567,0.004840820634550033,-2.6020852139652106e-18,8.673617379884035e-19,2.7755575615628914e-17,2.7755575615628914e-17,True
Abell2744,PL1_PM2_PS2,-0.0035377697668597277,0.0065316973028156705,0.004840820634550033,4.7704895589362195e-18,4.336808689942018e-18,-6.938893903907228e-18,6.938893903907228e-18,True
Abell2744,PL2_PM1_PS1,-0.0036180646681873135,-0.0030190140606629274,0.007249499986653255,-4.336808689942018e-19,3.0357660829594124e-18,-1.5612511283791264e-17,1.5612511283791264e-17,True
Abell2744,PL2_PM1_PS2,-0.008176154722460029,-0.013296032559740264,0.020676371814227407,-3.469446951953614e-18,3.469446951953614e-18,9.367506770274758e-17,9.367506770274758e-17,True
Abell2744,PL2_PM2_PS1,-0.0036180646681873135,-0.0030190140606629274,0.007249499986653255,-4.336808689942018e-19,3.0357660829594124e-18,-1.5612511283791264e-17,1.5612511283791264e-17,True
Abell2744,PL2_PM2_PS2,-0.003618064668187317,-0.0030190140606629282,0.007249499986653248,-5.204170427930421e-18,1.734723475976807e-18,-5.0306980803327406e-17,5.0306980803327406e-17,True
Abell2744,PL3_PM1_PS1,-0.0020996880211044755,-0.0031222645143716174,0.012479042690644843,-1.3010426069826053e-18,-2.168404344971009e-18,-5.0306980803327406e-17,5.0306980803327406e-17,True
Abell2744,PL3_PM1_PS2,-0.004646103740027836,-0.009631097112632289,0.025144981766791558,-1.734723475976807e-18,0.0,6.591949208711867e-17,6.591949208711867e-17,True
Abell2744,PL3_PM2_PS1,-0.0020996880211044755,-0.0031222645143716174,0.012479042690644843,-1.3010426069826053e-18,-2.168404344971009e-18,-5.0306980803327406e-17,5.0306980803327406e-17,True
Abell2744,PL3_PM2_PS2,-0.0020996880211044747,-0.003122264514371615,0.012479042690644843,-3.0357660829594124e-18,0.0,2.6020852139652106e-17,2.6020852139652106e-17,True
Abell2744,PL4_PM1_PS1,-0.004189297760286127,-0.0009690313550337686,-0.0023897063165855686,2.6020852139652106e-18,-2.168404344971009e-19,2.3418766925686896e-17,2.3418766925686896e-17,True
Abell2744,PL4_PM1_PS2,-0.007185132787239092,-0.01645863133968099,0.013872734851018118,-8.673617379884035e-19,3.469446951953614e-18,-2.42861286636753e-17,2.42861286636753e-17,True
Abell2744,PL4_PM2_PS1,-0.004189297760286127,-0.0009690313550337686,-0.0023897063165855686,2.6020852139652106e-18,-2.168404344971009e-19,2.3418766925686896e-17,2.3418766925686896e-17,True
Abell2744,PL4_PM2_PS2,-0.004189297760286126,-0.0009690313550337734,-0.0023897063165855686,3.469446951953614e-18,-3.2526065174565133e-18,-3.469446951953614e-18,3.469446951953614e-18,True
Abell2744,PL5_PM1_PS1,0.0010417750543603149,-0.007211871106538757,0.02456182755246822,4.336808689942018e-19,0.0,4.163336342344337e-17,4.163336342344337e-17,True
Abell2744,PL5_PM1_PS2,0.0043784288822899305,-0.007569348220047982,0.0335596642308546,5.204170427930421e-18,-1.734723475976807e-18,-6.245004513516506e-17,6.245004513516506e-17,True
Abell2744,PL5_PM2_PS1,0.0010417750543603149,-0.007211871106538757,0.02456182755246822,4.336808689942018e-19,0.0,4.163336342344337e-17,4.163336342344337e-17,True
Abell2744,PL5_PM2_PS2,0.0010417750543603153,-0.007211871106538755,0.024561827552468163,-1.3010426069826053e-18,-1.734723475976807e-18,-1.734723475976807e-17,1.734723475976807e-17,True
Abell2744,PL6_PM1_PS1,-0.0036180646681873135,-0.0030190140606629274,0.007249499986653255,-4.336808689942018e-19,3.0357660829594124e-18,-1.5612511283791264e-17,1.5612511283791264e-17,True
Abell2744,PL6_PM1_PS2,-0.008176154722460029,-0.013296032559740264,0.020676371814227407,-3.469446951953614e-18,3.469446951953614e-18,9.367506770274758e-17,9.367506770274758e-17,True
Abell2744,PL6_PM2_PS1,-0.0036180646681873135,-0.0030190140606629274,0.007249499986653255,-4.336808689942018e-19,3.0357660829594124e-18,-1.5612511283791264e-17,1.5612511283791264e-17,True
Abell2744,PL6_PM2_PS2,-0.003618064668187317,-0.0030190140606629282,0.007249499986653248,-5.204170427930421e-18,1.734723475976807e-18,-5.0306980803327406e-17,5.0306980803327406e-17,True
MACS0416,PL1_PM1_PS1,-0.008407452184870216,0.004008230844867515,0.009329487237147403,-3.469446951953614e-18,8.673617379884035e-19,-5.204170427930421e-18,5.204170427930421e-18,True
MACS0416,PL1_PM1_PS2,-0.00990950152610482,-0.0033232153211500493,0.013694104125572003,1.734723475976807e-18,2.6020852139652106e-18,-1.734723475976807e-18,2.6020852139652106e-18,True
MACS0416,PL1_PM2_PS1,-0.008407452184870216,0.004008230844867515,0.009329487237147403,-3.469446951953614e-18,8.673617379884035e-19,-5.204170427930421e-18,5.204170427930421e-18,True
MACS0416,PL1_PM2_PS2,-0.008407452184870212,0.004008230844867514,0.00932948723714741,0.0,1.734723475976807e-18,5.204170427930421e-18,5.204170427930421e-18,True
MACS0416,PL2_PM1_PS1,-0.009782834221422412,0.001318826513165664,0.004336324029369284,1.734723475976807e-18,-8.673617379884035e-19,1.734723475976807e-18,1.734723475976807e-18,True
MACS0416,PL2_PM1_PS2,-0.008628994286756285,-0.005071190997382321,0.016879937511161763,0.0,-8.673617379884035e-19,1.0408340855860843e-17,1.0408340855860843e-17,True
MACS0416,PL2_PM2_PS1,-0.009782834221422412,0.001318826513165664,0.004336324029369284,1.734723475976807e-18,-8.673617379884035e-19,1.734723475976807e-18,1.734723475976807e-18,True
MACS0416,PL2_PM2_PS2,-0.009782834221422412,0.0013188265131656646,0.00433632402936928,-3.469446951953614e-18,-2.168404344971009e-19,-1.0408340855860843e-17,1.0408340855860843e-17,True
MACS0416,PL3_PM1_PS1,-0.009674124591485207,0.00030589613287839833,0.009559121664976716,-5.204170427930421e-18,3.469446951953614e-18,-1.214306433183765e-17,1.214306433183765e-17,True
MACS0416,PL3_PM1_PS2,-0.008571377189377016,-0.0045198700469549075,0.019926424235401752,5.204170427930421e-18,-1.734723475976807e-18,4.5102810375396984e-17,4.5102810375396984e-17,True
MACS0416,PL3_PM2_PS1,-0.009674124591485207,0.00030589613287839833,0.009559121664976716,-5.204170427930421e-18,3.469446951953614e-18,-1.214306433183765e-17,1.214306433183765e-17,True
MACS0416,PL3_PM2_PS2,-0.009674124591485206,0.0003058961328784005,0.00955912166497673,-1.734723475976807e-18,2.168404344971009e-18,-1.9081958235744878e-17,1.9081958235744878e-17,True
MACS0416,PL4_PM1_PS1,-0.007846928021786923,0.0023011625523647015,-0.004131481828024891,0.0,-4.336808689942018e-18,3.2959746043559335e-17,3.2959746043559335e-17,True
MACS0416,PL4_PM1_PS2,-0.005894624967559523,-0.006875471606452998,0.012265377170413216,-1.734723475976807e-18,-1.734723475976807e-18,3.8163916471489756e-17,3.8163916471489756e-17,True
MACS0416,PL4_PM2_PS1,-0.007846928021786923,0.0023011625523647015,-0.004131481828024891,0.0,-4.336808689942018e-18,3.2959746043559335e-17,3.2959746043559335e-17,True
MACS0416,PL4_PM2_PS2,-0.007846928021786923,0.002301162552364703,-0.004131481828024877,5.204170427930421e-18,-3.903127820947816e-18,6.071532165918825e-18,6.071532165918825e-18,True
MACS0416,PL5_PM1_PS1,-0.009815726465804083,-0.010031844207498534,0.024443602296673528,0.0,-3.469446951953614e-18,-5.204170427930421e-17,5.204170427930421e-17,True
MACS0416,PL5_PM1_PS2,-0.013893619379722447,-0.014206736760053053,0.03356077134315105,5.204170427930421e-18,-3.469446951953614e-18,1.249000902703301e-16,1.249000902703301e-16,True
MACS0416,PL5_PM2_PS1,-0.009815726465804083,-0.010031844207498534,0.024443602296673528,0.0,-3.469446951953614e-18,-5.204170427930421e-17,5.204170427930421e-17,True
MACS0416,PL5_PM2_PS2,-0.00981572646580408,-0.010031844207498534,0.024443602296673528,3.469446951953614e-18,-6.938893903907228e-18,-4.85722573273506e-17,4.85722573273506e-17,True
MACS0416,PL6_PM1_PS1,-0.009782834221422412,0.001318826513165664,0.004336324029369284,1.734723475976807e-18,-8.673617379884035e-19,1.734723475976807e-18,1.734723475976807e-18,True
MACS0416,PL6_PM1_PS2,-0.008628994286756285,-0.005071190997382321,0.016879937511161763,0.0,-8.673617379884035e-19,1.0408340855860843e-17,1.0408340855860843e-17,True
MACS0416,PL6_PM2_PS1,-0.009782834221422412,0.001318826513165664,0.004336324029369284,1.734723475976807e-18,-8.673617379884035e-19,1.734723475976807e-18,1.734723475976807e-18,True
MACS0416,PL6_PM2_PS2,-0.009782834221422412,0.0013188265131656646,0.00433632402936928,-3.469446951953614e-18,-2.168404344971009e-19,-1.0408340855860843e-17,1.0408340855860843e-17,True
MACS1149,PL1_PM1_PS1,0.002600659939221033,-0.002507257979459345,-0.005924025488679575,2.168404344971009e-18,5.204170427930421e-18,-1.0408340855860843e-17,1.0408340855860843e-17,True
MACS1149,PL1_PM1_PS2,0.0007151943193094337,0.0052551228483036505,0.0010367262888967485,1.0408340855860843e-17,-1.734723475976807e-18,-2.0816681711721685e-17,2.0816681711721685e-17,True
MACS1149,PL1_PM2_PS1,0.002600659939221033,-0.002507257979459345,-0.005924025488679575,2.168404344971009e-18,5.204170427930421e-18,-1.0408340855860843e-17,1.0408340855860843e-17,True
MACS1149,PL1_PM2_PS2,0.0026006599392210308,-0.0025072579794593462,-0.005924025488679575,-3.469446951953614e-18,-2.168404344971009e-18,6.938893903907228e-18,6.938893903907228e-18,True
MACS1149,PL2_PM1_PS1,-0.002213168835036881,-0.0020928227589110133,0.00015287177849863595,2.168404344971009e-18,-4.336808689942018e-19,-1.214306433183765e-17,1.214306433183765e-17,True
MACS1149,PL2_PM1_PS2,0.00518081364848991,-0.0017354916181889948,0.006517712722427779,8.673617379884035e-19,4.7704895589362195e-18,-2.2551405187698492e-17,2.2551405187698492e-17,True
MACS1149,PL2_PM2_PS1,-0.002213168835036881,-0.0020928227589110133,0.00015287177849863595,2.168404344971009e-18,-4.336808689942018e-19,-1.214306433183765e-17,1.214306433183765e-17,True
MACS1149,PL2_PM2_PS2,-0.0022131688350368805,-0.0020928227589110137,0.0001528717784986429,1.734723475976807e-18,1.734723475976807e-18,-3.2959746043559335e-17,3.2959746043559335e-17,True
MACS1149,PL3_PM1_PS1,-0.0010973673716553741,-0.0061316327330566715,0.0031687744501249088,1.3010426069826053e-18,-2.6020852139652106e-18,-1.5612511283791264e-17,1.5612511283791264e-17,True
MACS1149,PL3_PM1_PS2,0.004554075246801348,-0.006728244995529169,0.009130270921881067,-3.469446951953614e-18,-1.734723475976807e-18,6.938893903907228e-18,6.938893903907228e-18,True
MACS1149,PL3_PM2_PS1,-0.0010973673716553741,-0.0061316327330566715,0.0031687744501249088,1.3010426069826053e-18,-2.6020852139652106e-18,-1.5612511283791264e-17,1.5612511283791264e-17,True
MACS1149,PL3_PM2_PS2,-0.0010973673716553733,-0.006131632733056672,0.003168774450124895,6.505213034913027e-19,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,True
MACS1149,PL4_PM1_PS1,-0.00471657020443001,0.005824151276036292,-0.005172318997389985,-2.6020852139652106e-18,1.734723475976807e-18,-1.5612511283791264e-17,1.5612511283791264e-17,True
MACS1149,PL4_PM1_PS2,0.0008809231027693018,0.007670851409233771,-0.000693684892006885,-1.3010426069826053e-18,0.0,-1.5612511283791264e-17,1.5612511283791264e-17,True
MACS1149,PL4_PM2_PS1,-0.00471657020443001,0.005824151276036292,-0.005172318997389985,-2.6020852139652106e-18,1.734723475976807e-18,-1.5612511283791264e-17,1.5612511283791264e-17,True
MACS1149,PL4_PM2_PS2,-0.004716570204430011,0.005824151276036292,-0.005172318997389985,-1.734723475976807e-18,8.673617379884035e-19,-2.949029909160572e-17,2.949029909160572e-17,True
MACS1149,PL5_PM1_PS1,0.004178924902467934,-0.015585786716379913,0.008780286359372391,-2.6020852139652106e-18,-3.469446951953614e-18,1.5612511283791264e-17,1.5612511283791264e-17,True
MACS1149,PL5_PM1_PS2,0.004478139422160602,-0.017902886234751947,0.01206865479853475,1.734723475976807e-18,3.469446951953614e-18,1.734723475976807e-17,1.734723475976807e-17,True
MACS1149,PL5_PM2_PS1,0.004178924902467934,-0.015585786716379913,0.008780286359372391,-2.6020852139652106e-18,-3.469446951953614e-18,1.5612511283791264e-17,1.5612511283791264e-17,True
MACS1149,PL5_PM2_PS2,0.004178924902467934,-0.015585786716379913,0.008780286359372391,1.734723475976807e-18,3.469446951953614e-18,-1.0408340855860843e-17,1.0408340855860843e-17,True
