cluster_id,candidate_id,longitudinal_reference,magnitude_formulation,pair_symmetrization,available,scalar_label
Abell2744,PL1_PM1_PS1,PL1,PM1,PS1,True,rho_3d
Abell2744,PL1_PM1_PS2,PL1,PM1,PS2,True,rho_3d
Abell2744,PL1_PM2_PS1,PL1,PM2,PS1,True,rho_3d
Abell2744,PL1_PM2_PS2,PL1,PM2,PS2,True,rho_3d
Abell2744,PL2_PM1_PS1,PL2,PM1,PS1,True,c_3d (constitutive)
Abell2744,PL2_PM1_PS2,PL2,PM1,PS2,True,c_3d (constitutive)
Abell2744,PL2_PM2_PS1,PL2,PM2,PS1,True,c_3d (constitutive)
Abell2744,PL2_PM2_PS2,PL2,PM2,PS2,True,c_3d (constitutive)
Abell2744,PL3_PM1_PS1,PL3,PM1,PS1,True,u_fast
Abell2744,PL3_PM1_PS2,PL3,PM1,PS2,True,u_fast
Abell2744,PL3_PM2_PS1,PL3,PM2,PS1,True,u_fast
Abell2744,PL3_PM2_PS2,PL3,PM2,PS2,True,u_fast
Abell2744,PL4_PM1_PS1,PL4,PM1,PS1,True,u_slow
Abell2744,PL4_PM1_PS2,PL4,PM1,PS2,True,u_slow
Abell2744,PL4_PM2_PS1,PL4,PM2,PS1,True,u_slow
Abell2744,PL4_PM2_PS2,PL4,PM2,PS2,True,u_slow
Abell2744,PL5_PM1_PS1,PL5,PM1,PS1,True,F-S
Abell2744,PL5_PM1_PS2,PL5,PM1,PS2,True,F-S
Abell2744,PL5_PM2_PS1,PL5,PM2,PS1,True,F-S
Abell2744,PL5_PM2_PS2,PL5,PM2,PS2,True,F-S
Abell2744,PL6_PM1_PS1,PL6,PM1,PS1,True,T_combined (==c_3d)
Abell2744,PL6_PM1_PS2,PL6,PM1,PS2,True,T_combined (==c_3d)
Abell2744,PL6_PM2_PS1,PL6,PM2,PS1,True,T_combined (==c_3d)
Abell2744,PL6_PM2_PS2,PL6,PM2,PS2,True,T_combined (==c_3d)
MACS0416,PL1_PM1_PS1,PL1,PM1,PS1,True,rho_3d
MACS0416,PL1_PM1_PS2,PL1,PM1,PS2,True,rho_3d
MACS0416,PL1_PM2_PS1,PL1,PM2,PS1,True,rho_3d
MACS0416,PL1_PM2_PS2,PL1,PM2,PS2,True,rho_3d
MACS0416,PL2_PM1_PS1,PL2,PM1,PS1,True,c_3d (constitutive)
MACS0416,PL2_PM1_PS2,PL2,PM1,PS2,True,c_3d (constitutive)
MACS0416,PL2_PM2_PS1,PL2,PM2,PS1,True,c_3d (constitutive)
MACS0416,PL2_PM2_PS2,PL2,PM2,PS2,True,c_3d (constitutive)
MACS0416,PL3_PM1_PS1,PL3,PM1,PS1,True,u_fast
MACS0416,PL3_PM1_PS2,PL3,PM1,PS2,True,u_fast
MACS0416,PL3_PM2_PS1,PL3,PM2,PS1,True,u_fast
MACS0416,PL3_PM2_PS2,PL3,PM2,PS2,True,u_fast
MACS0416,PL4_PM1_PS1,PL4,PM1,PS1,True,u_slow
MACS0416,PL4_PM1_PS2,PL4,PM1,PS2,True,u_slow
MACS0416,PL4_PM2_PS1,PL4,PM2,PS1,True,u_slow
MACS0416,PL4_PM2_PS2,PL4,PM2,PS2,True,u_slow
MACS0416,PL5_PM1_PS1,PL5,PM1,PS1,True,F-S
MACS0416,PL5_PM1_PS2,PL5,PM1,PS2,True,F-S
MACS0416,PL5_PM2_PS1,PL5,PM2,PS1,True,F-S
MACS0416,PL5_PM2_PS2,PL5,PM2,PS2,True,F-S
MACS0416,PL6_PM1_PS1,PL6,PM1,PS1,True,T_combined (==c_3d)
MACS0416,PL6_PM1_PS2,PL6,PM1,PS2,True,T_combined (==c_3d)
MACS0416,PL6_PM2_PS1,PL6,PM2,PS1,True,T_combined (==c_3d)
MACS0416,PL6_PM2_PS2,PL6,PM2,PS2,True,T_combined (==c_3d)
MACS1149,PL1_PM1_PS1,PL1,PM1,PS1,True,rho_3d
MACS1149,PL1_PM1_PS2,PL1,PM1,PS2,True,rho_3d
MACS1149,PL1_PM2_PS1,PL1,PM2,PS1,True,rho_3d
MACS1149,PL1_PM2_PS2,PL1,PM2,PS2,True,rho_3d
MACS1149,PL2_PM1_PS1,PL2,PM1,PS1,True,c_3d (constitutive)
MACS1149,PL2_PM1_PS2,PL2,PM1,PS2,True,c_3d (constitutive)
MACS1149,PL2_PM2_PS1,PL2,PM2,PS1,True,c_3d (constitutive)
MACS1149,PL2_PM2_PS2,PL2,PM2,PS2,True,c_3d (constitutive)
MACS1149,PL3_PM1_PS1,PL3,PM1,PS1,True,u_fast
MACS1149,PL3_PM1_PS2,PL3,PM1,PS2,True,u_fast
MACS1149,PL3_PM2_PS1,PL3,PM2,PS1,True,u_fast
MACS1149,PL3_PM2_PS2,PL3,PM2,PS2,True,u_fast
MACS1149,PL4_PM1_PS1,PL4,PM1,PS1,True,u_slow
MACS1149,PL4_PM1_PS2,PL4,PM1,PS2,True,u_slow
MACS1149,PL4_PM2_PS1,PL4,PM2,PS1,True,u_slow
MACS1149,PL4_PM2_PS2,PL4,PM2,PS2,True,u_slow
MACS1149,PL5_PM1_PS1,PL5,PM1,PS1,True,F-S
MACS1149,PL5_PM1_PS2,PL5,PM1,PS2,True,F-S
MACS1149,PL5_PM2_PS1,PL5,PM2,PS1,True,F-S
MACS1149,PL5_PM2_PS2,PL5,PM2,PS2,True,F-S
MACS1149,PL6_PM1_PS1,PL6,PM1,PS1,True,T_combined (==c_3d)
MACS1149,PL6_PM1_PS2,PL6,PM1,PS2,True,T_combined (==c_3d)
MACS1149,PL6_PM2_PS1,PL6,PM2,PS1,True,T_combined (==c_3d)
MACS1149,PL6_PM2_PS2,PL6,PM2,PS2,True,T_combined (==c_3d)
AbellS1063,PL1_PM1_PS1,PL1,PM1,PS1,True,rho_3d
AbellS1063,PL1_PM1_PS2,PL1,PM1,PS2,True,rho_3d
AbellS1063,PL1_PM2_PS1,PL1,PM2,PS1,True,rho_3d
AbellS1063,PL1_PM2_PS2,PL1,PM2,PS2,True,rho_3d
AbellS1063,PL2_PM1_PS1,PL2,PM1,PS1,True,c_3d (constitutive)
AbellS1063,PL2_PM1_PS2,PL2,PM1,PS2,True,c_3d (constitutive)
AbellS1063,PL2_PM2_PS1,PL2,PM2,PS1,True,c_3d (constitutive)
AbellS1063,PL2_PM2_PS2,PL2,PM2,PS2,True,c_3d (constitutive)
AbellS1063,PL3_PM1_PS1,PL3,PM1,PS1,True,u_fast
AbellS1063,PL3_PM1_PS2,PL3,PM1,PS2,True,u_fast
AbellS1063,PL3_PM2_PS1,PL3,PM2,PS1,True,u_fast
AbellS1063,PL3_PM2_PS2,PL3,PM2,PS2,True,u_fast
AbellS1063,PL4_PM1_PS1,PL4,PM1,PS1,True,u_slow
AbellS1063,PL4_PM1_PS2,PL4,PM1,PS2,True,u_slow
AbellS1063,PL4_PM2_PS1,PL4,PM2,PS1,True,u_slow
AbellS1063,PL4_PM2_PS2,PL4,PM2,PS2,True,u_slow
AbellS1063,PL5_PM1_PS1,PL5,PM1,PS1,True,F-S
AbellS1063,PL5_PM1_PS2,PL5,PM1,PS2,True,F-S
AbellS1063,PL5_PM2_PS1,PL5,PM2,PS1,True,F-S
AbellS1063,PL5_PM2_PS2,PL5,PM2,PS2,True,F-S
AbellS1063,PL6_PM1_PS1,PL6,PM1,PS1,True,T_combined (==c_3d)
AbellS1063,PL6_PM1_PS2,PL6,PM1,PS2,True,T_combined (==c_3d)
AbellS1063,PL6_PM2_PS1,PL6,PM2,PS1,True,T_combined (==c_3d)
AbellS1063,PL6_PM2_PS2,PL6,PM2,PS2,True,T_combined (==c_3d)
Abell370,PL1_PM1_PS1,PL1,PM1,PS1,True,rho_3d
Abell370,PL1_PM1_PS2,PL1,PM1,PS2,True,rho_3d
Abell370,PL1_PM2_PS1,PL1,PM2,PS1,True,rho_3d
Abell370,PL1_PM2_PS2,PL1,PM2,PS2,True,rho_3d
Abell370,PL2_PM1_PS1,PL2,PM1,PS1,True,c_3d (constitutive)
Abell370,PL2_PM1_PS2,PL2,PM1,PS2,True,c_3d (constitutive)
Abell370,PL2_PM2_PS1,PL2,PM2,PS1,True,c_3d (constitutive)
Abell370,PL2_PM2_PS2,PL2,PM2,PS2,True,c_3d (constitutive)
Abell370,PL3_PM1_PS1,PL3,PM1,PS1,True,u_fast
Abell370,PL3_PM1_PS2,PL3,PM1,PS2,True,u_fast
Abell370,PL3_PM2_PS1,PL3,PM2,PS1,True,u_fast
Abell370,PL3_PM2_PS2,PL3,PM2,PS2,True,u_fast
Abell370,PL4_PM1_PS1,PL4,PM1,PS1,True,u_slow
Abell370,PL4_PM1_PS2,PL4,PM1,PS2,True,u_slow
Abell370,PL4_PM2_PS1,PL4,PM2,PS1,True,u_slow
Abell370,PL4_PM2_PS2,PL4,PM2,PS2,True,u_slow
Abell370,PL5_PM1_PS1,PL5,PM1,PS1,True,F-S
Abell370,PL5_PM1_PS2,PL5,PM1,PS2,True,F-S
Abell370,PL5_PM2_PS1,PL5,PM2,PS1,True,F-S
Abell370,PL5_PM2_PS2,PL5,PM2,PS2,True,F-S
Abell370,PL6_PM1_PS1,PL6,PM1,PS1,True,T_combined (==c_3d)
Abell370,PL6_PM1_PS2,PL6,PM1,PS2,True,T_combined (==c_3d)
Abell370,PL6_PM2_PS1,PL6,PM2,PS1,True,T_combined (==c_3d)
Abell370,PL6_PM2_PS2,PL6,PM2,PS2,True,T_combined (==c_3d)
