cluster_id,candidate_id,pearson_kappa_los_vs_gr,pearson_kappa_central_vs_gr,delta_r_vs_o3_los,delta_r_vs_o4_los,delta_r_vs_2d_midpoint,f_irr_3d,delta_f_irr_vs_o3,pearson_o3_los,pearson_o4_los,pearson_2d_midpoint
Abell2744,PL1_PM1_PS1,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL1_PM1_PS2,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL1_PM2_PS1,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL1_PM2_PS2,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL2_PM1_PS1,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL2_PM1_PS2,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL2_PM2_PS1,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL2_PM2_PS2,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL3_PM1_PS1,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL3_PM1_PS2,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL3_PM2_PS1,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL3_PM2_PS2,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL4_PM1_PS1,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL4_PM1_PS2,-0.07421126154644953,-0.07421126154644953,-0.023104245032063334,-0.37925503378357084,-0.4668226594427126,0.0,-0.22,-0.05110701651438619,0.3050437722371213,0.3926113978962631
