cluster_id,candidate_id,longitudinal_reference,scalar_label,r_div_scalar,r_mag_scalar,r_Dzproj_kappa,r_kappa_vs_gr
Abell370,PL4_PM1_PS2,PL4,u_slow,nan,nan,nan,-0.21487014303118163
Abell370,PL4_PM2_PS1,PL4,u_slow,nan,nan,nan,-0.21487014303118163
Abell370,PL4_PM2_PS2,PL4,u_slow,nan,nan,nan,-0.21487014303118163
Abell370,PL5_PM1_PS1,PL5,F-S,nan,nan,nan,-0.21487014303118163
Abell370,PL5_PM1_PS2,PL5,F-S,nan,nan,nan,-0.21487014303118163
Abell370,PL5_PM2_PS1,PL5,F-S,nan,nan,nan,-0.21487014303118163
Abell370,PL5_PM2_PS2,PL5,F-S,nan,nan,nan,-0.21487014303118163
Abell370,PL6_PM1_PS1,PL6,T_combined (==c_3d),nan,nan,nan,-0.21487014303118163
Abell370,PL6_PM1_PS2,PL6,T_combined (==c_3d),nan,nan,nan,-0.21487014303118163
Abell370,PL6_PM2_PS1,PL6,T_combined (==c_3d),nan,nan,nan,-0.21487014303118163
Abell370,PL6_PM2_PS2,PL6,T_combined (==c_3d),nan,nan,nan,-0.21487014303118163
