cluster_id,candidate_id,max_abs_diff,rel_diff,passes
Abell370,PL1_PM2_PS1,0.0,0.0,True
Abell370,PL1_PM2_PS2,0.0,0.0,True
Abell370,PL2_PM1_PS1,0.0,0.0,True
Abell370,PL2_PM1_PS2,0.0,0.0,True
Abell370,PL2_PM2_PS1,0.0,0.0,True
Abell370,PL2_PM2_PS2,0.0,0.0,True
Abell370,PL3_PM1_PS1,0.0,0.0,True
Abell370,PL3_PM1_PS2,0.0,0.0,True
Abell370,PL3_PM2_PS1,0.0,0.0,True
Abell370,PL3_PM2_PS2,0.0,0.0,True
Abell370,PL4_PM1_PS1,0.0,0.0,True
Abell370,PL4_PM1_PS2,0.0,0.0,True
Abell370,PL4_PM2_PS1,0.0,0.0,True
Abell370,PL4_PM2_PS2,0.0,0.0,True
Abell370,PL5_PM1_PS1,0.0,0.0,True
Abell370,PL5_PM1_PS2,0.0,0.0,True
Abell370,PL5_PM2_PS1,0.0,0.0,True
Abell370,PL5_PM2_PS2,0.0,0.0,True
Abell370,PL6_PM1_PS1,0.0,0.0,True
Abell370,PL6_PM1_PS2,0.0,0.0,True
Abell370,PL6_PM2_PS1,0.0,0.0,True
Abell370,PL6_PM2_PS2,0.0,0.0,True
