cluster_id,nz,physical_depth,dz_voxel,response_energy,f_irr_3d,f_sol_3d,f_z,F_Dz,rx_proj_rms,ry_proj_rms,pearson_kappa_los
Abell2744,3,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Abell2744,9,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Abell2744,17,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
MACS0416,3,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
MACS0416,9,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
MACS0416,17,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
MACS1149,3,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
MACS1149,9,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
MACS1149,17,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
AbellS1063,3,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
AbellS1063,9,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
AbellS1063,17,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Abell370,3,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Abell370,9,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Abell370,17,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
