cluster_id,axis_label,rms_amplitude,shape
Abell2744,xp,0.00010067908071153101,"[9, 64, 64]"
Abell2744,yp,0.00010025074061966592,"[9, 64, 64]"
Abell2744,zp,0.00010007336502407575,"[9, 64, 64]"
MACS0416,xp,9.886792125812675e-05,"[9, 64, 64]"
MACS0416,yp,9.846752902397666e-05,"[9, 64, 64]"
MACS0416,zp,9.65840536143361e-05,"[9, 64, 64]"
MACS1149,xp,9.39026749410092e-05,"[9, 64, 64]"
MACS1149,yp,9.30846949765657e-05,"[9, 64, 64]"
MACS1149,zp,9.105578186508395e-05,"[9, 64, 64]"
AbellS1063,xp,9.540241420473089e-05,"[9, 64, 64]"
AbellS1063,yp,9.509935321163826e-05,"[9, 64, 64]"
AbellS1063,zp,9.389250330361903e-05,"[9, 64, 64]"
Abell370,xp,0.00010127967054129224,"[9, 64, 64]"
Abell370,yp,0.00010148523487905395,"[9, 64, 64]"
Abell370,zp,0.00010350410284907499,"[9, 64, 64]"
