cluster_id,transform,E_x,E_y,E_z
Abell2744,RC0,0.0,0.0,0.0
Abell2744,RC1,0.0,0.0,0.0
Abell2744,RC2,0.0,0.0,0.0
Abell2744,RC3,0.0,0.0,0.0
Abell2744,RC4,0.0,0.0,0.0
Abell2744,RC5,0.0,0.0,0.0
Abell2744,RC6,0.0,0.0,0.0
MACS0416,RC0,0.0,0.0,0.0
MACS0416,RC1,0.0,0.0,0.0
MACS0416,RC2,0.0,0.0,0.0
MACS0416,RC3,0.0,0.0,0.0
MACS0416,RC4,0.0,0.0,0.0
MACS0416,RC5,0.0,0.0,0.0
MACS0416,RC6,0.0,0.0,0.0
MACS1149,RC0,0.0,0.0,0.0
MACS1149,RC1,0.0,0.0,0.0
MACS1149,RC2,0.0,0.0,0.0
MACS1149,RC3,0.0,0.0,0.0
MACS1149,RC4,0.0,0.0,0.0
MACS1149,RC5,0.0,0.0,0.0
MACS1149,RC6,0.0,0.0,0.0
AbellS1063,RC0,0.0,0.0,0.0
AbellS1063,RC1,0.0,0.0,0.0
AbellS1063,RC2,0.0,0.0,0.0
AbellS1063,RC3,0.0,0.0,0.0
AbellS1063,RC4,0.0,0.0,0.0
AbellS1063,RC5,0.0,0.0,0.0
AbellS1063,RC6,0.0,0.0,0.0
Abell370,RC0,0.0,0.0,0.0
Abell370,RC1,0.0,0.0,0.0
Abell370,RC2,0.0,0.0,0.0
Abell370,RC3,0.0,0.0,0.0
Abell370,RC4,0.0,0.0,0.0
Abell370,RC5,0.0,0.0,0.0
Abell370,RC6,0.0,0.0,0.0
