cluster_id,transform,E_cov,E_x,E_y,E_z,E_mag,cos_mean,cos_median,passes_covariance,tolerance,passes
Abell2744,RC0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,0.05,
Abell2744,RC1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
Abell2744,RC2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
Abell2744,RC3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
Abell2744,RC4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
Abell2744,RC5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
Abell2744,RC6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
MACS0416,RC0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,0.05,
MACS0416,RC1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
MACS0416,RC2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
MACS0416,RC3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
MACS0416,RC4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
MACS0416,RC5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
MACS0416,RC6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
MACS1149,RC0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,0.05,
MACS1149,RC1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
MACS1149,RC2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
MACS1149,RC3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
MACS1149,RC4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
MACS1149,RC5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
MACS1149,RC6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
AbellS1063,RC0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,0.05,
AbellS1063,RC1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
AbellS1063,RC2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
AbellS1063,RC3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
AbellS1063,RC4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
AbellS1063,RC5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
AbellS1063,RC6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
Abell370,RC0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,0.05,
Abell370,RC1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
Abell370,RC2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
Abell370,RC3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
Abell370,RC4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
Abell370,RC5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
Abell370,RC6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.05,True
