cluster_id,grid_shape_z,grid_shape_y,grid_shape_x,n_unordered_pairs_xp,n_unordered_pairs_yp,n_unordered_pairs_zp,unique_unordered_pairs
Abell2744,9,64,64,32768,36288,36288,True
MACS0416,9,64,64,32768,36288,36288,True
MACS1149,9,64,64,32768,36288,36288,True
AbellS1063,9,64,64,32768,36288,36288,True
Abell370,9,64,64,32768,36288,36288,True
