cluster_id,candidate_id,pair_symmetrization,magnitude_formulation,longitudinal_reference,response_energy,f_irr_3d,antisymmetry_error
Abell370,PL3_PM2_PS2,PS2,PM2,PL3,0.0,0.0,0.0
Abell370,PL4_PM1_PS1,PS1,PM1,PL4,0.0,0.0,0.0
Abell370,PL4_PM1_PS2,PS2,PM1,PL4,0.0,0.0,0.0
Abell370,PL4_PM2_PS1,PS1,PM2,PL4,0.0,0.0,0.0
Abell370,PL4_PM2_PS2,PS2,PM2,PL4,0.0,0.0,0.0
Abell370,PL5_PM1_PS1,PS1,PM1,PL5,0.0,0.0,0.0
Abell370,PL5_PM1_PS2,PS2,PM1,PL5,0.0,0.0,0.0
Abell370,PL5_PM2_PS1,PS1,PM2,PL5,0.0,0.0,0.0
Abell370,PL5_PM2_PS2,PS2,PM2,PL5,0.0,0.0,0.0
Abell370,PL6_PM1_PS1,PS1,PM1,PL6,0.0,0.0,0.0
Abell370,PL6_PM1_PS2,PS2,PM1,PL6,0.0,0.0,0.0
Abell370,PL6_PM2_PS1,PS1,PM2,PL6,0.0,0.0,0.0
Abell370,PL6_PM2_PS2,PS2,PM2,PL6,0.0,0.0,0.0
