family_number,family_code,family_name,is_wrong,cluster_id,cluster_label,spatial_correlation_length,temporal_persistence_length,cooperative_interaction_index,emergent_coherence_index,emergent_memory_index,coherence_gain
1,N1,First Neighbour Only (Control),False,Abell2744,Abell 2744,3.0,4.0,0.6172772821891781,0.0010060890409779458,0.999999988472907,-0.0029320377533897605
2,N2,Two-Ring Neighbourhood,False,Abell2744,Abell 2744,3.0,4.0,0.5672595423416587,0.0026850656772788965,0.9999999896860929,-0.0012530611170888098
3,N3,Three-Ring Neighbourhood,False,Abell2744,Abell 2744,3.0,4.0,0.5330086621403844,0.004273267131612253,0.9999999899427436,0.0003351403372445468
4,N4,Exponential Decay,False,Abell2744,Abell 2744,3.0,4.0,0.5521051955806817,0.003476741508255662,0.9999999898571992,-0.00046138528611204413
5,N5,Gaussian Local Field,False,Abell2744,Abell 2744,3.0,4.0,0.5648299372634062,0.0027822938469185695,0.9999999897480648,-0.0011558329474491368
6,N6,Inverse Distance,False,Abell2744,Abell 2744,3.0,4.0,0.5249748981522373,0.004667214420112224,0.9999999899653433,0.0007290876257445176
7,N7,Inverse Square,False,Abell2744,Abell 2744,3.0,4.0,0.5631830896445023,0.003040325050809946,0.9999999897886677,-0.0008978017435577602
8,N8,Finite Radius,False,Abell2744,Abell 2744,3.0,4.0,0.4956663112087482,0.005714606415039,0.9999999899920669,0.001776479620671294
9,N9,Orientation-Weighted,False,Abell2744,Abell 2744,3.0,4.0,0.5340506410637849,0.004776094545401146,0.9920329227521346,0.0008379677510334397
10,N10,Adaptive Local Field,False,Abell2744,Abell 2744,3.0,4.0,0.5330086621403844,0.0042732671316122565,0.9999999899427436,0.00033514033724455026
11,N11,Cooperative Relaxation,False,Abell2744,Abell 2744,3.0,4.0,0.5769696288744878,0.0027871413938168202,1.0,-0.001150985400550886
12,N12,Mean Local Potential,False,Abell2744,Abell 2744,3.0,5.0,0.6282381541454423,-0.0008644945039459324,0.9999999879024338,-0.0048026212983136385
13,WR1,Wrong: Random Weights,True,Abell2744,Abell 2744,3.0,4.0,0.50076694266983,0.0059326165684883535,0.4645963434659141,0.0019944897741206473
14,WR2,Wrong: Negative Weights,True,Abell2744,Abell 2744,3.0,0.0,0.0010408265980814944,-0.0008643733027944596,1.0,-0.004802500097162166
15,WR3,Wrong: Extremely Long-Range,True,Abell2744,Abell 2744,3.0,4.0,0.4007845913419058,0.007509512946112898,0.9999999895298854,0.003571386151745192
16,WR4,Wrong: Shuffled Topology,True,Abell2744,Abell 2744,3.0,4.0,0.6172772821891781,0.0010060890409779458,0.999999988472907,-0.0029320377533897605
