family_number,family_code,family_name,is_wrong,cluster_id,cluster_label,spatial_correlation_length,temporal_persistence_length,cooperative_interaction_index,emergent_coherence_index,emergent_memory_index,coherence_gain
1,N1,First Neighbour Only (Control),False,MACS0416,MACS J0416,8.0,4.0,0.6158884062214522,0.0009002072303359585,0.9999999884827642,0.0014116649821474111
2,N2,Two-Ring Neighbourhood,False,MACS0416,MACS J0416,8.0,4.0,0.563505860545813,0.0021448093355348665,0.9999999896883209,0.002656267087346319
3,N3,Three-Ring Neighbourhood,False,MACS0416,MACS J0416,7.0,4.0,0.5308136557871275,0.003799372106142204,0.9999999899355365,0.004310829857953656
4,N4,Exponential Decay,False,MACS0416,MACS J0416,7.0,4.0,0.5505422023416922,0.0032182456152449884,0.9999999898573995,0.003729703367056441
5,N5,Gaussian Local Field,False,MACS0416,MACS J0416,7.0,4.0,0.5628002121631361,0.0027894538742615207,0.999999989751663,0.003300911626072973
6,N6,Inverse Distance,False,MACS0416,MACS J0416,7.0,4.0,0.5230117661977767,0.004525887761950779,0.9999999899546751,0.005037345513762231
7,N7,Inverse Square,False,MACS0416,MACS J0416,7.0,4.0,0.5624781987221639,0.0030843414641749593,0.9999999897930233,0.0035957992159864117
8,N8,Finite Radius,False,MACS0416,MACS J0416,7.0,4.0,0.492104293076421,0.003842524672574522,0.9999999899637814,0.0043539824243859744
9,N9,Orientation-Weighted,False,MACS0416,MACS J0416,8.0,4.0,0.5344060524527571,0.002038967517245163,0.9911016046945854,0.0025504252690566154
10,N10,Adaptive Local Field,False,MACS0416,MACS J0416,7.0,4.0,0.5308136557871275,0.0037993721061422066,0.9999999899355365,0.004310829857953659
11,N11,Cooperative Relaxation,False,MACS0416,MACS J0416,7.0,4.0,0.5814409379157339,0.0005137188811337547,1.0,0.0010251766329452071
12,N12,Mean Local Potential,False,MACS0416,MACS J0416,8.0,5.0,0.626581863194892,-0.0017997630889685242,0.9999999300594787,-0.0012883053371570718
13,WR1,Wrong: Random Weights,True,MACS0416,MACS J0416,7.0,4.0,0.4971476227586576,0.0041641705058122645,0.47567267924180784,0.004675628257623717
14,WR2,Wrong: Negative Weights,True,MACS0416,MACS J0416,8.0,0.0,0.0010332329888939982,-0.0018010341493524097,1.0,-0.0012895763975409574
15,WR3,Wrong: Extremely Long-Range,True,MACS0416,MACS J0416,7.0,4.0,0.3955053857547816,0.002982075111204154,0.9999999895459631,0.003493532863015606
16,WR4,Wrong: Shuffled Topology,True,MACS0416,MACS J0416,8.0,4.0,0.6158884062214522,0.0009002072303359585,0.9999999884827642,0.0014116649821474111
1,N1,First Neighbour Only (Control),False,MACS1149,MACS J1149,4.0,4.0,0.6127442982567712,-0.003555206463659701,0.9999999885241838,0.004105446748852088
2,N2,Two-Ring Neighbourhood,False,MACS1149,MACS J1149,4.0,4.0,0.560352682730425,-0.004609192119811288,0.999999989785413,0.003051461092700501
3,N3,Three-Ring Neighbourhood,False,MACS1149,MACS J1149,4.0,4.0,0.528318813435708,-0.004760047590076652,0.99999999006626,0.002900605622435137
4,N4,Exponential Decay,False,MACS1149,MACS J1149,4.0,4.0,0.5480643147666785,-0.004598997453756486,0.9999999899712123,0.0030616557587553033
5,N5,Gaussian Local Field,False,MACS1149,MACS J1149,4.0,4.0,0.5601262579485978,-0.004282993783321477,0.999999989852216,0.0033776594291903125
6,N6,Inverse Distance,False,MACS1149,MACS J1149,4.0,4.0,0.5206005465499267,-0.004807608317186766,0.9999999900917175,0.002853044895325023
7,N7,Inverse Square,False,MACS1149,MACS J1149,4.0,4.0,0.5603380872670521,-0.004220768580865263,0.9999999898967807,0.0034398846316465266
8,N8,Finite Radius,False,MACS1149,MACS J1149,4.0,4.0,0.48934639529302393,-0.0052553407607179685,0.9999999901249216,0.002405312451793821
9,N9,Orientation-Weighted,False,MACS1149,MACS J1149,4.0,4.0,0.5347624156878307,-0.004501432093689126,0.9893656210051339,0.003159221118822663
10,N10,Adaptive Local Field,False,MACS1149,MACS J1149,4.0,4.0,0.528318813435708,-0.004760047590076662,0.99999999006626,0.0029006056224351274
11,N11,Cooperative Relaxation,False,MACS1149,MACS J1149,4.0,4.0,0.5873841189062066,-0.0032249820403535325,1.0,0.004435671172158257
12,N12,Mean Local Potential,False,MACS1149,MACS J1149,4.0,5.0,0.6246373032223804,-0.0029421605473173903,0.9999999067040415,0.004718492665194399
13,WR1,Wrong: Random Weights,True,MACS1149,MACS J1149,4.0,4.0,0.49539215339476517,-0.003937490908614976,0.48465396327045657,0.0037231623038968134
14,WR2,Wrong: Negative Weights,True,MACS1149,MACS J1149,4.0,0.0,0.0010243980239865048,-0.0029469083742208716,1.0,0.004713744838290918
15,WR3,Wrong: Extremely Long-Range,True,MACS1149,MACS J1149,4.0,4.0,0.40266412923230505,-0.003336815803565086,0.999999989648233,0.004323837408946703
16,WR4,Wrong: Shuffled Topology,True,MACS1149,MACS J1149,4.0,4.0,0.6127442982567712,-0.003555206463659701,0.9999999885241838,0.004105446748852088
1,N1,First Neighbour Only (Control),False,AbellS1063,Abell S1063,3.0,4.0,0.615525735506971,0.000894494384791822,0.9999999885577351,-0.0018040168322618335
2,N2,Two-Ring Neighbourhood,False,AbellS1063,Abell S1063,3.0,4.0,0.5652377358712101,0.00160410592315516,0.99999998983233,-0.0010944052938984957
3,N3,Three-Ring Neighbourhood,False,AbellS1063,Abell S1063,3.0,4.0,0.5354561238981934,0.0038211569229773066,0.9999999901348097,0.001122645705923651
4,N4,Exponential Decay,False,AbellS1063,Abell S1063,3.0,4.0,0.5535190747115493,0.0034269461183278893,0.9999999900300317,0.0007284349012742337
5,N5,Gaussian Local Field,False,AbellS1063,Abell S1063,3.0,4.0,0.5647558284063467,0.002503922916435638,0.999999989903448,-0.00019458830061801777
6,N6,Inverse Distance,False,AbellS1063,Abell S1063,3.0,4.0,0.5282558564247143,0.003944279778500736,0.999999990166556,0.0012457685614470806
7,N7,Inverse Square,False,AbellS1063,Abell S1063,3.0,4.0,0.5648418050175841,0.0032350342769049555,0.9999999899526076,0.0005365230598512998
8,N8,Finite Radius,False,AbellS1063,Abell S1063,3.0,4.0,0.4990288390118078,0.00534919400344177,0.9999999902224346,0.0026506827863881145
9,N9,Orientation-Weighted,False,AbellS1063,Abell S1063,3.0,4.0,0.5393261985989797,0.0027388646755671844,0.9901675483275169,4.035345851352871e-05
10,N10,Adaptive Local Field,False,AbellS1063,Abell S1063,3.0,4.0,0.5354561238981933,0.003821156922977302,0.9999999901348096,0.0011226457059236462
11,N11,Cooperative Relaxation,False,AbellS1063,Abell S1063,3.0,4.0,0.5884553226876389,0.0010971011497141485,1.0,-0.0016014100673395072
12,N12,Mean Local Potential,False,AbellS1063,Abell S1063,3.0,5.0,0.6256656697665491,-0.0010685537478201544,0.9999999721435355,-0.00376706496487381
13,WR1,Wrong: Random Weights,True,AbellS1063,Abell S1063,3.0,4.0,0.5039949703086797,0.004753748614548793,0.4754379620437243,0.0020552373974951376
14,WR2,Wrong: Negative Weights,True,AbellS1063,Abell S1063,3.0,0.0,0.0010284147869132317,-0.001068643406232415,1.0,-0.0037671546232860707
15,WR3,Wrong: Extremely Long-Range,True,AbellS1063,Abell S1063,3.0,4.0,0.4120344718026891,0.011389621383538539,0.9999999898829618,0.008691110166484883
16,WR4,Wrong: Shuffled Topology,True,AbellS1063,Abell S1063,3.0,4.0,0.615525735506971,0.000894494384791822,0.9999999885577351,-0.0018040168322618335
1,N1,First Neighbour Only (Control),False,Abell370,Abell 370,3.0,4.0,0.6154390135909809,-0.001165145723460706,0.999999988332208,0.0012513896798928403
2,N2,Two-Ring Neighbourhood,False,Abell370,Abell 370,3.0,4.0,0.5621645024326776,-0.003113368277678336,0.9999999895378311,-0.0006968328743247897
3,N3,Three-Ring Neighbourhood,False,Abell370,Abell 370,3.0,4.0,0.5262596000393466,-0.002972579052112452,0.999999989808427,-0.0005560436487589055
4,N4,Exponential Decay,False,Abell370,Abell 370,3.0,4.0,0.5465067605453076,-0.0033665751058743754,0.999999989716677,-0.000950039702520829
5,N5,Gaussian Local Field,False,Abell370,Abell 370,3.0,4.0,0.5601658396227686,-0.003215889763962654,0.9999999896029886,-0.0007993543606091076
6,N6,Inverse Distance,False,Abell370,Abell 370,3.0,4.0,0.5179478169958842,-0.0028989184574406985,0.9999999898357356,-0.00048238305408715215
7,N7,Inverse Square,False,Abell370,Abell 370,3.0,4.0,0.5583638618535637,-0.0033420269546495973,0.9999999896471756,-0.000925491551296051
8,N8,Finite Radius,False,Abell370,Abell 370,3.0,4.0,0.4875685578004157,-0.0019261673530966113,0.999999989879437,0.000490368050256935
9,N9,Orientation-Weighted,False,Abell370,Abell 370,3.0,4.0,0.5277404255793402,-0.002804183300878374,0.9918129948378978,-0.00038764789752482754
10,N10,Adaptive Local Field,False,Abell370,Abell 370,3.0,4.0,0.5262596000393466,-0.002972579052112458,0.999999989808427,-0.0005560436487589116
11,N11,Cooperative Relaxation,False,Abell370,Abell 370,3.0,4.0,0.5693371226166957,-0.0020819691433134513,1.0,0.00033456626004009504
12,N12,Mean Local Potential,False,Abell370,Abell 370,3.0,5.0,0.6292338417715717,-0.0023467170135124896,0.9999999931936646,6.981838984105671e-05
13,WR1,Wrong: Random Weights,True,Abell370,Abell 370,3.0,4.0,0.49242781315322337,-0.0016395847696226307,0.4657902293901874,0.0007769506337309156
14,WR2,Wrong: Negative Weights,True,Abell370,Abell 370,3.0,0.0,0.0010455903156461948,-0.0023494212783233786,1.0,6.71141250301677e-05
15,WR3,Wrong: Extremely Long-Range,True,Abell370,Abell 370,3.0,4.0,0.3923769857523187,-0.005361694495778657,0.9999999896858776,-0.0029451590924251107
16,WR4,Wrong: Shuffled Topology,True,Abell370,Abell 370,3.0,4.0,0.6154390135909809,-0.001165145723460706,0.999999988332208,0.0012513896798928403
