candidate,candidate_id,bend_max,bending_angle_max,conservation,mirror_bend_max,bending_diff,runtime,mirror_delta,mirror_relative,mirror_passed,translation_delta,rotation_delta,repeatability_delta
Cand 1,global_plus,6.618101068510725e-05,0.0003027695130772518,1.1102230246251565e-16,6.618101068510725e-05,0.0,0.0019549200078472495,0.0001323620213702145,2.0,False,1.6373707620864764e-06,6.486374933004725e-05,0.0
Cand 2,global_minus,6.618073109838509e-05,0.0003027533027156357,2.220446049250313e-16,6.618073109838509e-05,0.0,0.0018682900117710233,0.00013236146219677017,2.0,False,1.6374403438712548e-06,6.48634707826331e-05,0.0
Cand 3,local_laplacian,6.618101068510725e-05,0.0003027695130772518,1.1102230246251565e-16,6.618101068510725e-05,0.0,0.0020795209566131234,0.0001323620213702145,2.0,False,1.6373707620864764e-06,6.486374933004725e-05,0.0
Cand 4,symmetric_dual,6.618101068510725e-05,0.0003027695130772518,2.220446049250313e-16,6.618101068510725e-05,0.0,0.0037090900586917996,7.174110194796413e-10,1.0840133930458101e-05,True,2.1210899703305586e-10,5.82041304042491e-09,0.0
Cand 5,local_centre,6.618073109790462e-05,0.0003027533027156357,2.220446049250313e-16,6.618073109790462e-05,0.0,0.0022313710069283843,0.00013236146219580924,2.0,False,3.403818015013105e-05,6.749799245296463e-05,0.0
