version,rmse_pbuf,rmse_baryonic_gr,rmse_lcdm,all_validation_gates_pass,response,stiffness,computational_cost_seconds
A,0.0003822288848626562,0.003881056810842542,0.026165221430429757,True,local linear,constant,0.6859457492828369
B,0.00019210569324043723,0.003881056810842542,0.026165221430429757,False,local nonlinear,constant,0.5893721580505371
C,0.0005291126982548718,0.003881056810842542,0.026165221430429757,True,local nonlinear,increases with loading,0.5876798629760742
D,0.00019210569324043723,0.003881056810842542,0.026165221430429757,True,nonlocal linear propagation of nonlinear loading,constant propagation rigidity,0.5894558429718018
