cluster_id,cluster_label,candidate_id,physical_source_representation,endpoint_role,shape,n_pairs,interface_expected_pair_count,interface_consumed_pair_count,interface_pair_count_ok,interface_energy,endpoint_energy_bookkeeping,endpoint_closure_bookkeeping,valid_longitudinal_count,gradient_rms,los_rx_rms,los_ry_rms,ray_classification,n_photons,mean_endpoint_displacement,max_endpoint_displacement,conservation_max,kappa_finite_count,kappa_total_count,kappa_finite_fraction,kappa_variance_finite,kappa_rms_finite,gamma1_rms_finite,gamma2_rms_finite,pearson_vs_observed,spearman_vs_observed,trajectory_sha256,helmholtz_none_field_reconstruction_error,helmholtz_none_energy_closure_error,helmholtz_none_orthogonality_error,helmholtz_none_f_irr_partition,helmholtz_none_f_sol_partition,helmholtz_none_f_irr_native,helmholtz_none_f_sol_native,helmholtz_padded_field_reconstruction_error,helmholtz_padded_energy_closure_error,helmholtz_padded_orthogonality_error,helmholtz_padded_f_irr_partition,helmholtz_padded_f_sol_partition,helmholtz_padded_f_irr_native,helmholtz_padded_f_sol_native,integrity_pass
Abell2744,Abell 2744,PL1_PM1_PS2,M10_interface_field,conservation_bookkeeping_only,"[9, 64, 64]",105344,105344,105344,True,1.59223476841446e-05,7.731914476079329e-05,6.957714862132456e-18,36864,0.0014143122373825301,8.695841983331123e-05,8.295845755976112e-05,structured_normal,19881,4.769999996533083,4.76999999986721,2.220446049250313e-16,288,4096,0.0703125,6.671172110909503e-06,0.0025829876272910795,0.0012914943027402851,9.040243732171375e-05,0.18233550546929617,0.11643940215971611,47cee61b80a7970ee5dd20d8fc94a2e642a2627a827da86951de733511e1aac0,2.279732543269273e-17,0.0037096258689691495,0.0018548129344845424,0.6332053718760512,0.36679462812394886,0.6308564168481695,0.3654339572828613,2.4343695597196833e-17,0.005425937793409684,0.002712968896704937,0.6329313160328857,0.3670686839671144,0.636365561981181,0.3690603758122287,True
MACS0416,MACS J0416,PL1_PM1_PS2,M10_interface_field,conservation_bookkeeping_only,"[9, 64, 64]",105344,105344,105344,True,1.2839170935185423e-05,5.983317615058681e-05,1.4092960140259168e-17,36864,0.0013017267537571654,7.541788635671361e-05,7.59806424918285e-05,structured_normal,19881,4.769999997126308,4.7699999997622315,2.220446049250313e-16,288,4096,0.0703125,7.693479536289813e-06,0.002775584783119986,0.0013877929488777894,0.00012033672516413728,-0.05572210819315245,-0.06911423105827696,1abfd6f6a429f7f323b8ad6ad6cadf088aab2c12c3785096a417112d56019118,2.3852343747886095e-17,0.002456713428535857,0.0012283567142679047,0.6374874185330918,0.3625125814669082,0.635921294631459,0.3616219919400052,2.422985356725134e-17,0.007207107317748796,0.00360355365887441,0.635335739379935,0.3646642606200649,0.6399146722364476,0.3672924350813012,True
MACS1149,MACS J1149,PL1_PM1_PS2,M10_interface_field,conservation_bookkeeping_only,"[9, 64, 64]",105344,105344,105344,True,7.072168161708704e-06,3.142609827009618e-05,6.992893892674703e-18,36864,0.0009233579432126239,5.596362372218767e-05,5.6711876652984e-05,structured_normal,19881,4.769999997867199,4.769999999968111,2.220446049250313e-16,288,4096,0.0703125,1.6504359159092488e-06,0.0012850018595826616,0.0006425009657464724,7.330647343292186e-05,-0.06761928786792495,-0.037705717270561045,78eb3285a4e7dce16395785e30762543c6f2b6e174f01ecb11d17b07b16cd1df,2.287069229087536e-17,0.002320924450192297,0.001160462225096141,0.6418459088061401,0.35815409119385994,0.640356232943136,0.3573228426066717,2.3859563272692523e-17,0.003850378490315164,0.0019251892451575784,0.641834546179179,0.35816545382082093,0.6443058521101286,0.3595445263801866,True
AbellS1063,Abell S1063,PL1_PM1_PS2,M10_interface_field,conservation_bookkeeping_only,"[9, 64, 64]",105344,105344,105344,True,1.0234042912902285e-05,4.4823182114632146e-05,8.257037746534327e-19,36864,0.0011153019770397225,6.881518690790575e-05,6.924780102478496e-05,structured_normal,19881,4.7699999920449585,4.769999999967537,2.220446049250313e-16,288,4096,0.0703125,9.40960327038184e-06,0.003069219295729456,0.001534607601029217,8.953401852675493e-05,-0.07107472338453225,-0.018136953490147854,7bec87957163cceefb45dc57ccc72d78a2aa4c1749e42f2c14b960ddb1ffcde9,2.2629528553285385e-17,0.002278265602488494,0.001139132801244247,0.6481648733617403,0.35183512663825967,0.646688181626019,0.3510335527714925,2.2770337299014443e-17,0.0016278981637925748,0.0008139490818963275,0.6482683342171209,0.3517316657828792,0.6493236490480379,0.3523042491157548,True
Abell370,Abell 370,PL1_PM1_PS2,M10_interface_field,conservation_bookkeeping_only,"[9, 64, 64]",105344,105344,105344,True,1.9420397085643687e-05,8.580328221400126e-05,2.0822327832336436e-17,36864,0.0015370754025009644,9.854755560486186e-05,9.560410504404799e-05,structured_normal,19881,4.769999995047265,4.769999999831228,2.220446049250313e-16,288,4096,0.0703125,1.2231235736143393e-05,0.0034977646675681544,0.0017488843245342665,0.0001132868578370747,0.030198787179214856,0.07274875516921259,9df4496cdaf58b1b57c7221ae1429e4665f31242a4b16ad46b39ef2f57214fad,2.3034351594033384e-17,0.0029510358552257347,0.0014755179276128947,0.6628812009663019,0.3371187990336982,0.6609250147744952,0.33612394937027906,2.2806227793896517e-17,0.0025786236643371304,0.0012893118321684915,0.6616262857989514,0.33837371420104856,0.66333237099646,0.33924625266787706,True
