cluster_id,first_step_exact_max_abs_error,first_step_exact_rms_error,first_step_small_approx_max_abs_error,first_step_small_approx_rms_error,actual_dy_vs_exact_pearson,actual_dy_vs_exact_spearman,actual_dy_vs_exact_count,actual_dy_vs_small_pearson,actual_dy_vs_small_spearman,actual_dy_vs_small_count,first_step_exact_pass,initial_Rx_vs_observed_pearson,initial_Rx_vs_observed_spearman,initial_Rx_vs_observed_count,initial_Rx_vs_los_mag_pearson,initial_Rx_vs_los_mag_spearman,initial_Rx_vs_los_mag_count,initial_Ry_vs_observed_pearson,initial_Ry_vs_observed_spearman,initial_Ry_vs_observed_count,initial_Ry_vs_los_mag_pearson,initial_Ry_vs_los_mag_spearman,initial_Ry_vs_los_mag_count,initial_abs_Rx_vs_observed_pearson,initial_abs_Rx_vs_observed_spearman,initial_abs_Rx_vs_observed_count,initial_abs_Rx_vs_los_mag_pearson,initial_abs_Rx_vs_los_mag_spearman,initial_abs_Rx_vs_los_mag_count,initial_abs_Ry_vs_observed_pearson,initial_abs_Ry_vs_observed_spearman,initial_abs_Ry_vs_observed_count,initial_abs_Ry_vs_los_mag_pearson,initial_abs_Ry_vs_los_mag_spearman,initial_abs_Ry_vs_los_mag_count,first_step_actual_dy_vs_observed_pearson,first_step_actual_dy_vs_observed_spearman,first_step_actual_dy_vs_observed_count,first_step_actual_dy_vs_los_mag_pearson,first_step_actual_dy_vs_los_mag_spearman,first_step_actual_dy_vs_los_mag_count,first_step_exact_dy_vs_observed_pearson,first_step_exact_dy_vs_observed_spearman,first_step_exact_dy_vs_observed_count,first_step_exact_dy_vs_los_mag_pearson,first_step_exact_dy_vs_los_mag_spearman,first_step_exact_dy_vs_los_mag_count,first_step_small_dy_vs_observed_pearson,first_step_small_dy_vs_observed_spearman,first_step_small_dy_vs_observed_count,first_step_small_dy_vs_los_mag_pearson,first_step_small_dy_vs_los_mag_spearman,first_step_small_dy_vs_los_mag_count
Abell2744,2.21937465183371e-16,9.634673186969898e-17,1.543384860046066e-11,4.89084953392048e-13,1.0,1.0,1024,0.9999999999870481,1.0,1024,True,-0.2955008641541658,-0.02981983361347543,1024,-0.31756254294036357,-0.004115697196194836,1024,-0.06648777795284619,-0.060248562781632216,1024,-0.22579667676659995,-0.13293813926042486,1024,0.7211543206272836,0.6876409949216794,1024,0.7981398817596151,0.7431021564981045,1024,0.7261264585309845,0.6224942332451183,1024,0.7957361664147138,0.7261252436342178,1024,-0.06648811017893012,-0.060248562781632216,1024,-0.22579756617917993,-0.13293813926042486,1024,-0.06648811018985176,-0.060248562781632216,1024,-0.2257975661693284,-0.13293813926042486,1024,-0.0664877779528462,-0.060248562781632216,1024,-0.22579667676659998,-0.13293813926042486,1024
MACS0416,2.2179720864550165e-16,9.795584530993826e-17,1.857999270445906e-11,6.722761004383349e-13,1.0,1.0,1024,0.9999999999703677,1.0,1024,True,-0.37799625734117703,-0.01605454131283675,1024,-0.383024541717334,0.026321715631929046,1024,-0.1652968135568477,-0.06583143622226531,1024,-0.3605861337415416,-0.16981313926042485,1024,0.6857091215287043,0.5845339019757709,1024,0.8319268917480963,0.7582354847650382,1024,0.7174645305122517,0.613429720334023,1024,0.8277041786889283,0.7378461282275945,1024,-0.1652979667264663,-0.06583143622226531,1024,-0.36058774259107695,-0.16981313926042485,1024,-0.16529796672191438,-0.06583143622226531,1024,-0.3605877425754736,-0.16981313926042485,1024,-0.1652968135568478,-0.06583143622226531,1024,-0.3605861337415415,-0.16981313926042485,1024
MACS1149,2.204930502559467e-16,9.813079703528917e-17,6.323403341274368e-12,2.154661419027383e-13,1.0,1.0,1024,0.9999999999962805,1.0,1024,True,-0.35260606157753616,-0.14654670358951036,1024,-0.4024071413097425,-0.09945132009512911,1024,-0.03684985616544586,-0.010863740061982766,1024,-0.11761601046785125,-0.024274316483084184,1024,0.7937824865747387,0.7796396186385481,1024,0.8825974022983583,0.8523614972999071,1024,0.7723168556352028,0.8163948552819781,1024,0.814232195641899,0.867820636041771,1024,-0.03685017172587689,-0.010863740061982766,1024,-0.11761660852023882,-0.024274316483084184,1024,-0.03685017178648824,-0.010863740061982766,1024,-0.11761660856814662,-0.024274316483084184,1024,-0.036849856165445775,-0.010863740061982766,1024,-0.11761601046785117,-0.024274316483084184,1024
AbellS1063,2.219270873754059e-16,9.704863414163432e-17,3.118794484751672e-11,8.051475918532692e-13,1.0,1.0,1024,0.9999999999763711,1.0,1024,True,-0.44951609915668433,-0.14333814641298906,1024,-0.4724973340133824,-0.1462592648058079,1024,-0.15533265733028498,-0.05161419962806666,1024,-0.26748850248799155,-0.05174426453758672,1024,0.7953004644879085,0.7821076147986553,1024,0.8640358351719164,0.8702530666618983,1024,0.8035624806797259,0.7856873502431871,1024,0.8533538354086002,0.8663948953043417,1024,-0.15533466277390046,-0.05161419962806666,1024,-0.26749143105988277,-0.05174426453758672,1024,-0.15533466276837013,-0.05161419962806666,1024,-0.2674914310713967,-0.05174426453758672,1024,-0.15533265733028498,-0.05161419962806666,1024,-0.2674885024879915,-0.05174426453758672,1024
Abell370,2.2195671202186387e-16,9.571448807223474e-17,2.1231235479223943e-11,7.815995842184523e-13,1.0,1.0,1024,0.9999999999758004,0.9999999888241184,1024,True,-0.5134960973125064,-0.2071900481009942,1024,-0.5277879374789289,-0.16265751287461555,1024,-0.062332176283264866,-0.039301652689364135,1024,-0.13951266333066345,-0.04057496557828481,1024,0.7836678958219763,0.7053101195372291,1024,0.8611687472785677,0.7680315584543309,1024,0.7362554401001448,0.6626700075101924,1024,0.8006914033794634,0.7623996070560046,1024,-0.06233214406743214,-0.03930303849867678,1024,-0.13951311872408365,-0.04057820658393534,1024,-0.06233214408083565,-0.03930303849867678,1024,-0.13951311874351027,-0.04057820658393534,1024,-0.0623321762832649,-0.039301652689364135,1024,-0.13951266333066348,-0.04057496557828481,1024
