dataset,dataset_id,runtime,max_bending,rms_bending,max_convergence,rms_convergence,max_shear,rms_shear,max_conservation,finite_outputs,photon_count
Isolated cluster,isolated,0.007344354991801083,6.618101068512489e-05,3.126323086705932e-05,0.5,0.5,4.739999999999974,0.5442460021034995,2.220446049250313e-16,True,2000
Binary cluster,binary,0.007346475031226873,0.009473001105613135,0.004322657267402118,0.5,0.5,4.739999999998802,0.5442445678488292,2.220446049250313e-16,True,2000
Elongated cluster,elongated,0.007305525941774249,0.043760503848544685,0.01513029900309937,0.5,0.5,4.739999999999975,0.5442425087879745,2.220446049250313e-16,True,2000
Asymmetric cluster,asymmetric,0.007283534971065819,3.81875615254601e-07,1.7436863508743092e-07,0.5,0.5,4.739999999999975,0.5442460022246288,1.1102230246251565e-16,True,2000
Sparse field,sparse,0.007323026075027883,0.09864581125307018,0.08091814615095723,0.5,0.5,4.739747364707312,0.5441713351780834,2.220446049250313e-16,True,2000
Dense field,dense,0.007237085956148803,0.0,0.0,0.5,0.5,4.739999999999975,0.544246002224634,0.0,True,2000
