cluster_id,model,stage_id,previous_stage_id,pearson_vs_previous,nrmse_vs_previous,ssim_vs_previous,amplitude_ratio,sign_agreement,mean_bias
Abell2744,C10,S01,S00,1.0,0.5029203419269531,0.15555215470693326,0.18,1.0,0.06561916731791755
Abell2744,C10,S02,S01,0.5031766777105277,0.08700672187048877,0.3838528236361361,1.9362908165560102,0.87451171875,-0.016753351621282886
Abell2744,C10,C10-S03,S02,0.3853118722323762,0.7739969672217251,0.014302931666722949,18.097096496485648,0.98486328125,-0.6506410332471398
Abell2744,C10,C10-S04,C10-S03,0.011096158050028426,1.478921408805558,2.7539685023959915e-05,0.038343434802875276,0.495361328125,0.681662568698228
Abell2744,C10,C10-S05,C10-S04,0.4204686870316895,0.08025692814403189,0.3951718206519028,0.5829939065429582,0.689453125,0.0002271466256099927
Abell2744,C10,C10-S06,C10-S05,0.4204686870316895,0.05224716330148067,0.3951718206519028,1.715283794182014,0.689453125,-0.0002271466256099927
Abell2744,A8,S01,S00,1.0,0.0,0.9999999999999999,1.0,1.0,0.0
Abell2744,A8,S02,S01,0.48385749541395917,0.12164923351277852,0.05739614757584164,7.92051156362864,0.917236328125,-0.11465281156964502
Abell2744,A8,A8-S03,S02,0.5073439976289313,0.878654668343601,0.05705635963783474,0.12252368629397753,0.947509765625,0.11464002251648642
Abell2744,A8,A8-S04,A8-S03,0.9999825305531344,0.0005619645059581682,0.9999767256564981,0.9982995962996619,0.9970703125,1.0683367775225653e-07
Abell2744,A8,A8-S05,A8-S04,0.9944679754298432,0.008825213993142768,0.9946239245821581,0.990623559309246,0.97119140625,1.7000650083816547e-05
Abell2744,A8,A8-S06,A8-S05,0.9999843545601401,0.0005386727520969958,0.9999796267254555,0.9985126135768106,0.999755859375,-4.2667809679799454e-07
Abell2744,A8,A8-S07,A8-S06,0.16809956516629196,76.49967200678465,0.001268500016215006,0.0017771537478231962,0.5224609375,0.014415545070789204
Abell2744,A8,A8-S08,A8-S07,-1.0000000000000002,0.7025652511927006,-0.37206275933200594,0.24,0.0,5.13793131597575e-07
Abell2744,A8,A8-S09,A8-S08,-0.9999999999999999,0.1622991527208944,-0.3076529073575907,5.166666666666667,0.0,-6.132369635196862e-07
Abell2744,A8,A8-S10,A8-S09,0.21989495009766702,0.12216957229969311,0.0012868275833542093,455.9987255276242,0.53759765625,-0.01442373261295079
