model,stage_id,median_L_i,mean_L_i,max_L_i,min_L_i
C10,S01,0.3425326691448639,0.34249030784642354,0.3474242487251652,0.33726328951902707
C10,S02,13.336054733820822,14.402936846328924,29.605728869543267,3.6121979780218876
C10,C10-S03,57.80504223181183,85.00034474058496,231.06905337592542,22.760707919002908
C10,C10-S04,-57.554274522827924,-89.56671484442987,-25.195323923271317,-230.43162579049397
C10,C10-S05,16.46506703318352,27.50623243657814,80.23925966007633,1.0049355922243253
C10,C10-S06,-16.46506703318352,-27.50623243657814,-1.0049355922243253,-80.23925966007633
A8,S01,0.0,0.0,0.0,0.0
A8,S02,14.6195331479773,14.683328378804163,26.130840332332706,5.3559617029687
A8,A8-S03,-14.503868995231336,-14.235074622333418,-5.267755885165995,-25.979763750429164
A8,A8-S04,-0.005630541378187238,-0.0064457529777922976,0.0004590671924025111,-0.01381042553443034
A8,A8-S05,-0.3131277389934767,-0.6220673102396274,-0.1704401826302368,-1.9684479283241763
A8,A8-S06,0.0061447609351198106,0.019354106927535607,0.0684944124759353,0.005815275178101591
A8,A8-S07,26.17803952221847,26.559507129039048,30.683947581778114,24.020984326614357
A8,A8-S08,0.4771302669028369,0.45646263928897446,0.5181204608005443,0.39332868801337195
A8,A8-S09,-0.5173442705740429,-0.4966319488503279,-0.4334537140211516,-0.5583067771743917
A8,A8-S10,-26.06227624709718,-26.222796617811916,-23.861158966174028,-29.677811220046813
A8,A8-S11,-0.0008816903847313068,-0.007027802501257346,0.00271679379607216,-0.03263945009791036
A8,A8-S12,140.50843534741193,145.89287502080194,241.69673928280662,24.993255827872375
