cluster_id,model,stage_id,observable,zero_lag_correlation,best_lag_correlation,best_lag_dx,best_lag_dy,delta_r_lag
Abell2744,C10,S19,kappa,0.14201737282603594,0.405400281057237,0,1,0.2633829082312011
Abell2744,A8,S19,kappa,0.22587924482688376,0.45364953537748814,0,1,0.22777029055060438
MACS0416,C10,S19,kappa,0.2528293435030616,0.48828677253351577,-1,1,0.2354574290304542
MACS0416,A8,S19,kappa,0.33457811192796927,0.4829931310484654,0,1,0.14841501912049615
MACS1149,C10,S19,kappa,0.21088311696503098,0.38245189238965793,0,1,0.17156877542462695
MACS1149,A8,S19,kappa,0.1782583086367432,0.35350231149347433,0,1,0.17524400285673114
AbellS1063,C10,S19,kappa,0.3273476950827446,0.4197930663286437,0,1,0.09244537124589913
AbellS1063,A8,S19,kappa,0.34492827046256697,0.4238762067556664,0,1,0.07894793629309943
Abell370,C10,S19,kappa,0.367739686259683,0.41361430042887737,-1,0,0.04587461416919436
Abell370,A8,S19,kappa,0.34640064647448304,0.407757326339615,0,1,0.061356679865131936
