cluster_id,model,stage_id,rank,peak_index_y,peak_index_x,peak_value,common_peak_fraction
Abell2744,C10,S02,3,30,30,0.23608696703261586,0.7619047619047619
Abell2744,C10,S02,4,32,33,0.2067148190230248,0.7619047619047619
Abell2744,C10,S02,5,34,35,0.15579659457144823,0.7619047619047619
Abell2744,C10,S02,6,63,14,0.12382095592317477,0.7619047619047619
Abell2744,C10,S02,7,30,63,0.11573568088425326,0.7619047619047619
Abell2744,C10,S02,8,63,8,0.11418252098876613,0.7619047619047619
Abell2744,C10,S02,9,63,10,0.11390027864981954,0.7619047619047619
Abell2744,C10,S02,10,29,37,0.1107841225352785,0.7619047619047619
Abell2744,C10,S02,11,63,55,0.11045818877852043,0.7619047619047619
Abell2744,C10,S02,12,31,45,0.10625293515421257,0.7619047619047619
Abell2744,C10,S02,13,16,32,0.1034797933132222,0.7619047619047619
Abell2744,C10,S02,14,63,32,0.10105259752106703,0.7619047619047619
Abell2744,C10,S02,15,27,33,0.09732856177504573,0.7619047619047619
Abell2744,C10,S02,16,45,33,0.09158701188922282,0.7619047619047619
Abell2744,C10,S02,17,46,26,0.09154779742230625,0.7619047619047619
Abell2744,C10,S02,18,53,35,0.0913159090961245,0.7619047619047619
Abell2744,C10,S02,19,63,17,0.08556068302689197,0.7619047619047619
Abell2744,C10,S02,20,31,38,0.08450610353450466,0.7619047619047619
Abell2744,C10,S02,21,58,32,0.08293363299353584,0.7619047619047619
Abell2744,C10,S02,22,55,16,0.08278065807009644,0.7619047619047619
Abell2744,C10,S02,23,31,53,0.0818517116129465,0.7619047619047619
Abell2744,C10,S02,24,50,36,0.0812466001677413,0.7619047619047619
Abell2744,C10,S02,25,53,7,0.08122325644946525,0.7619047619047619
Abell2744,C10,S02,26,27,7,0.08112994865410644,0.7619047619047619
Abell2744,C10,S02,27,25,8,0.08041543339388124,0.7619047619047619
Abell2744,C10,S02,28,8,28,0.07953010779223753,0.7619047619047619
Abell2744,C10,S02,29,36,46,0.07912346938122737,0.7619047619047619
Abell2744,C10,S02,30,54,63,0.07879467711479547,0.7619047619047619
Abell2744,C10,S02,31,30,26,0.07870530468955378,0.7619047619047619
Abell2744,C10,S02,32,16,21,0.07793847065486091,0.7619047619047619
Abell2744,C10,S02,33,24,37,0.07769975363692039,0.7619047619047619
Abell2744,C10,S02,34,56,57,0.07664158943369716,0.7619047619047619
Abell2744,C10,C10-S03,1,19,9,0.994240418408274,0.42857142857142855
Abell2744,C10,C10-S03,2,14,63,0.9928008466586031,0.42857142857142855
Abell2744,C10,C10-S03,3,63,48,0.9902743824686364,0.42857142857142855
Abell2744,C10,C10-S03,4,63,14,0.9874993172354913,0.42857142857142855
Abell2744,C10,C10-S03,5,61,26,0.9841315740397711,0.42857142857142855
Abell2744,C10,C10-S03,6,28,8,0.9839816884154207,0.42857142857142855
Abell2744,C10,C10-S03,7,22,40,0.9813978751530281,0.42857142857142855
Abell2744,C10,C10-S03,8,17,48,0.9810938113385222,0.42857142857142855
Abell2744,C10,C10-S03,9,2,16,0.9807690706430824,0.42857142857142855
Abell2744,C10,C10-S03,10,55,13,0.9795852454134912,0.42857142857142855
Abell2744,C10,C10-S03,11,17,60,0.9795164588978662,0.42857142857142855
Abell2744,C10,C10-S03,12,24,63,0.9787410267434612,0.42857142857142855
Abell2744,C10,C10-S03,13,63,5,0.9783105142435509,0.42857142857142855
Abell2744,C10,C10-S03,14,25,60,0.9778415805241258,0.42857142857142855
Abell2744,C10,C10-S03,15,10,63,0.9769558091568217,0.42857142857142855
Abell2744,C10,C10-S03,16,33,30,0.9752039161262396,0.42857142857142855
Abell2744,C10,C10-S03,17,46,22,0.9740605061440959,0.42857142857142855
Abell2744,C10,C10-S03,18,4,23,0.9735727019922324,0.42857142857142855
Abell2744,C10,C10-S03,19,56,22,0.9728132113226065,0.42857142857142855
Abell2744,C10,C10-S03,20,3,3,0.9707157169561758,0.42857142857142855
Abell2744,C10,C10-S03,21,12,26,0.9699323924937219,0.42857142857142855
Abell2744,C10,C10-S03,22,39,63,0.9695052290060455,0.42857142857142855
Abell2744,C10,C10-S03,23,63,58,0.9691471409436838,0.42857142857142855
Abell2744,C10,C10-S03,24,39,20,0.9684801513179911,0.42857142857142855
