cluster_id,model,stage_id,observable,G0_identity,G1_sign_reversal,G2_rotation_90,G3_rotation_180,G4_rotation_270,G5_horizontal_reflection,G6_vertical_reflection,G7_main_diagonal_transpose,G8_anti_diagonal_transpose,best_transform,best_transform_correlation,delta_r_transform
Abell2744,C10,S19,kappa,0.14201737282603594,-0.14201737282603594,0.01203844146227026,0.05774930396290944,-0.06262735716411438,0.053194948641843674,-0.13937653061547148,-0.07780157628251527,-0.039215125314498146,G3_rotation_180,0.05774930396290944,-0.08426806886312649
Abell2744,A8,S19,kappa,0.22587924482688376,-0.22587924482688376,-0.0050604303381379485,0.08199565175623338,-0.053551772902495694,0.09245265769586225,-0.05761103278468945,-0.06893150115440051,-0.09063828484783068,G5_horizontal_reflection,0.09245265769586225,-0.1334265871310215
MACS0416,C10,S19,kappa,0.2528293435030616,-0.2528293435030616,-0.25237553466862417,0.020797314974107216,-0.09970486975721034,0.1334597623922497,0.12820276167416905,0.049119975247387364,-0.025351009134919677,G5_horizontal_reflection,0.1334597623922497,-0.11936958111081189
MACS0416,A8,S19,kappa,0.33457811192796927,-0.33457811192796927,-0.2311833819533206,-0.003259405136074816,-0.057833821334212165,0.16067362912807603,0.08628126147827425,0.07852990982458907,0.018749099017480696,G5_horizontal_reflection,0.16067362912807603,-0.17390448279989323
MACS1149,C10,S19,kappa,0.21088311696503098,-0.21088311696503098,0.08665820298294656,0.03759908071846576,0.040031267920162664,0.10619441944470971,0.005172273862947833,0.11667555242159786,-0.05101897337163541,G7_main_diagonal_transpose,0.11667555242159786,-0.09420756454343313
MACS1149,A8,S19,kappa,0.1782583086367432,-0.1782583086367432,0.0026702669904888907,-0.018729750903952853,0.08049787589389215,0.01783060000741412,-0.0025384902309554137,0.12612590554480674,-0.021784645036907066,G7_main_diagonal_transpose,0.12612590554480674,-0.05213240309193645
AbellS1063,C10,S19,kappa,0.3273476950827446,-0.3273476950827446,-0.1233311561095288,-0.034713591555980125,0.12105673405274216,0.29452065515446907,0.08134066161438319,-0.0742575138515042,0.04807804296553426,G5_horizontal_reflection,0.29452065515446907,-0.032827039928275514
AbellS1063,A8,S19,kappa,0.34492827046256697,-0.34492827046256697,-0.1511786028521947,-0.014011240469710825,0.032992034671457664,0.233089427655632,0.11084339845092636,-0.07043237586588826,0.06647686325427751,G5_horizontal_reflection,0.233089427655632,-0.11183884280693496
Abell370,C10,S19,kappa,0.367739686259683,-0.367739686259683,0.18821292224376082,0.03355466617397251,-0.10593060739118026,0.013142589175443083,0.021026274500552732,-0.1003791586216526,0.025848077946125324,G2_rotation_90,0.18821292224376082,-0.17952676401592219
Abell370,A8,S19,kappa,0.34640064647448304,-0.34640064647448304,0.14592187392975414,0.04723899161569221,-0.10271655424549535,0.01752115204346046,0.04286526877383871,-0.10876326857606095,0.03872757673019058,G2_rotation_90,0.14592187392975414,-0.2004787725447289
