cluster_id,model,observable,metric,value,sign,reciprocal,d_alpha,d_3alpha,d_6alpha,nearest_target,log_distance,alpha_input_dependency
Abell2744,C10,kappa,median_fractional_residual_vs_GR,-0.8010070421788695,-,-1.2484284748356733,2.04047100470873,1.5633497499890674,1.2623197543250861,6alpha,1.2623197543250861,indirect
Abell2744,C10,gamma1,median_fractional_residual_vs_GR,-0.9009435498181071,-,-1.1099474547566177,2.091532250796693,1.6144109960770308,1.3133810004130495,6alpha,1.3133810004130495,indirect
Abell2744,C10,gamma2,median_fractional_residual_vs_GR,-0.9665681507253032,-,-1.0345881966518449,2.122067151091422,1.6449458963717596,1.3439159007077786,6alpha,1.3439159007077786,indirect
Abell2744,A8,kappa,median_fractional_residual_vs_GR,-0.007409534984201517,-,-134.96123604682114,0.006625623340484982,0.47049563137917744,0.7715256270431586,alpha,0.006625623340484982,indirect
Abell2744,A8,gamma1,median_fractional_residual_vs_GR,-0.568276764642859,-,-1.7597059429809048,1.8913945696770085,1.4142733149573459,1.1132433192933646,6alpha,1.1132433192933646,indirect
Abell2744,A8,gamma2,median_fractional_residual_vs_GR,-0.7909712825825281,-,-1.2642684026845972,2.034995386500834,1.5578741317811713,1.25684413611719,6alpha,1.25684413611719,indirect
Abell2744,A8,A8-fast_pre,snapshot_0_median_|Δ|_vs_GR_kappa,0.05724563543641342,+,17.468580659057707,0.8945770509164953,0.4174557961968329,0.11642580053285169,6alpha,0.11642580053285169,indirect
Abell2744,A8,A8-fast_pre,snapshot_1_median_|Δ|_vs_GR_kappa,0.057131045283378576,+,17.503618129860037,0.8937068405295369,0.4165855858098744,0.11555559014589323,6alpha,0.11555559014589323,indirect
Abell2744,A8,A8-fast_pre,snapshot_2_median_|Δ|_vs_GR_kappa,0.05718765243926753,+,17.486292186271953,0.894136939506132,0.41701568478646955,0.11598568912248836,6alpha,0.11598568912248836,indirect
Abell2744,A8,A8-fast_pre,snapshot_3_median_|Δ|_vs_GR_kappa,0.05728599649411616,+,17.456273106861463,0.8948831425188628,0.41776188779920026,0.11673189213521906,6alpha,0.11673189213521906,indirect
Abell2744,A8,A8-fast_pre,snapshot_4_median_|Δ|_vs_GR_kappa,0.05731625555803992,+,17.44705738823734,0.8951124808531399,0.41799122613347744,0.11696123046949626,6alpha,0.11696123046949626,indirect
Abell2744,A8,A8-fast_pre,snapshot_5_median_|Δ|_vs_GR_kappa,0.05727618305817385,+,17.459263983850448,0.8948087388874839,0.4176874841678214,0.11665748850384024,6alpha,0.11665748850384024,indirect
Abell2744,A8,A8-fast_pre,snapshot_6_median_|Δ|_vs_GR_kappa,0.05724437407825973,+,17.46896557263223,0.8945674815071085,0.4174462267874461,0.11641623112346489,6alpha,0.11641623112346489,indirect
Abell2744,A8,A8-fast_pre,snapshot_7_median_|Δ|_vs_GR_kappa,0.057335793233628585,+,17.44111215005359,0.8952604957358905,0.41813924101622796,0.11710924535224677,6alpha,0.11710924535224677,indirect
Abell2744,A8,A8-fast_pre,snapshot_8_median_|Δ|_vs_GR_kappa,0.057411058420185235,+,17.418247068031906,0.8958302239579307,0.41870896923826817,0.11767897357428699,6alpha,0.11767897357428699,indirect
Abell2744,A8,A8-fast_pre,snapshot_9_median_|Δ|_vs_GR_kappa,0.057409003914286695,+,17.418870417836008,0.8958146820646983,0.4186934273450358,0.11766343168105459,6alpha,0.11766343168105459,indirect
Abell2744,A8,A8-fast_pre,snapshot_10_median_|Δ|_vs_GR_kappa,0.05737825570028671,+,17.428204949684506,0.8955820119925524,0.4184607572728899,0.11743076160890872,6alpha,0.11743076160890872,indirect
Abell2744,A8,A8-fast_pre,snapshot_11_median_|Δ|_vs_GR_kappa,0.057387993805322154,+,17.425247576911463,0.8956557131949434,0.41853445847528103,0.11750446281129981,6alpha,0.11750446281129981,indirect
Abell2744,A8,A8-fast_pre,snapshot_12_median_|Δ|_vs_GR_kappa,0.05740600816524606,+,17.41977942659678,0.8957920188736356,0.41867076415397314,0.11764076848999194,6alpha,0.11764076848999194,indirect
Abell2744,A8,A8-fast_pre,snapshot_13_median_|Δ|_vs_GR_kappa,0.05739598516937761,+,17.422821422943855,0.8957161851414428,0.41859493042178036,0.11756493475779915,6alpha,0.11756493475779915,indirect
Abell2744,A8,A8-fast_pre,snapshot_14_median_|Δ|_vs_GR_kappa,0.057392398974672604,+,17.42391009724654,0.8956890488665743,0.4185677941469119,0.11753779848293071,6alpha,0.11753779848293071,indirect
Abell2744,A8,A8-fast_pre,snapshot_15_median_|Δ|_vs_GR_kappa,0.05738966396165938,+,17.424740466647016,0.8956683522345499,0.4185470975148874,0.11751710185090616,6alpha,0.11751710185090616,indirect
Abell2744,A8,A8-fast_pre,snapshot_16_median_|Δ|_vs_GR_kappa,0.05738771505881304,+,17.42533221570441,0.8956536037229662,0.4185323490033037,0.11750235333932252,6alpha,0.11750235333932252,indirect
Abell2744,A8,A8-fast_pre,snapshot_17_median_|Δ|_vs_GR_kappa,0.05738649134209888,+,17.425703795666582,0.8956443428718908,0.4185230881522283,0.11749309248824708,6alpha,0.11749309248824708,indirect
Abell2744,A8,A8-fast_pre,snapshot_18_median_|Δ|_vs_GR_kappa,0.05737753981699052,+,17.428422396456288,0.8955765934572388,0.41845533873757634,0.11742534307359515,6alpha,0.11742534307359515,indirect
Abell2744,A8,A8-fast_pre,snapshot_19_median_|Δ|_vs_GR_kappa,0.05734148576506787,+,17.439380697198377,0.8953036121232998,0.4181823574036373,0.11715236173965607,6alpha,0.11715236173965607,indirect
Abell2744,A8,A8-slow_pre,snapshot_0_median_|Δ|_vs_GR_kappa,0.05760660902749825,+,17.359119324705514,0.8973069819796047,0.4201857272599423,0.11915573159596107,6alpha,0.11915573159596107,indirect
Abell2744,A8,A8-slow_pre,snapshot_1_median_|Δ|_vs_GR_kappa,0.05759996671140684,+,17.361121144571158,0.8972569028723967,0.42013564815273424,0.11910565248875304,6alpha,0.11910565248875304,indirect
Abell2744,A8,A8-slow_pre,snapshot_2_median_|Δ|_vs_GR_kappa,0.05754536248908064,+,17.377594939813825,0.8968450005505707,0.41972374583090827,0.11869375016692706,6alpha,0.11869375016692706,indirect
