cluster_id,cluster_label,file_kind,file_path,file_sha256,product,provenance,native_nx,native_ny,Z_L,Z_S,native_min,native_max
Abell2744,Abell 2744,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-001_Abell2744/hlsp_frontier_model_abell2744_merten_v1_kappa.fits,553468ceb4c7dc104a856db16a5f67d16a269dd0fb309c0cc3bd4dff253fe44a,kappa,SaWLens Merten et al. 2014 (Frontier Fields),180,180,0.308,9.0,-0.17467465996742249,1.242303729057312
Abell2744,Abell 2744,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-001_Abell2744/hlsp_frontier_model_abell2744_merten_v1_gamma.fits,9a913ea1362f8e7b8799a380c68f8efe88f1a9cd928cb9083462714fd0f313fd,gamma,SaWLens Merten et al. 2014 (Frontier Fields),180,180,0.308,9.0,0.0009374099900014699,0.6338581442832947
Abell2744,Abell 2744,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-001_Abell2744/hlsp_frontier_model_abell2744_merten_v1_gamma1.fits,ef57a7c62e14e83d891e6eaf13ac2f0d7332315c7d426d9bab635949a3837fa3,gamma1,SaWLens Merten et al. 2014 (Frontier Fields),180,180,0.308,9.0,-0.4182039797306061,0.4079478979110718
Abell2744,Abell 2744,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-001_Abell2744/hlsp_frontier_model_abell2744_merten_v1_gamma2.fits,5e3a7f2bd61215bfe3ad49485a806047682ecbf7a66a67bde29a583e67b65771,gamma2,SaWLens Merten et al. 2014 (Frontier Fields),180,180,0.308,9.0,-0.605424165725708,0.35762596130371094
MACS0416,MACS J0416,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-002_MACS0416/hlsp_frontier_model_macs0416_merten_v1_kappa.fits,8b2b5d634bac95bb204829604d1efcf78c6f17e6321398b1fed928ff0af65b7b,kappa,SaWLens Merten et al. 2014 (Frontier Fields),180,180,0.42,9.0,-0.25733163952827454,1.792022705078125
MACS0416,MACS J0416,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-002_MACS0416/hlsp_frontier_model_macs0416_merten_v1_gamma.fits,6f2919a0626841138798f1901027f3701e633757deac7756959dc893829fb293,gamma,SaWLens Merten et al. 2014 (Frontier Fields),180,180,0.42,9.0,0.0,1.3958064317703247
MACS0416,MACS J0416,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-002_MACS0416/hlsp_frontier_model_macs0416_merten_v1_gamma1.fits,e804eb2bd10a89acb2f3d9832ad8e64a1c200be74a907f40d32c437b16918666,gamma1,SaWLens Merten et al. 2014 (Frontier Fields),180,180,0.42,9.0,-1.3912060260772705,0.49480071663856506
MACS0416,MACS J0416,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-002_MACS0416/hlsp_frontier_model_macs0416_merten_v1_gamma2.fits,1cae4b3a8a809e290a2dcd2e3138bcb8b8e1b071f6c05fd8f8289a793531546a,gamma2,SaWLens Merten et al. 2014 (Frontier Fields),180,180,0.42,9.0,-0.6695517301559448,0.5715578198432922
MACS1149,MACS J1149,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-003_MACS1149/hlsp_frontier_model_macs1149_merten_v1_kappa.fits,1911bfe31861f54770b533ac7c5fd25fe770453722b471876e47439056765fdd,kappa,SaWLens Merten et al. 2014 (Frontier Fields),168,168,0.544,9.0,-0.21472561359405518,2.432432174682617
MACS1149,MACS J1149,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-003_MACS1149/hlsp_frontier_model_macs1149_merten_v1_gamma.fits,bb3384b7f6beea4e27be12fd0e41d487d5b17d1d225aa1cf58ed9ae5c4be6788,gamma,SaWLens Merten et al. 2014 (Frontier Fields),168,168,0.544,9.0,0.003379303263500333,1.7636903524398804
