model,cluster_id,first_material_divergence_stage
C10,Abell2744,C10-S04
C10,MACS0416,C10-S04
C10,MACS1149,S02
C10,AbellS1063,S02
C10,Abell370,C10-S04
A8,Abell2744,A8-S07
A8,MACS0416,A8-S07
A8,MACS1149,A8-S07
A8,AbellS1063,S02
A8,Abell370,A8-S07
