cluster_id,model,stage_id,observable,bin_index,k,P_stage,P_gr,D_P
Abell2744,C10,S00,,0,1.0946035575013604,1994.7591150598266,1994.7591150598266,0.0
Abell2744,C10,S00,,1,1.301710338687908,0.0,0.0,0.0
Abell2744,C10,S00,,2,1.548003196440262,0.0,0.0,0.0
Abell2744,C10,S00,,3,1.8408964152537144,0.0,0.0,0.0
Abell2744,C10,S00,,4,2.189207115002721,664.5104358712582,664.5104358712582,0.0
Abell2744,C10,S00,,5,2.6034206773758157,0.0,0.0,0.0
Abell2744,C10,S00,,6,3.0960063928805237,363.1366324374952,363.1366324374952,0.0
Abell2744,C10,S00,,7,3.681792830507429,0.0,0.0,0.0
Abell2744,C10,S00,,8,4.378414230005442,232.85454403178508,232.85454403178508,0.0
Abell2744,C10,S00,,9,5.206841354751632,193.66643517503968,193.66643517503968,0.0
Abell2744,C10,S00,,10,6.192012785761049,144.85589420492346,144.85589420492346,0.0
Abell2744,C10,S00,,11,7.363585661014858,106.91448102581904,106.91448102581904,0.0
Abell2744,C10,S00,,12,8.756828460010883,72.93039364697736,72.93039364697736,0.0
Abell2744,C10,S00,,13,10.413682709503263,41.62619108369093,41.62619108369093,0.0
Abell2744,C10,S00,,14,12.384025571522095,38.26286210197192,38.26286210197192,0.0
Abell2744,C10,S00,,15,14.727171322029715,29.92416048316869,29.92416048316869,0.0
Abell2744,C10,S00,,16,17.513656920021766,14.089999696768968,14.089999696768968,0.0
Abell2744,C10,S00,,17,20.82736541900653,6.925606466689477,6.925606466689477,0.0
Abell2744,C10,S00,,18,24.768051143044197,4.241879994185346,4.241879994185346,0.0
Abell2744,C10,S00,,19,29.454342644059437,1.7627226752381315,1.7627226752381315,0.0
Abell2744,C10,S01,,0,1.0946035575013604,64.63019532793837,1994.7591150598266,1.2899058589545649
Abell2744,C10,S01,,1,1.301710338687908,0.0,0.0,1.2899058589545649
Abell2744,C10,S01,,2,1.548003196440262,0.0,0.0,1.2899058589545649
Abell2744,C10,S01,,3,1.8408964152537144,0.0,0.0,1.2899058589545649
Abell2744,C10,S01,,4,2.189207115002721,21.530138122228763,664.5104358712582,1.2899058589545649
Abell2744,C10,S01,,5,2.6034206773758157,0.0,0.0,1.2899058589545649
Abell2744,C10,S01,,6,3.0960063928805237,11.76562689097484,363.1366324374952,1.2899058589545649
Abell2744,C10,S01,,7,3.681792830507429,0.0,0.0,1.2899058589545649
Abell2744,C10,S01,,8,4.378414230005442,7.544487226629837,232.85454403178508,1.2899058589545649
Abell2744,C10,S01,,9,5.206841354751632,6.2747924996712845,193.66643517503968,1.2899058589545649
