cluster_id,model,stage_id,delta_r_vs_gr,delta_nrmse_vs_gr,delta_d_q_vs_gr,delta_d_p_vs_gr,stage_loss_score
Abell2744,C10,S01,0.0,0.09052566154685156,2.2469334198890888e-14,1.2899058589545649,0.34510788012535976
Abell2744,C10,S02,-0.49682332228947246,-0.007138092061296494,58.86403855907489,-0.36760742349625364,15.119146583168808
Abell2744,C10,C10-S03,-0.4572032978680266,0.5386593264464486,922.2375571566404,-0.3288161708573011,231.06905337592542
Abell2744,C10,C10-S04,0.1086515600016282,-0.5113640771697463,-921.127807872597,0.3472750277973916,-230.43162579049397
Abell2744,C10,C10-S05,0.27307101099959663,-0.00376311853022282,102.15876198154339,0.6588104830182286,25.430381325508254
Abell2744,C10,C10-S06,-0.27307101099959663,0.00376311853022282,-102.15876198154339,-0.6588104830182286,-25.430381325508254
MACS0416,C10,S01,2.220446049250313e-16,0.08022481762483456,5.731332139511976e-14,1.2899058589545647,0.3425326691448639
MACS0416,C10,S02,-0.4391984028889252,-0.006657977103588869,52.0665394589682,-0.4724561581370257,13.336054733820822
MACS0416,C10,C10-S03,-0.39804335674121594,0.5579784971068631,89.04798333121596,-0.1553035792760531,22.760707919002908
MACS0416,C10,C10-S04,-0.00459659512214694,-0.5338762275230987,-100.59018288457591,0.32437703852515,-25.195323923271317
MACS0416,C10,C10-S05,0.19557458580124393,-0.002279622626979644,4.121077335805538,0.6832429989237186,1.0049355922243253
MACS0416,C10,C10-S06,-0.19557458580124393,0.002279622626979644,-4.121077335805538,-0.6832429989237186,-1.0049355922243253
MACS1149,C10,S01,0.0,0.05914729912153324,1.1243440757244517e-14,1.2899058589545638,0.33726328951902707
MACS1149,C10,S02,-0.4287160677593237,-0.0022765985277014844,40.029588110077036,-0.3759515142272567,10.341556067089844
MACS1149,C10,C10-S03,-0.4531229880077873,0.64279027755343,210.49772344598836,0.024179293762011667,53.24429624233374
MACS1149,C10,C10-S04,-0.0006437016620624847,-0.6272238542239202,-207.10972526431277,-0.0028447694866841067,-51.93430477034378
MACS1149,C10,C10-S05,0.30754137827363315,-0.0026654285451282733,66.32947601764431,0.7636230567294275,16.46506703318352
