cluster_id,stage_id,smoothing,norm_mode,pearson,spearman,ssim,amplitude_ratio,variance_ratio,sign_agreement,nrmse,mean_bias
Abell2744,S00,S0,N0,0.9914673473578465,0.9815685135618643,0.1554989492800503,5.533248621684235,30.41952502161828,0.84521484375,0.09054454357417425,-0.06560352360535317
Abell2744,S00,S0,N1,0.9914673473578465,0.9815685135618643,0.991994506458202,0.9999999999999999,0.9999999999999999,0.9541015625,0.009934895021129079,8.096279723035504e-17
Abell2744,S00,S0,N2,0.9914673473578464,0.9815685135618643,0.9920723920297844,1.0,0.9935553347191148,0.84521484375,0.0099567808816206,-0.0021264421777478716
Abell2744,S00,S1,N0,0.9989435678732859,0.9975856422404583,0.14541936305490422,5.550912995612049,30.841159775745222,0.99853515625,0.12427750893061004,-0.06560330516619464
Abell2744,S00,S1,N1,0.9989435678732861,0.9975856422404583,0.9989868714756298,1.0,1.0000000000000002,0.9794921875,0.004142595805849738,-1.3135109319661886e-16
Abell2744,S00,S1,N2,0.998943567873286,0.9975856422404583,0.9989989379766118,1.0,1.0009257465585766,0.99853515625,0.004141962046284779,0.0002033197068385543
Abell2744,S01,S0,N0,0.9914673473578464,0.9815685135618643,0.99205732073984,0.9959847519031623,0.9855926107004321,0.84521484375,0.009986752693616421,1.5643712564377717e-05
Abell2744,S01,S0,N1,0.9914673473578464,0.9815685135618643,0.9919945064582018,1.0,1.0,0.9541015625,0.009934895021129079,-2.935477382004503e-17
Abell2744,S01,S0,N2,0.9914673473578464,0.9815685135618643,0.9920723920297846,1.0,0.9935553347191147,0.84521484375,0.0099567808816206,-0.0021264421777478465
Abell2744,S01,S1,N0,0.998943567873286,0.9975856422404583,0.9989983709637219,0.9991643392101688,0.9992535767341452,0.99853515625,0.004145632408190984,1.5692603123900836e-05
Abell2744,S01,S1,N1,0.9989435678732859,0.9975856422404583,0.9989868714756295,0.9999999999999999,0.9999999999999998,0.9794921875,0.004142595805849739,1.5043305143236374e-16
Abell2744,S01,S1,N2,0.998943567873286,0.9975856422404583,0.9989989379766118,1.0,1.0009257465585766,0.99853515625,0.004141962046284779,0.00020331970683854915
Abell2744,S02,S0,N0,0.9739503182883101,0.9492258693794307,0.24040224566137333,0.2434837842287543,0.06131366710280475,0.98486328125,0.4043526279334703,0.0979151036609265
Abell2744,S02,S0,N1,0.9739503182883099,0.9492258693794307,0.9754778120062014,1.0,1.0,0.912109375,0.01736366546932441,-1.5352302762394743e-16
Abell2744,S02,S0,N2,0.97395031828831,0.9492258693794307,0.9756952988758042,1.0,1.0342301772983529,0.98486328125,0.017288782961603102,0.007005261417639966
Abell2744,S02,S1,N0,0.9917051083614341,0.9754269436139841,0.24021690115569552,0.2432177571188115,0.06325631852235987,1.0,0.6161426102718847,0.09805624686314075
Abell2744,S02,S1,N1,0.9917051083614341,0.9754269436139841,0.9920358856698631,1.0,1.0,0.9443359375,0.0111004299577308,2.749536709423239e-16
Abell2744,S02,S1,N2,0.9917051083614342,0.9754269436139841,0.9916458479792875,1.0000000000000002,1.0693339471951409,1.0,0.011359650036734576,0.006805692808744059
Abell2744,C10-S03,S0,N0,0.057685638355473974,0.057449807344738084,0.002212698435144435,36.243111189123574,124.2651424350845,0.96435546875,0.7947267789170956,-0.6673743459223711
Abell2744,C10-S03,S0,N1,0.057685638355473974,0.057449807344738084,0.10519612155265291,0.9999999999999999,0.9999999999999999,0.4921875,0.2262606634250516,3.920475055707584e-16
Abell2744,C10-S03,S0,N2,0.05768563835547397,0.057449807344738084,0.13023498299330458,0.9999999999999999,0.09460157765938777,0.96435546875,0.5817515670802001,-0.2283700995996228
Abell2744,C10-S03,S1,N0,0.16522220407793956,0.06956050947948601,0.007967336964390132,38.58417106214767,44.36836469363304,0.999267578125,1.3623612864081271,-0.6674680550707794
Abell2744,C10-S03,S1,N1,0.16522220407793958,0.06956050947948601,0.1977668148528555,1.0,1.0000000000000002,0.516845703125,0.1811764481673924,-8.708311849403572e-16
Abell2744,C10-S03,S1,N2,0.1652222040779396,0.06956050947948601,0.14113199682939517,1.0,0.02980266309294733,0.999267578125,0.8405409645176558,-0.18288460084777214
Abell2744,C10-S04,S0,N0,0.1393829045578067,0.1613388836972309,0.00718988337585288,1.3896853709335193,4.425853708344365,0.5087890625,0.06658020889464102,0.014288222775856972
Abell2744,C10-S04,S0,N1,0.13938290455780672,0.1613388836972309,0.18277429889127841,1.0,1.0,0.563232421875,0.07436214387158899,6.938893903907228e-18
Abell2744,C10-S04,S0,N2,0.1393829045578067,0.1613388836972309,0.004701180940969789,1.0,2.2917333415170766,0.5087890625,0.07621880018859233,0.7456785512637216
Abell2744,C10-S04,S1,N0,0.0892221570322026,0.10291806110111616,0.003111312289187136,0.9438685334443052,2.6153811704416956,0.499755859375,0.09395379608436658,0.014290506058408176
