cluster_id,model,stage_id,observable,integrated_abs_radial_difference,r_centre_max,r_centre_min
Abell2744,C10,S00,,0.0,0.5997093142116314,0.0610665509987722
Abell2744,C10,S01,,1.96018765637697,0.10794767655809365,0.010991979179778996
Abell2744,C10,S02,,1.5663438276173565,0.18785142141375316,0.02524975467202715
Abell2744,C10,C10-S03,,11.547838473568627,0.7827596824182359,0.6523894010024809
Abell2744,C10,C10-S04,,2.3809125380093894,0.00976574997011935,-0.005287740065161795
Abell2744,C10,C10-S05,,2.370652541971483,0.02696347972916812,-0.00630204276518108
Abell2744,C10,C10-S06,,2.3809125380093894,0.00976574997011935,-0.005287740065161795
Abell2744,C10,S13_P0,,1.8545301812696884,0.12020251752248902,0.015779279407805952
Abell2744,C10,S13_P3,,2.3806351828622763,0.009537039211344005,-0.002617138149676882
Abell2744,C10,S13_P4,,1.9027066870216525,0.11211721774380083,0.01452736799534552
Abell2744,C10,S19,kappa,0.5843941322955968,0.23724246243126357,-0.012965837437991512
Abell2744,C10,S20,gamma1,0.4603472854932479,0.11917622091141705,-0.006663905908345021
Abell2744,C10,S20,gamma2,0.4298169774209088,0.014109267703230522,-0.002094216890716531
Abell2744,C10,S20,gamma_mag,0.1643847520240968,0.12465302560604843,0.05119523853602479
Abell2744,A8,S00,,1.95957377465008,0.10778503343427259,0.010905029055291332
Abell2744,A8,S01,,1.95957377465008,0.10778503343427259,0.010905029055291332
Abell2744,A8,S02,,0.9964692065023034,0.7531423506486192,0.1062139960129129
Abell2744,A8,A8-S03,,1.9615361388755772,0.10437021717150088,0.010813212624609658
Abell2744,A8,A8-S04,,1.9616634355722744,0.10420563924319255,0.010813031039223013
Abell2744,A8,A8-S05,,1.9624910202822794,0.10401027276440479,0.010897066485194597
Abell2744,A8,A8-S06,,1.9626106458637516,0.10382110836581118,0.01089376363919132
Abell2744,A8,A8-S07,,2.3904490714219446,9.613271934534226e-06,-5.8508318842303294e-06
Abell2744,A8,A8-S08,,2.3904784349409813,1.4041996522152792e-06,-2.3071852642882144e-06
Abell2744,A8,A8-S09,,2.3904433881601967,1.1920457198822442e-05,-7.255031536445607e-06
Abell2744,A8,A8-S10,,1.962137040718013,0.10401337380450187,0.010853397339207167
Abell2744,A8,A8-S11,,1.962013579578928,0.10419024496795284,0.01085513955490213
Abell2744,A8,A8-S12,,2.3965511220920943,0.0021591342320705772,-0.008120913093287645
Abell2744,A8,A8-P5,,1.962137040718013,0.10401337380450187,0.010853397339207167
Abell2744,A8,A8-P6,,2.389525541387755,0.00038453087738136906,-0.00023403327536921314
Abell2744,A8,S13_P0,,0.4786750372733339,0.6352866766000544,0.08284439164226948
Abell2744,A8,S13_P3,,2.390271935456436,0.0021727462377456007,-0.0030332727627808815
Abell2744,A8,S13_P4,,0.45521372638174373,0.6331478519385536,0.08212324899811443
Abell2744,A8,S19,kappa,1.2077297376808607,0.9141244562949613,-0.042009206971759284
Abell2744,A8,S20,gamma1,0.7743204257637106,0.46425043765276724,-0.018657101417278672
Abell2744,A8,S20,gamma2,0.3243565834963352,0.08732927263412986,-0.046935570040168975
Abell2744,A8,S20,gamma_mag,1.8823254444549171,0.49352689500456715,0.26070954086796616
MACS0416,C10,S00,,0.0,0.7012354324152975,0.041764059448235184
MACS0416,C10,S01,,1.7187115870813938,0.12622237783475354,0.007517530700682332
MACS0416,C10,S02,,1.315496058462568,0.17926042481882176,0.019570328649898598
MACS0416,C10,C10-S03,,11.983387019719098,0.8460631502686473,0.6465543709488045
MACS0416,C10,C10-S04,,2.0278718944772263,0.03949788775904323,-0.006392374550966575
MACS0416,C10,C10-S05,,2.0774912280363127,0.02759577409558743,-0.003288246694118438
MACS0416,C10,C10-S06,,2.0278718944772263,0.03949788775904323,-0.006392374550966575
MACS0416,C10,S13_P0,,1.5282509970940255,0.13919818177402704,0.01355688595835437
MACS0416,C10,S13_P3,,2.0912701619727825,0.003602359394876199,-0.004780281872889503
MACS0416,C10,S13_P4,,1.5654024850557198,0.13311879777679275,0.01202704793884148
MACS0416,C10,S19,kappa,0.4512674455221063,0.07766407388012797,-0.04035414076235652
MACS0416,C10,S20,gamma1,0.41690240596346656,0.03981768715663389,-0.019302064490566526
MACS0416,C10,S20,gamma2,0.4516044757534099,0.01604597865342853,-0.024324480551321852
MACS0416,C10,S20,gamma_mag,0.13706117546886115,0.11407654484838434,0.04623254298875666
MACS0416,A8,S00,,1.718097705354504,0.1260597347109325,0.007503994079648029
MACS0416,A8,S01,,1.718097705354504,0.1260597347109325,0.007503994079648029
MACS0416,A8,S02,,1.1540759996169139,0.7174682188158412,0.0893023765103171
MACS0416,A8,A8-S03,,1.721675274163833,0.12131107885149475,0.007594857271651583
MACS0416,A8,A8-S04,,1.7218823463897408,0.12107837943799962,0.007599422914117792
MACS0416,A8,A8-S05,,1.722911430454632,0.12071015818822967,0.00759738581438212
MACS0416,A8,A8-S06,,1.7231193149835808,0.12044484743862661,0.007601659438350076
MACS0416,A8,A8-S07,,2.095958816128317,1.5838299984325344e-05,-6.215234538838095e-06
MACS0416,A8,A8-S08,,2.095997162154726,1.4916562893211432e-06,-3.801191996238083e-06
MACS0416,A8,A8-S09,,2.0959513943167543,1.963949198056343e-05,-7.706890828159239e-06
MACS0416,A8,A8-S10,,1.7225008306866612,0.12076161343831313,0.007600541176233934
MACS0416,A8,A8-S11,,1.7222933523092328,0.12101061851986221,0.007596121543016851
MACS0416,A8,A8-S12,,2.105972504751324,0.0027001273274116534,-0.011454694475776666
