cluster_id,model,stage_id,reference_observable,r_longitudinal,r_transverse,delta_r_long_trans,best_match
Abell2744,C10,S13,kappa,0.03295207301263757,0.3751944906845082,-0.34224241767187064,transverse
Abell2744,C10,S13,gamma1,0.043942413706287056,-0.017507403330773146,0.061449817037060206,longitudinal
Abell2744,C10,S13,gamma2,0.044600577631624075,-0.04651600768398332,0.0911165853156074,longitudinal
Abell2744,C10,S13,gamma_mag,0.006502048429490057,0.20022289473863303,-0.19372084630914296,transverse
Abell2744,A8,S13,kappa,-0.017710089508983392,0.48350063398503235,-0.5012107234940157,transverse
Abell2744,A8,S13,gamma1,0.019709139514280542,0.03140635029277783,-0.011697210778497287,transverse
Abell2744,A8,S13,gamma2,0.013281278226617345,-0.07394784189022947,0.08722912011684682,longitudinal
Abell2744,A8,S13,gamma_mag,0.0029104733062719017,0.2811140392088947,-0.2782035659026228,transverse
MACS0416,C10,S13,kappa,0.020094278589322147,0.4795836358940189,-0.45948935730469675,transverse
MACS0416,C10,S13,gamma1,0.0047627111919076965,-0.03760150044564547,0.04236421163755316,longitudinal
MACS0416,C10,S13,gamma2,0.04782922097135124,0.18087232154600313,-0.1330431005746519,transverse
MACS0416,C10,S13,gamma_mag,0.01455104371693635,0.33549988538554104,-0.3209488416686047,transverse
MACS0416,A8,S13,kappa,0.006213997578694007,0.543899927338289,-0.537685929759595,transverse
MACS0416,A8,S13,gamma1,0.0008352842827692946,-0.023167065487813627,0.024002349770582923,longitudinal
MACS0416,A8,S13,gamma2,0.001306068692905871,0.2208896909255656,-0.21958362223265973,transverse
MACS0416,A8,S13,gamma_mag,0.03516099616194878,0.3895750454379085,-0.3544140492759597,transverse
MACS1149,C10,S13,kappa,-0.04858248010827505,0.4900464003856008,-0.5386288804938759,transverse
MACS1149,C10,S13,gamma1,0.010354688251933034,-0.0478258958625188,0.05818058411445183,longitudinal
MACS1149,C10,S13,gamma2,0.04059718592703072,-0.09520248842163632,0.13579967434866705,longitudinal
MACS1149,C10,S13,gamma_mag,-0.009088838575009937,0.36379855807694994,-0.37288739665195986,transverse
MACS1149,A8,S13,kappa,0.00546633817575657,0.5285523152610468,-0.5230859770852903,transverse
MACS1149,A8,S13,gamma1,0.03977597743351669,0.004392866280494699,0.03538311115302199,longitudinal
MACS1149,A8,S13,gamma2,0.04605214281960521,-0.0952281860438471,0.14128032886345232,longitudinal
MACS1149,A8,S13,gamma_mag,-0.0574642550887907,0.3619175980696936,-0.4193818531584843,transverse
AbellS1063,C10,S13,kappa,0.0233462674199204,0.5437960045487746,-0.5204497371288542,transverse
AbellS1063,C10,S13,gamma1,0.02064084684431013,-0.038342625027142516,0.05898347187145264,longitudinal
AbellS1063,C10,S13,gamma2,0.08477138736972484,0.06888255623670939,0.015888831133015452,longitudinal
AbellS1063,C10,S13,gamma_mag,0.02134336463593848,0.4086993044930394,-0.3873559398571009,transverse
AbellS1063,A8,S13,kappa,0.0314620737470269,0.5906415450589961,-0.5591794713119692,transverse
AbellS1063,A8,S13,gamma1,0.02592373788212192,-0.020784422753130895,0.046708160635252814,longitudinal
AbellS1063,A8,S13,gamma2,-0.004596067394070933,0.059574851061269696,-0.06417091845534063,transverse
AbellS1063,A8,S13,gamma_mag,-0.016085632238328214,0.4116016995144786,-0.4276873317528068,transverse
Abell370,C10,S13,kappa,-0.01512763500080876,0.4374186939278623,-0.4525463289286711,transverse
Abell370,C10,S13,gamma1,0.003928781863965999,-0.011602008802397652,0.015530790666363651,longitudinal
Abell370,C10,S13,gamma2,0.060152304435208984,-0.025112026854922923,0.0852643312901319,longitudinal
Abell370,C10,S13,gamma_mag,-0.02553968065515254,0.24979043553926855,-0.2753301161944211,transverse
Abell370,A8,S13,kappa,0.009370022601715261,0.5085751141617686,-0.4992050915600533,transverse
Abell370,A8,S13,gamma1,0.006030006973350287,0.035519289551924696,-0.02948928257857441,transverse
Abell370,A8,S13,gamma2,-0.0028974665155372206,-0.05407831936589713,0.05118085285035991,longitudinal
Abell370,A8,S13,gamma_mag,0.004628959273180797,0.3118940370431114,-0.3072650777699306,transverse
