cluster_id,model,stage_id,observable,m,magnitude,phase_deg,D_Q
Abell2744,C10,S00,,1,24.244964643290178,0.0,0.0
Abell2744,C10,S00,,2,20.16383841157567,0.0,0.0
Abell2744,C10,S00,,3,10.783050896920573,0.0,0.0
Abell2744,C10,S00,,4,2.047269596257634,0.0,0.0
Abell2744,C10,S01,,1,24.2449646432902,0.0,2.2469334198890888e-14
Abell2744,C10,S01,,2,20.16383841157567,0.0,2.2469334198890888e-14
Abell2744,C10,S01,,3,10.783050896920566,0.0,2.2469334198890888e-14
Abell2744,C10,S01,,4,2.047269596257634,0.0,2.2469334198890888e-14
Abell2744,C10,S02,,1,68.86912549302859,0.0,58.86403855907491
Abell2744,C10,S02,,2,41.23881974093364,0.0,58.86403855907491
Abell2744,C10,S02,,3,42.86745972596209,0.0,58.86403855907491
Abell2744,C10,S02,,4,2.3557756724818644,0.0,58.86403855907491
Abell2744,C10,C10-S03,,1,236.75161131730394,0.0,981.1015957157153
Abell2744,C10,C10-S03,,2,974.0445324404267,0.0,981.1015957157153
Abell2744,C10,C10-S03,,3,97.45960687606038,0.0,981.1015957157153
Abell2744,C10,C10-S03,,4,2.297145408102568,0.0,981.1015957157153
Abell2744,C10,C10-S04,,1,61.56931863556879,0.0,59.97378784311827
Abell2744,C10,C10-S04,,2,63.450491313668024,0.0,59.97378784311827
Abell2744,C10,C10-S04,,3,20.173701693308047,0.0,59.97378784311827
Abell2744,C10,C10-S04,,4,17.59812762610674,0.0,59.97378784311827
Abell2744,C10,C10-S05,,1,71.59438919105254,0.0,162.13254982466165
Abell2744,C10,C10-S05,,2,171.6808325443265,0.0,162.13254982466165
Abell2744,C10,C10-S05,,3,34.06517899193196,0.0,162.13254982466165
Abell2744,C10,C10-S05,,4,25.404039663747486,0.0,162.13254982466165
Abell2744,C10,C10-S06,,1,61.56931863556879,0.0,59.97378784311827
Abell2744,C10,C10-S06,,2,63.450491313668024,0.0,59.97378784311827
Abell2744,C10,C10-S06,,3,20.173701693308047,0.0,59.97378784311827
Abell2744,C10,C10-S06,,4,17.59812762610674,0.0,59.97378784311827
