cluster,model,stage_id,timestep,smoothing,norm_mode,pearson,spearman,ssim,amplitude_ratio,variance_ratio,mean_bias,sign_agreement,normalized_rms_difference,n_finite
Abell2744,C10,S00,-1,S0,N0,1.0,1.0,0.9999999999999998,1.0,1.0,0.0,1.0,0.0,4096
Abell2744,C10,S00,-1,S0,N1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4096
Abell2744,C10,S00,-1,S0,N2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4096
Abell2744,C10,S00,-1,S1,N0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4096
Abell2744,C10,S00,-1,S1,N1,1.0,1.0,1.0000000000000002,1.0,1.0,0.0,1.0,0.0,4096
Abell2744,C10,S00,-1,S1,N2,1.0,1.0,1.0000000000000002,1.0,1.0,0.0,1.0,0.0,4096
Abell2744,C10,S01,-1,S0,N0,1.0,1.0,0.15555215470693326,5.555555555555555,30.864197530864203,-0.06561916731791755,1.0,0.09052566154685156,4096
Abell2744,C10,S01,-1,S0,N1,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0960520972431431e-16,1.0,1.2846821473074482e-17,4096
Abell2744,C10,S01,-1,S0,N2,1.0,1.0,0.9999999999999998,1.0,1.0000000000000002,-2.5399553472841077e-17,1.0,1.0174150219843616e-17,4096
Abell2744,C10,S01,-1,S1,N0,0.9999999999999998,1.0,0.14535291054134197,5.555555555555555,30.864197530864196,-0.06561899776931854,1.0,0.12428789205344376,4096
Abell2744,C10,S01,-1,S1,N1,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0000000000000004,-2.814925005973311e-16,1.0,3.5908258229212045e-17,4096
Abell2744,C10,S01,-1,S1,N2,0.9999999999999999,1.0,1.0,1.0,1.0,5.021105432205086e-18,1.0,2.258777934024942e-17,4096
Abell2744,C10,S02,-1,S0,N0,0.5031766777105275,0.3218561194127348,0.24860615072671538,2.869174148869312,11.34778921647609,-0.04886581569663466,0.87451171875,0.08338756948555506,4096
Abell2744,C10,S02,-1,S0,N1,0.5031766777105277,0.3218561194127348,0.5338711108015703,0.9999999999999999,0.9999999999999999,2.0816681711721685e-17,0.598876953125,0.07580925638435335,4096
Abell2744,C10,S02,-1,S0,N2,0.5031766777105277,0.3218561194127348,0.5351318305435666,0.9999999999999999,1.3784703902383533,0.08490335511817923,0.87451171875,0.07148377125532564,4096
Abell2744,C10,S02,-1,S1,N0,0.771692654333302,0.5499840757800087,0.29125446446718867,2.8713790864115403,15.367016735742277,-0.04882116694526205,1.0,0.10478906682162753,4096
Abell2744,C10,S02,-1,S1,N1,0.7716926543333021,0.5499840757800087,0.7810510695678423,1.0,1.0000000000000002,-2.5326962749261384e-16,0.674560546875,0.060899216276630454,4096
Abell2744,C10,S02,-1,S1,N2,0.771692654333302,0.5499840757800087,0.7487631650711211,0.9999999999999999,1.8638394444399145,0.09614965693135895,1.0,0.059247159441390515,4096
Abell2744,C10,C10-S03,-1,S0,N0,0.04597337984250093,0.05131180180139403,0.016397065379203754,0.15854334143747806,0.2889813288877531,0.6017752175505052,0.859375,0.6220468959320037,4096
Abell2744,C10,C10-S03,-1,S0,N1,0.04597337984250093,0.05131180180139403,0.10491446603095517,1.0,1.0,-3.7470027081099033e-16,0.49267578125,0.1050513156452049,4096
Abell2744,C10,C10-S03,-1,S0,N2,0.04597337984250093,0.05131180180139403,0.14068077317339506,1.0,11.4967151116214,0.25427515735490347,0.859375,0.0831746661714869,4096
Abell2744,C10,C10-S03,-1,S1,N0,0.16106145808974026,0.0674399280139761,0.05472707709745127,0.145216161144194,0.734442873221652,0.6018691145633523,1.0,0.9253370028918758,4096
Abell2744,C10,C10-S03,-1,S1,N1,0.1610614580897403,0.0674399280139761,0.19544990585750344,1.0,1.0,7.494005416219807e-16,0.515869140625,0.11673923274884056,4096
Abell2744,C10,C10-S03,-1,S1,N2,0.16106145808974032,0.0674399280139761,0.14194980384736672,1.0,34.82796644330482,0.19088665910035735,1.0,0.0935370481788443,4096
Abell2744,C10,C10-S04,-1,S0,N0,0.15462493984412914,0.17727339020510854,0.003867639654292546,4.134823660231641,8.113758014100753,-0.07988735114772282,0.4521484375,0.11068281876225733,4096
Abell2744,C10,C10-S04,-1,S0,N1,0.1546249398441292,0.17727339020510854,0.2068533821427214,0.9999999999999999,0.9999999999999999,3.469446951953614e-17,0.566650390625,0.09888854000417296,4096
Abell2744,C10,C10-S04,-1,S0,N2,0.15462493984412914,0.17727339020510854,0.005412882201778023,0.9999999999999999,0.4745785069129975,-0.7197734935084411,0.4521484375,0.1472707250354587,4096
Abell2744,C10,C10-S04,-1,S1,N0,0.09386407334101961,0.10802316902064049,0.0013786370277902643,5.936255955190821,12.4593805346678,-0.07988944656583533,0.49951171875,0.15213144564173506,4096
Abell2744,C10,C10-S04,-1,S1,N1,0.09386407334101961,0.10802316902064049,0.1310069704994377,1.0000000000000002,1.0000000000000004,-1.457167719820518e-16,0.537841796875,0.12132447929472807,4096
Abell2744,C10,C10-S04,-1,S1,N2,0.09386407334101965,0.10802316902064049,0.0034942937910899742,0.9999999999999999,0.3535665849222905,-0.7960491427413112,0.49951171875,0.20757735699537105,4096
Abell2744,C10,C10-S05,-1,S0,N0,0.4276959508437258,0.4232867785290385,0.003626672510097254,7.092396016195693,23.87248513368005,-0.0801144977733328,0.4541015625,0.10691970023203451,4096
Abell2744,C10,C10-S05,-1,S0,N1,0.42769595084372586,0.4232867785290385,0.46648660265207115,0.9999999999999999,0.9999999999999999,5.204170427930421e-18,0.6611328125,0.0813644435473523,4096
Abell2744,C10,C10-S05,-1,S0,N2,0.42769595084372586,0.4232867785290385,0.0064091945818512954,1.0,0.4745824534530513,-0.7307222735580957,0.4541015625,0.1315176263743649,4096
Abell2744,C10,C10-S05,-1,S1,N0,0.37419190301860517,0.37973936320358814,0.0007698448218669201,14.911100867523384,78.62195996339807,-0.08011424315079892,0.486328125,0.1497506225344661,4096
Abell2744,C10,C10-S05,-1,S1,N1,0.37419190301860517,0.37973936320358814,0.3998440431702374,1.0,1.0000000000000002,-1.196959198423997e-16,0.642333984375,0.10082595637740575,4096
Abell2744,C10,C10-S05,-1,S1,N2,0.37419190301860517,0.37973936320358814,-0.008361768270758333,0.9999999999999999,0.35360992817743514,-0.8176694939495971,0.486328125,0.19034014357692006,4096
Abell2744,C10,C10-S06,-1,S0,N0,0.15462493984412914,0.17727339020510854,0.003867639654292546,4.134823660231641,8.113758014100753,-0.07988735114772282,0.4521484375,0.11068281876225733,4096
Abell2744,C10,C10-S06,-1,S0,N1,0.1546249398441292,0.17727339020510854,0.2068533821427214,0.9999999999999999,0.9999999999999999,3.469446951953614e-17,0.566650390625,0.09888854000417296,4096
Abell2744,C10,C10-S06,-1,S0,N2,0.15462493984412914,0.17727339020510854,0.005412882201778023,0.9999999999999999,0.4745785069129975,-0.7197734935084411,0.4521484375,0.1472707250354587,4096
Abell2744,C10,C10-S06,-1,S1,N0,0.09386407334101961,0.10802316902064049,0.0013786370277902643,5.936255955190821,12.4593805346678,-0.07988944656583533,0.49951171875,0.15213144564173506,4096
Abell2744,C10,C10-S06,-1,S1,N1,0.09386407334101961,0.10802316902064049,0.1310069704994377,1.0000000000000002,1.0000000000000004,-1.457167719820518e-16,0.537841796875,0.12132447929472807,4096
Abell2744,C10,C10-S06,-1,S1,N2,0.09386407334101965,0.10802316902064049,0.0034942937910899742,0.9999999999999999,0.3535665849222905,-0.7960491427413112,0.49951171875,0.20757735699537105,4096
Abell2744,C10,S13_P0,-1,S0,N0,0.4359759504508722,0.26153077865063196,0.1356076754738551,4.2900074901220835,21.28284373087231,-0.060263375062568285,0.8642578125,0.0927040788125923,4096
Abell2744,C10,S13_P0,-1,S0,N1,0.4359759504508721,0.26153077865063196,0.4708221375639192,0.9999999999999997,0.9999999999999994,-3.469446951953614e-17,0.58203125,0.08077371551932092,4096
Abell2744,C10,S13_P0,-1,S0,N2,0.4359759504508721,0.26153077865063196,0.4775696813652996,0.9999999999999999,1.1564145714019605,0.04300085719645072,0.8642578125,0.07821812917008408,4096
Abell2744,C10,S13_P0,-1,S1,N0,0.7183891037172865,0.4601592393710197,0.15366813993588416,4.408319456253888,29.6734917588904,-0.06023139911523291,1.0,0.1211084228137384,4096
Abell2744,C10,S13_P0,-1,S1,N1,0.7183891037172866,0.4601592393710197,0.7299324541701104,1.0000000000000002,1.0000000000000004,-6.938893903907228e-17,0.646484375,0.06763577778481497,4096
Abell2744,C10,S13_P0,-1,S1,N2,0.7183891037172865,0.4601592393710197,0.7185885535812381,1.0,1.5269419832765734,0.07259520023159083,1.0,0.06417642583812415,4096
Abell2744,C10,S13_P3,-1,S0,N0,0.03295207301263757,0.006639656540879997,0.0026776417815245735,14.491579378299894,99.70409016238345,-0.07986627124868251,0.465087890625,0.11037321490369004,4096
Abell2744,C10,S13_P3,-1,S0,N1,0.032952073012637556,0.006639656540879997,0.09269763357521206,0.9999999999999999,0.9999999999999999,3.8163916471489756e-17,0.524169921875,0.10576579750900518,4096
Abell2744,C10,S13_P3,-1,S0,N2,0.03295207301263757,0.006639656540879997,0.008269789174643046,0.9999999999999999,0.47476810432111516,-0.7042455150427254,0.465087890625,0.15315835852630783,4096
