cluster_id,stage_name,snapshot_index,rms,mean,var,max,min
Abell2744,A8-fast_pre,0,0.020192061041885704,0.014435494885159435,0.00019933581653977414,0.18094148124700327,-0.01223752254772711
Abell2744,A8-fast_pre,1,0.020135469909520497,0.014435296938097194,0.00019705935078616707,0.17931270239535463,-0.011842368798580446
Abell2744,A8-fast_pre,2,0.020080731380113456,0.014435105287441456,0.0001948635081007529,0.17772004152381116,-0.011459938990656983
Abell2744,A8-fast_pre,3,0.020027751835877173,0.014434919732931328,0.0001927439359033112,0.17616266661209395,-0.011089649329170528
Abell2744,A8-fast_pre,4,0.01997644376039631,0.014434740081104559,0.00019069658410323027,0.17463975886481167,-0.01073094839429747
Abell2744,A8-fast_pre,5,0.019926725269918337,0.014434566145048476,0.0001887176801870224,0.17315051307125515,-0.010383315147115236
Abell2744,A8-fast_pre,6,0.01987851968465572,0.014434397744160738,0.00018680370661661226,0.1716941379022913,-0.01004625706600935
Abell2744,A8-fast_pre,7,0.019831755136460877,0.014434234703919425,0.00018495138030471045,0.17026985614985754,-0.009719308404693738
Abell2744,A8-fast_pre,8,0.01978636420957573,0.01443407685566216,0.0001831576339588173,0.16887690491414292,-0.009402028563604361
Abell2744,A8-fast_pre,9,0.01974228361146641,0.014433924036373863,0.00018141959910776404,0.16751453574315522,-0.009094000566998404
Abell2744,A8-fast_pre,10,0.019699453871033886,0.014433776088482795,0.00017973459064453417,0.16618201472901623,-0.008794829638622801
Abell2744,A8-fast_pre,11,0.01965781906174489,0.014433632859664536,0.00017810009273671297,0.16487862256499422,-0.00860089433170163
Abell2744,A8-fast_pre,12,0.019617326547457598,0.014433494202653609,0.00017651374597154928,0.1636036545669749,-0.00841623686288574
Abell2744,A8-fast_pre,13,0.019577926748924317,0.014433359975062413,0.00017497333561651264,0.16235642066278586,-0.008236265581257929
Abell2744,A8-fast_pre,14,0.01953957292914209,0.014433230039207158,0.00017347678088859065,0.16113624535252435,-0.0080607941955489
Abell2744,A8-fast_pre,15,0.019502220995892265,0.014433104261940544,0.00017202212513657482,0.1599424676427925,-0.007889645263616215
Abell2744,A8-fast_pre,16,0.01946582931996439,0.01443298251449088,0.00017060752685038586,0.15877444095751522,-0.007722649733309245
Abell2744,A8-fast_pre,17,0.019430358567699244,0.014432864672307392,0.00016923125142022456,0.15763153302780564,-0.007559646508393809
Abell2744,A8-fast_pre,18,0.01939577154661185,0.01443275061491148,0.00016789166357613006,0.15651312576314563,-0.007400482038125509
Abell2744,A8-fast_pre,19,0.019362033062969537,0.01443264022575365,0.00016658722044548313,0.15541861510596866,-0.007245009929141832
Abell2744,A8-fast_post,0,0.020135469909520497,0.014435296938097194,0.00019705935078616707,0.17931270239535463,-0.011842368798580446
Abell2744,A8-fast_post,1,0.020080731380113456,0.014435105287441456,0.0001948635081007529,0.17772004152381116,-0.011459938990656983
Abell2744,A8-fast_post,2,0.020027751835877173,0.014434919732931328,0.0001927439359033112,0.17616266661209395,-0.011089649329170528
Abell2744,A8-fast_post,3,0.01997644376039631,0.014434740081104559,0.00019069658410323027,0.17463975886481167,-0.01073094839429747
Abell2744,A8-fast_post,4,0.019926725269918337,0.014434566145048476,0.0001887176801870224,0.17315051307125515,-0.010383315147115236
Abell2744,A8-fast_post,5,0.01987851968465572,0.014434397744160738,0.00018680370661661226,0.1716941379022913,-0.01004625706600935
Abell2744,A8-fast_post,6,0.019831755136460877,0.014434234703919425,0.00018495138030471045,0.17026985614985754,-0.009719308404693738
Abell2744,A8-fast_post,7,0.01978636420957573,0.01443407685566216,0.0001831576339588173,0.16887690491414292,-0.009402028563604361
Abell2744,A8-fast_post,8,0.01974228361146641,0.014433924036373863,0.00018141959910776404,0.16751453574315522,-0.009094000566998404
Abell2744,A8-fast_post,9,0.019699453871033886,0.014433776088482795,0.00017973459064453417,0.16618201472901623,-0.008794829638622801
Abell2744,A8-fast_post,10,0.01965781906174489,0.014433632859664536,0.00017810009273671297,0.16487862256499422,-0.00860089433170163
Abell2744,A8-fast_post,11,0.019617326547457598,0.014433494202653609,0.00017651374597154928,0.1636036545669749,-0.00841623686288574
Abell2744,A8-fast_post,12,0.019577926748924317,0.014433359975062413,0.00017497333561651264,0.16235642066278586,-0.008236265581257929
Abell2744,A8-fast_post,13,0.01953957292914209,0.014433230039207158,0.00017347678088859065,0.16113624535252435,-0.0080607941955489
Abell2744,A8-fast_post,14,0.019502220995892265,0.014433104261940544,0.00017202212513657482,0.1599424676427925,-0.007889645263616215
Abell2744,A8-fast_post,15,0.01946582931996439,0.01443298251449088,0.00017060752685038586,0.15877444095751522,-0.007722649733309245
Abell2744,A8-fast_post,16,0.019430358567699244,0.014432864672307392,0.00016923125142022456,0.15763153302780564,-0.007559646508393809
Abell2744,A8-fast_post,17,0.01939577154661185,0.01443275061491148,0.00016789166357613006,0.15651312576314563,-0.007400482038125509
Abell2744,A8-fast_post,18,0.019362033062969537,0.01443264022575365,0.00016658722044548313,0.15541861510596866,-0.007245009929141832
Abell2744,A8-fast_post,19,0.019329109790303195,0.014432533392075897,0.00016531646517220895,0.15434741087156245,-0.007093090578419517
Abell2744,A8-slow_pre,0,0.019871486681016196,0.014404207460030679,0.00018739479036220045,0.18,0.0
Abell2744,A8-slow_pre,1,0.01982056574741973,0.014404991594696282,0.00018535104370451765,0.17801324942052243,-0.0002751290767208405
Abell2744,A8-slow_pre,2,0.01977171747986112,0.014405750699595984,0.00018339515888453556,0.17609346092601844,-0.0005303036288768568
Abell2744,A8-slow_pre,3,0.019724774487110526,0.014406485609474766,0.00018151990095136285,0.17423763339959603,-0.0007666857929844214
Abell2744,A8-slow_pre,4,0.019679587963410874,0.014407197129719235,0.00017971885327503604,0.17244292414964277,-0.0009853712714876371
Abell2744,A8-slow_pre,5,0.01963602538873771,0.014407886037462465,0.00017798631299864614,0.170706639651366,-0.0011873931484391923
Abell2744,A8-slow_pre,6,0.01959396852073364,0.01440855308264488,0.00017631720045610554,0.16902622686452323,-0.0013737254840754166
Abell2744,A8-slow_pre,7,0.019553311641766893,0.014409198989032975,0.0001747069806545078,0.16739926509002787,-0.0015452867012202324
