cluster_id,model,component,pearson_J0_vs_J1,nrmse_J0_vs_J1,max_abs_diff
Abell2744,C10,A11,0.27354157977294025,0.07579335422444897,0.015872242190721364
Abell2744,C10,A12,0.8606971237821923,0.038934602770296624,0.011788873980909862
Abell2744,C10,A21,0.7387320711847888,0.07321851266623317,0.466311337697547
Abell2744,C10,A22,0.9102801967692203,0.07771895832381495,0.4484647441492282
Abell2744,C10,kappa,0.9091296102943793,0.07709901314872192,0.4514883481621883
Abell2744,C10,gamma1,0.908676631717993,0.07666895995855617,0.22332154489011624
Abell2744,C10,gamma2,0.7317054038328323,0.0767340720114017,0.23005175154980784
Abell2744,A8,A11,0.43948189165443374,0.0809235888460935,0.1195041390957079
Abell2744,A8,A12,0.7227598796145612,0.06575511603378566,0.11083377868970531
Abell2744,A8,A21,0.8251574642194807,0.07476464797082348,1.3114346843737412
Abell2744,A8,A22,0.9044918114577601,0.11288191740974046,1.46043000637271
Abell2744,A8,kappa,0.9029806098924735,0.11289508707944877,1.3850883542359824
Abell2744,A8,gamma1,0.9025394089577795,0.11120998132710552,0.7703299333574345
Abell2744,A8,gamma2,0.8225249448470379,0.07804841592553535,0.6891487220693642
MACS0416,C10,A11,0.626414626049131,0.10255693019759671,0.003241075405168603
MACS0416,C10,A12,0.8321866934285979,0.08439823019306307,0.006331540395202489
MACS0416,C10,A21,0.8406387682610591,0.08179766584395934,0.2402753858914578
MACS0416,C10,A22,0.9262486755449033,0.08645183877527624,0.39907977797647126
MACS0416,C10,kappa,0.9292918254047683,0.08597937782031995,0.3988898810979232
MACS0416,C10,gamma1,0.928981687645982,0.0860294442300531,0.19981925452134036
MACS0416,C10,gamma2,0.8364930054308307,0.08350624001886181,0.11996211476555114
MACS0416,A8,A11,0.8160421154883459,0.0648628817500416,0.04823849894261323
MACS0416,A8,A12,0.758492116409527,0.09967861962052287,0.09588666467012372
MACS0416,A8,A21,0.8836594950271863,0.0859891148873896,0.9501916388172353
MACS0416,A8,A22,0.8975168523326454,0.10833646278958556,1.5598516556670243
