family_number,family_code,family_name,is_wrong,cluster_id,cluster_label,emergent_coherence_index,coherence_gain,emergent_memory_index,evolution_activity,relaxation_time,effective_interaction_radius,spatial_correlation_length,temporal_persistence_length
5,S5,Scalar + Relaxation State,False,MACS1149,MACS J1149,-0.007660618665996286,3.454651550331006e-08,1.0000000000000002,0.03990131190842429,5.0,4.0,4.0,4.0
6,S6,Scalar + Local Momentum,False,MACS1149,MACS J1149,-0.007660653212511789,0.0,0.0,0.0,0.0,4.0,4.0,0.0
7,S7,Scalar + Orientation + Relaxation,False,MACS1149,MACS J1149,0.011073980974004584,0.018734634186516372,0.9903885353144194,2.716704440261797,8.0,4.0,128.0,4.0
8,S8,Scalar + Orientation + Strain,False,MACS1149,MACS J1149,-0.0049378829036706645,0.0027227703088411248,0.8947187989324707,0.05058708283980176,1.0,4.0,4.0,1.0
9,S9,Scalar + Phase + Orientation,False,MACS1149,MACS J1149,-0.0024257734490772628,0.005234879763434527,0.9980122136993469,0.04108848471338288,6.0,4.0,4.0,4.0
10,S10,Full Local State,False,MACS1149,MACS J1149,0.017655897225450246,0.025316550437962035,0.2711966566522132,0.45544058567585455,1.0,4.0,4.0,1.0
11,WR1,Wrong: Random Internal State,True,MACS1149,MACS J1149,-0.001140087015953729,0.00652056619655806,-0.49176175495185415,0.5772057881593716,20.0,0.0,128.0,1.0
12,WR2,Wrong: Frozen Internal State,True,MACS1149,MACS J1149,-0.0029469083742207666,0.004713744838291022,0.0,0.0,0.0,0.0,4.0,0.0
13,WR3,Wrong: Rapid Randomisation,True,MACS1149,MACS J1149,-4.36780662803815e-05,0.007616975146231408,-0.4927639004076593,0.5519838132912054,20.0,0.0,128.0,1.0
14,WR4,Wrong: Self-Only Evolution,True,MACS1149,MACS J1149,-0.003781497847934782,0.0038791553645770075,1.0,0.04400521832054349,6.0,0.0,4.0,5.0
1,S1,Scalar (Control),False,AbellS1063,Abell S1063,0.00261411817937582,-8.439303767783556e-05,0.9990062364288581,0.04161258106155732,6.0,4.0,3.0,4.0
2,S2,Scalar + Orientation,False,AbellS1063,Abell S1063,0.0005476433677193089,-0.0021508678493343467,0.4030746307971155,0.04631102449013486,19.0,4.0,3.0,4.0
3,S3,Scalar + Internal Strain,False,AbellS1063,Abell S1063,0.005819242016022029,0.003120730798968373,0.9996783471927158,0.004246989077735361,8.0,4.0,3.0,5.0
4,S4,Scalar + Phase,False,AbellS1063,Abell S1063,0.004387432218413021,0.0016889210013593657,0.9975447956170518,0.04125128275381478,6.0,4.0,3.0,4.0
5,S5,Scalar + Relaxation State,False,AbellS1063,Abell S1063,0.002698360481939817,-1.5073511383870142e-07,1.0,0.05565653153469345,5.0,4.0,3.0,4.0
6,S6,Scalar + Local Momentum,False,AbellS1063,Abell S1063,0.0026985112170536557,0.0,0.0,0.0,0.0,4.0,3.0,0.0
7,S7,Scalar + Orientation + Relaxation,False,AbellS1063,Abell S1063,0.01073973245805684,0.008041221241003186,0.9905226696112824,2.7432288967901934,8.0,4.0,4.0,4.0
8,S8,Scalar + Orientation + Strain,False,AbellS1063,Abell S1063,0.005951720955880359,0.0032532097388267033,0.9015077505416196,0.05064237909439476,1.0,4.0,3.0,1.0
9,S9,Scalar + Phase + Orientation,False,AbellS1063,Abell S1063,0.0039781969612401056,0.00127968574418645,0.9980359705156546,0.04120851260519979,6.0,4.0,3.0,4.0
10,S10,Full Local State,False,AbellS1063,Abell S1063,0.020086739974428582,0.017388228757374925,0.24255891399822177,0.4549629815996866,1.0,4.0,3.0,1.0
11,WR1,Wrong: Random Internal State,True,AbellS1063,Abell S1063,-0.001140087015953729,-0.0038385982330073846,-0.49176175495185415,0.5772057881593716,20.0,0.0,128.0,1.0
12,WR2,Wrong: Frozen Internal State,True,AbellS1063,Abell S1063,-0.0010686434062326217,-0.0037671546232862776,0.0,0.0,0.0,0.0,3.0,0.0
13,WR3,Wrong: Rapid Randomisation,True,AbellS1063,Abell S1063,-4.36780662803815e-05,-0.002742189283334037,-0.4930875088171354,0.5433889294523044,20.0,0.0,128.0,1.0
14,WR4,Wrong: Self-Only Evolution,True,AbellS1063,Abell S1063,0.003113528858998139,0.0004150176419444834,1.0,0.04400521832054349,6.0,0.0,3.0,5.0
1,S1,Scalar (Control),False,Abell370,Abell 370,-0.002272623248843342,0.0001439121545102045,0.9989830612291238,0.042283189857620175,6.0,4.0,3.0,4.0
2,S2,Scalar + Orientation,False,Abell370,Abell 370,0.003473002556900434,0.005889537960253981,0.45091177851082354,0.05691284252991922,19.0,4.0,18.0,3.0
3,S3,Scalar + Internal Strain,False,Abell370,Abell 370,-0.003147390162752439,-0.0007308547593988927,0.9995163495722563,0.007584962813587835,7.0,4.0,3.0,5.0
4,S4,Scalar + Phase,False,Abell370,Abell 370,2.3126561381012082e-05,0.0024396619647345584,0.9973832585007688,0.04182940898113336,6.0,4.0,3.0,4.0
5,S5,Scalar + Relaxation State,False,Abell370,Abell 370,-0.0024164103614383067,1.2504191523963343e-07,1.0,0.07529733136567561,5.0,4.0,3.0,4.0
6,S6,Scalar + Local Momentum,False,Abell370,Abell 370,-0.0024165354033535463,0.0,0.0,0.0,0.0,4.0,3.0,0.0
7,S7,Scalar + Orientation + Relaxation,False,Abell370,Abell 370,0.004301490877040657,0.006718026280394203,0.9896817378402192,2.7348604714115794,8.0,4.0,4.0,4.0
8,S8,Scalar + Orientation + Strain,False,Abell370,Abell 370,-0.0032614558866556733,-0.0008449204833021269,0.9068584217856833,0.05110793607811227,1.0,4.0,3.0,1.0
9,S9,Scalar + Phase + Orientation,False,Abell370,Abell 370,-0.0002504017377204728,0.0021661336656330736,0.9980274815302298,0.04177687089104649,6.0,4.0,3.0,4.0
10,S10,Full Local State,False,Abell370,Abell 370,0.01672132891101452,0.019137864314368067,0.28932792387868983,0.4514086633040435,1.0,4.0,3.0,1.0
11,WR1,Wrong: Random Internal State,True,Abell370,Abell 370,-0.001140087015953729,0.0012764483873998174,-0.49176175495185415,0.5772057881593716,20.0,0.0,128.0,1.0
12,WR2,Wrong: Frozen Internal State,True,Abell370,Abell 370,-0.0023494212783230065,6.71141250305398e-05,0.0,0.0,0.0,0.0,3.0,0.0
13,WR3,Wrong: Rapid Randomisation,True,Abell370,Abell 370,-4.36780662803815e-05,0.002372857337073165,-0.493786048201777,0.5244195263753831,20.0,0.0,128.0,1.0
14,WR4,Wrong: Self-Only Evolution,True,Abell370,Abell 370,-0.0024741365803132524,-5.760117695970601e-05,1.0,0.04400521832054349,6.0,0.0,3.0,5.0
