family_number,family_code,family_name,principle,is_wrong,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,median_rms_kappa,median_rms_gamma,mean_kappa_bias,mean_gamma_bias,median_runtime_seconds,max_conservation_error,median_emergent_coherence_index,median_coherence_gain,median_emergent_memory_index,median_evolution_activity,median_spatial_correlation_length,median_temporal_persistence_length,median_relaxation_time,median_effective_interaction_radius,median_strain_energy,median_interaction_energy,median_total_energy,median_strain_energy_relaxation,clusters_with_emergent_coherence,clusters_with_emergent_memory,clusters_improving_pearson_kappa,delta_pearson_kappa_vs_s1,delta_rms_kappa_vs_s1,naturally_reproduces_both
1,S1,Scalar (Control),u = rho; no internal variables,False,0.10158423475231375,0.0921034743131699,-0.001053936101569421,0.10388039111298339,0.16664729811063372,0.06369989008593709,-0.06203565300386889,-0.012914192324225951,0.2376016170019284,2.220446049250313e-16,0.00261411817937582,0.00031674263780190684,0.9990006845066417,0.04185026662524756,3.0,4.0,6.0,4.0,4.385079634780839e-06,1.7400652232757374e-06,6.125144858056577e-06,2.8620890000943617e-05,4,5,0,0.0,0.0,False
2,S2,Scalar + Orientation,"u, theta; theta aligns with neighbours",False,-0.03698703596461663,0.007395213985504835,0.007287869112245923,0.025777047264055022,0.3228130515126507,0.14981941908530502,-0.048142252981960745,-0.009740341763210359,0.23745561600662768,2.220446049250313e-16,0.000959059748524022,0.004354174324546913,0.44464586083676744,0.05691284252991922,10.0,3.0,19.0,4.0,0.014486834619855195,3.974845370302984e-05,0.01453233405848738,-0.0007859874679376402,3,0,1,-0.13857127071693037,0.156165753402017,False
3,S3,Scalar + Internal Strain,"u, epsilon; strain accumulates with time",False,0.0933668420880321,0.0789782484819202,-0.0023465422191993896,0.0888339312258871,0.15341451943342876,0.06765504367816018,-0.061632526187416645,-0.02738729037036829,0.2364160519791767,2.220446049250313e-16,0.00035014694113392976,0.0008616046929453823,0.9995780423728445,0.005433357641247086,3.0,5.0,7.0,4.0,4.78246279174709e-07,6.7775013323984e-07,1.155996412414549e-06,-4.740637449395991e-07,4,5,3,-0.008217392664281647,-0.01323277867720496,False
4,S4,Scalar + Phase,"u, phi; phase oscillates and couples to neighbours",False,0.10278220320582113,0.09632659577204343,-0.0026369495543771735,0.10794322406428553,0.16691219948058658,0.06379169865616767,-0.06236720174190783,-0.01225593599943282,0.23699363495688885,2.220446049250313e-16,0.004360344574498056,0.0024396619647345584,0.9975447956170518,0.041502066753664434,3.0,4.0,6.0,4.0,4.577608708949501e-06,1.7930732340628688e-06,6.370681943012369e-06,2.871547954959318e-05,5,5,4,0.0011979684535073781,0.00026490136995285796,True
5,S5,Scalar + Relaxation State,"u, R; R evolves with finite relaxation time",False,0.08951008530735141,0.08360319633681884,-0.01057957767497125,0.09290241574484293,0.15580164476001288,0.06971014058135759,-0.06234734786221765,-0.02831171266767708,0.23675156303215772,2.220446049250313e-16,-0.0005114251908492773,3.454651550331006e-08,1.0,0.05565653153469345,3.0,4.0,5.0,4.0,6.350918715994064e-06,7.103853957693645e-07,6.871654887774193e-06,6.877690225372309e-05,0,5,3,-0.012074149444962337,-0.010845653350620849,False
6,S6,Scalar + Local Momentum,"u, p; momentum carries neighbour response",False,0.08951008530735126,0.08360319633681883,-0.010579577674971226,0.09290241574484291,0.15580164476001288,0.06971014058135759,-0.06234734786221766,-0.02831171266767708,0.2366215930087492,2.220446049250313e-16,-0.0005114577518114525,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,4.6118627677637305e-05,4.6118627677637305e-05,0.0,0,0,3,-0.01207414944496249,-0.010845653350620849,False
7,S7,Scalar + Orientation + Relaxation,"u, theta, R; combined orientation-relaxation",False,-0.05221877031287006,-0.10397136758234782,0.000670504423913917,-0.04200233052045791,0.30218814457976656,0.13030496775710235,-0.052900169991644465,0.04078733712533188,0.23915172193665057,2.220446049250313e-16,0.006835323667482405,0.007346781419293858,0.9905226696112824,2.7432288967901934,4.0,4.0,8.0,4.0,0.1168260983886914,0.001447687956094714,0.11842688947210453,-0.11609399096106214,4,5,0,-0.1538030050651838,0.13554084646913284,False
8,S8,Scalar + Orientation + Strain,"u, theta, epsilon; combined orientation-strain",False,0.09008741245035184,0.07902558769776356,-0.001791279074148378,0.08899556996041287,0.152646783300879,0.0673476347074355,-0.061506369560671105,-0.02748175074373039,0.23607014096342027,2.220446049250313e-16,0.00039445484685675196,0.0009059125986682045,0.903231825673337,0.05081050227150384,3.0,1.0,1.0,4.0,5.422873769338733e-07,6.534365095071459e-07,1.1957238864410192e-06,7.45905483320959e-08,4,4,2,-0.011496822301961904,-0.014000514809754727,False
9,S9,Scalar + Phase + Orientation,"u, phi, theta; combined phase-orientation",False,0.10494564177366811,0.09399620573787398,-0.001832870577292678,0.10577598054984859,0.16620611206861377,0.06360586362812297,-0.06208837193194302,-0.012500440373931781,0.2372349549550563,2.220446049250313e-16,0.0039781969612401056,0.0021661336656330736,0.9980359705156546,0.04143665935511279,3.0,4.0,6.0,4.0,4.5520948038631426e-06,1.789698333690629e-06,6.3417931375537715e-06,2.882219029194897e-05,5,5,4,0.0033614070213543595,-0.00044118604201995315,True
10,S10,Full Local State,"u, theta, epsilon, phi, R; full combined state",False,0.02753693854228696,0.004738609951226419,-0.007352655470986638,0.03291063684696318,0.15066412037154736,0.09624386750544836,-0.0575954011841458,-0.03208664808340608,0.23669992294162512,2.220446049250313e-16,0.01672132891101452,0.017388228757374925,0.28932792387868983,0.4518267410791768,4.0,1.0,1.0,4.0,0.0032680303126077282,4.09089685840465e-05,0.0033178773275370837,0.000893056793723492,5,0,1,-0.07404729621002679,-0.015983177739086363,False
11,WR1,Wrong: Random Internal State,u = random noise per step,True,0.09092629317779921,0.015614100794426539,-0.0047193653373291955,0.004389806388513437,1.542744777592252,0.9082994014607987,-0.11158647461997713,0.7626640198230634,0.2944697439670563,2.220446049250313e-16,-0.001140087015953729,-0.0006286292641422764,-0.49176175495185415,0.5772057881593716,128.0,1.0,20.0,0.0,0.004714346678372992,0.001351718224880901,0.006066064903253893,-9.611183744592106e-06,2,0,2,-0.010657941574514537,1.3760974794816183,False
12,WR2,Wrong: Frozen Internal State,"u = u_init, never evolves",True,0.06679508376213854,0.1460442558330313,-0.00991790073187893,0.1404391619669182,0.19292863728548312,0.06982575166091064,-0.06579519434148227,0.0029518034259805297,0.2396316439844668,2.220446049250313e-16,-0.0018010341493523263,-0.0012895763975408737,0.0,0.0,3.0,0.0,0.0,0.0,4.065515638072842e-05,4.2156292488269005e-05,8.281144886899742e-05,0.0,1,0,1,-0.03478915099017521,0.0262813391748494,False
13,WR3,Wrong: Rapid Randomisation,u re-randomised every step,True,0.05326544244192573,0.08588214221721638,-0.0036516256333773193,0.00836113198774965,1.4443390977592059,0.8469060496911325,-0.10947305993010478,0.7239311897360877,0.2943862940883264,2.220446049250313e-16,-4.36780662803815e-05,0.000467779685531071,-0.4931043153590931,0.5416246260548828,128.0,1.0,20.0,0.0,0.0047113267687970955,0.0013441814220018482,0.006055508190798944,8.23462408455506e-06,3,0,1,-0.04831879231038802,1.2776917996485722,False
14,WR4,Wrong: Self-Only Evolution,no neighbour influence,True,0.11296203947762853,0.07744036093383022,-0.013265827032544414,0.0861590557627328,0.1568745301036342,0.0693493525381196,-0.06330105682033045,-0.028328581976370067,0.2365658018970862,2.220446049250313e-16,-0.0008079015201855413,-5.760117695970601e-05,1.0,0.04400521832054349,3.0,5.0,6.0,0.0,6.009191074292642e-07,1.922932143686153e-06,2.5238512511154175e-06,3.232975756096075e-05,2,5,4,0.011377804725314786,-0.009772768006999527,False
