family_number,family_code,family_name,is_wrong,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error
1,S1,Scalar (Control),False,Abell2744,Abell 2744,-0.007681983395862658,0.1739788624273648,-0.001053936101569421,0.17672854799122334,0.16664729811063372,0.058182248279213755,-0.05404937833851372,0.014221059651661015,0.23939490306656808,2.220446049250313e-16
2,S2,Scalar + Orientation,False,Abell2744,Abell 2744,0.017886203495816447,0.007395213985504835,0.027184027359186763,0.025777047264055022,0.3299481415364013,0.1592567570333958,-0.005866631793227751,0.04594596362462776,0.2403857259778306,2.220446049250313e-16
3,S3,Scalar + Internal Strain,False,Abell2744,Abell 2744,-0.0063861804526713925,0.12351272465893551,-0.0023465422191993896,0.1337580612532005,0.15341451943342876,0.05745253300087618,-0.05556769399401726,0.0014971712066009755,0.23786429699975997,2.220446049250313e-16
4,S4,Scalar + Phase,False,Abell2744,Abell 2744,-0.0016385040434929408,0.17949411956291486,-0.0026369495543771735,0.18305610942717399,0.16691219948058658,0.058228535598027605,-0.054688125885902154,0.013947255573460042,0.23663935298100114,2.220446049250313e-16
5,S5,Scalar + Relaxation State,False,Abell2744,Abell 2744,0.014001283242230315,0.08948461822239669,-0.01057957767497125,0.10079111678948753,0.15580164476001288,0.060821551094784654,-0.0593922726988053,0.0015525044615069925,0.23702915397007018,2.220446049250313e-16
6,S6,Scalar + Local Momentum,False,Abell2744,Abell 2744,0.014001283242230326,0.08948461822239673,-0.010579577674971226,0.10079111678948757,0.15580164476001288,0.060821551094784654,-0.05939227269880528,0.0015525044615069946,0.23730663501191884,2.220446049250313e-16
7,S7,Scalar + Orientation + Relaxation,False,Abell2744,Abell 2744,-0.06408358333403771,-0.03194642536957825,-0.0025528391789264196,0.0039878616552428275,0.3467303968883918,0.15609480602974096,-0.041677388839322184,0.07752404645262681,0.23849592998158187,2.220446049250313e-16
8,S8,Scalar + Orientation + Strain,False,Abell2744,Abell 2744,-0.008068743041868887,0.1264835585501466,-0.001791279074148378,0.13664733318981917,0.152646783300879,0.057050496362168,-0.05509321369470981,0.001163700856418517,0.23673444299492985,2.220446049250313e-16
9,S9,Scalar + Phase + Orientation,False,Abell2744,Abell 2744,-0.0034380104113712544,0.17100652507105557,-0.001832870577292678,0.1740721589488422,0.16620611206861377,0.05804952596318168,-0.05437911366912628,0.013931445217652973,0.23917793110013008,2.220446049250313e-16
10,S10,Full Local State,False,Abell2744,Abell 2744,-0.09008939644134027,0.07525853076960637,0.017358013904547904,0.08205332906268892,0.15981697812730816,0.06847372317867254,-0.05604269691456482,-0.005935254444149997,0.23684513405896723,2.220446049250313e-16
11,WR1,Wrong: Random Internal State,True,Abell2744,Abell 2744,0.09092629317779921,0.015614100794426539,-0.0047193653373291955,0.004389806388513437,1.5412082491351313,0.9198008774675459,-0.10081071786188461,0.7834149657519756,0.30597004399169236,2.220446049250313e-16
12,WR2,Wrong: Frozen Internal State,True,Abell2744,Abell 2744,0.014891658279816606,0.1460442558330313,-0.00991790073187893,0.1404391619669182,0.19292863728548312,0.06982575166091064,-0.06315174255620244,0.03273126128060973,0.2396316439844668,2.220446049250313e-16
13,WR3,Wrong: Rapid Randomisation,True,Abell2744,Abell 2744,0.13947013607283312,0.11691441467553873,-0.00467594611607429,0.00836113198774965,1.4386372088774328,0.8577124431601211,-0.09869730317201225,0.7446821356649997,0.2943862940883264,2.220446049250313e-16
14,WR4,Wrong: Self-Only Evolution,True,Abell2744,Abell 2744,0.018779455484112577,0.10074146095699049,-0.013265827032544414,0.11152159049953632,0.1568745301036342,0.06026079663520232,-0.06073626403405349,0.002052225415533495,0.2365658018970862,2.220446049250313e-16
1,S1,Scalar (Control),False,MACS0416,MACS J0416,0.0038049101943030805,0.07411642114846606,-0.0009668236191874809,0.08840292192441039,0.19497844329796601,0.06268770999058355,-0.10352652194255611,0.0033206364291240983,0.23747636505868286,2.220446049250313e-16
2,S2,Scalar + Orientation,False,MACS0416,MACS J0416,-0.08553998795289182,0.02812907102849796,0.007287869112245923,0.05355328579312475,0.3395250982629272,0.14981941908530502,-0.14731315251281674,0.014698481091069662,0.23745561600662768,2.220446049250313e-16
3,S3,Scalar + Internal Strain,False,MACS0416,MACS J0416,0.021206113792883972,0.1207375328200082,-0.00012153061875851336,0.13124807175133743,0.1888499003395286,0.0639758588283042,-0.0995065253106694,-0.00903171246690677,0.2375526470132172,2.220446049250313e-16
4,S4,Scalar + Phase,False,MACS0416,MACS J0416,0.005943105756874751,0.06853524886014564,-0.001446799197761288,0.08294182491080995,0.19678185755088534,0.06288469741112755,-0.10490601832349215,0.004716502842818788,0.2384359990246594,2.220446049250313e-16
5,S5,Scalar + Relaxation State,False,MACS0416,MACS J0416,0.0189670127542569,0.11745442862258915,0.0003628471282822524,0.12674274391854998,0.18596014429000082,0.06527636650253028,-0.0984889623807806,-0.012579496017368446,0.23675156303215772,2.220446049250313e-16
6,S6,Scalar + Local Momentum,False,MACS0416,MACS J0416,0.018967012754257013,0.11745442862258923,0.00036284712828226536,0.12674274391855006,0.18596014429000082,0.06527636650253027,-0.09848896238078059,-0.012579496017368446,0.23703507403843105,2.220446049250313e-16
7,S7,Scalar + Orientation + Relaxation,False,MACS0416,MACS J0416,-0.05221877031287006,-0.10397136758234782,0.0037385059610742996,-0.04200233052045791,0.3211004612923172,0.12474979968999489,-0.12499127169707104,0.040707955047545076,0.24036559590604156,2.220446049250313e-16
8,S8,Scalar + Orientation + Strain,False,MACS0416,MACS J0416,0.02215202459611593,0.11957874500791511,-0.00012167515873903735,0.1302916402179974,0.18870280896843358,0.06384456076140516,-0.09949985695977152,-0.008977433352015373,0.23732795496471226,2.220446049250313e-16
9,S9,Scalar + Phase + Orientation,False,MACS0416,MACS J0416,0.004853112223018255,0.06520497921006715,-0.001097475783687764,0.07941222237647907,0.19641360422206253,0.06340792711580959,-0.10381515288085219,0.004057764097045998,0.2372349549550563,2.220446049250313e-16
10,S10,Full Local State,False,MACS0416,MACS J0416,-0.06871733251499378,0.004738609951226419,-0.008224440803047729,0.03291063684696318,0.24906273689750813,0.10171800645075696,-0.08372699473140652,0.005136513795853264,0.23886017000768334,2.220446049250313e-16
11,WR1,Wrong: Random Internal State,True,MACS0416,MACS J0416,0.09587133113669,-0.05595318707970544,-0.009584441638769387,0.0028810223619910712,1.5444636604090052,0.9082994014607987,-0.15241527353987067,0.7676666942535054,0.2946730339899659,2.220446049250313e-16
12,WR2,Wrong: Frozen Internal State,True,MACS0416,MACS J0416,-0.012496859264158238,0.014555361361023943,0.0002613797447315379,0.02944047257778226,0.20718450264389046,0.06778712671037794,-0.10601483977671308,0.009796000074705099,0.24085710698273033,2.220446049250313e-16
13,WR3,Wrong: Rapid Randomisation,True,MACS0416,MACS J0416,-0.05980541158193738,-0.014933714351098179,-0.0036516256333773193,0.0053969468632837836,1.4558362738639972,0.8469060496911325,-0.15030185884999836,0.7289338641665297,0.2951234159991145,2.220446049250313e-16
14,WR4,Wrong: Self-Only Evolution,True,MACS0416,MACS J0416,0.004433484345726472,0.12300004332703673,-9.99661751061535e-05,0.13292631920076609,0.18484930183092005,0.06403326854987546,-0.09965929406077849,-0.013677469391705135,0.23787722701672465,2.220446049250313e-16
1,S1,Scalar (Control),False,MACS1149,MACS J1149,0.11123991732353253,-0.03658976825432925,0.04486501217158398,-0.005922857181053869,0.12018852000368276,0.09507900276884622,-0.03380561179590566,-0.060653126121630145,0.23792238696478307,2.220446049250313e-16
2,S2,Scalar + Orientation,False,MACS1149,MACS J1149,-0.06573083562945753,-0.15548902815020346,-0.014263259191025598,-0.07922480426779113,0.15086514153442943,0.13124913698459503,-0.02306038632382606,-0.07061952588077916,0.23788545792922378,2.220446049250313e-16
