native_axis,native_source_z,native_source_y,native_source_x,native_dest_z,native_dest_y,native_dest_x,mapped_axis,mapped_source_z,mapped_source_y,mapped_source_x,mapped_dest_z,mapped_dest_y,mapped_dest_x,endpoint_swap,expected_sign,A_native,A_transformed_back,absolute_difference
xp,0,0,0,0,0,1,xp,0,0,0,0,0,1,False,1,-4.0359768830180924e-07,1.1252361775772353e-06,1.5288338658790444e-06
xp,0,0,1,0,0,2,xp,0,0,1,0,0,2,False,1,-2.25532300188903e-06,-1.0939205686757556e-06,1.1614024332132743e-06
xp,0,0,2,0,0,3,xp,0,0,2,0,0,3,False,1,-2.4964061019065107e-06,-4.429331008919984e-06,1.932924907013473e-06
xp,0,0,3,0,0,4,xp,0,0,3,0,0,4,False,1,1.4876665905586016e-06,-1.411970998171829e-07,1.6288636903757845e-06
xp,0,0,4,0,0,5,xp,0,0,4,0,0,5,False,1,-2.8299638999118628e-06,-2.796635492897401e-06,3.3328407014461804e-08
xp,0,0,5,0,0,6,xp,0,0,5,0,0,6,False,1,-4.118515906352284e-06,-3.0360360753405584e-06,1.0824798310117255e-06
xp,0,0,6,0,0,7,xp,0,0,6,0,0,7,False,1,1.3414656233174806e-06,2.352759661000576e-06,1.0112940376830953e-06
xp,0,0,7,0,0,8,xp,0,0,7,0,0,8,False,1,1.9350684924936664e-06,2.0284449728826054e-06,9.337648038893894e-08
xp,0,0,8,0,0,9,xp,0,0,8,0,0,9,False,1,3.6218324173252983e-06,2.625285054875977e-06,9.96547362449321e-07
xp,0,0,9,0,0,10,xp,0,0,9,0,0,10,False,1,-8.541635613093268e-07,-1.0307053071679791e-06,1.7654174585865238e-07
xp,0,0,10,0,0,11,xp,0,0,10,0,0,11,False,1,-8.254144774718399e-06,-8.376554509430652e-06,1.2240973471225374e-07
xp,0,0,11,0,0,12,xp,0,0,11,0,0,12,False,1,-3.054633911781578e-06,-4.910044713918824e-07,2.5636294403896957e-06
xp,0,0,12,0,0,13,xp,0,0,12,0,0,13,False,1,1.5658572246172521e-06,5.3398499003810076e-06,3.7739926757637556e-06
xp,0,0,13,0,0,14,xp,0,0,13,0,0,14,False,1,6.066314412150902e-06,5.965656822690004e-06,1.0065758946089852e-07
xp,0,0,14,0,0,15,xp,0,0,14,0,0,15,False,1,-8.974436853873537e-07,-2.429526444514105e-07,6.544910409359432e-07
xp,0,0,15,0,0,16,xp,0,0,15,0,0,16,False,1,-4.324039097530892e-06,-7.812082618093887e-06,3.4880435205629955e-06
xp,0,0,16,0,0,17,xp,0,0,16,0,0,17,False,1,1.2619316098309621e-06,-1.5825295965530088e-06,2.8444612063839708e-06
xp,0,0,17,0,0,18,xp,0,0,17,0,0,18,False,1,5.512146256839375e-06,7.606315637206442e-06,2.0941693803670665e-06
xp,0,0,18,0,0,19,xp,0,0,18,0,0,19,False,1,4.525637050874539e-06,4.428667744649906e-06,9.696930622463348e-08
xp,0,0,19,0,0,20,xp,0,0,19,0,0,20,False,1,3.969483080551252e-06,1.73900819967822e-06,2.230474880873032e-06
xp,0,0,20,0,0,21,xp,0,0,20,0,0,21,False,1,3.3918302323979253e-06,1.7448153288804894e-06,1.647014903517436e-06
xp,0,0,21,0,0,22,xp,0,0,21,0,0,22,False,1,5.430307468844368e-06,4.067385856706159e-06,1.3629216121382088e-06
xp,0,0,22,0,0,23,xp,0,0,22,0,0,23,False,1,2.9735309571535484e-06,5.067935332372272e-06,2.0944043752187235e-06
xp,0,0,23,0,0,24,xp,0,0,23,0,0,24,False,1,4.8551344925032024e-06,6.736504852526815e-06,1.8813703600236123e-06
xp,0,0,24,0,0,25,xp,0,0,24,0,0,25,False,1,5.144511573285689e-06,2.667963383390805e-06,2.476548189894884e-06
xp,0,0,25,0,0,26,xp,0,0,25,0,0,26,False,1,1.073031730977755e-06,-4.790992093151515e-07,1.5521309402929065e-06
xp,0,0,26,0,0,27,xp,0,0,26,0,0,27,False,1,-7.646037318364603e-06,-5.921525356320182e-06,1.7245119620444211e-06
xp,0,0,27,0,0,28,xp,0,0,27,0,0,28,False,1,-7.995728593447077e-06,-7.667310714625237e-06,3.284178788218396e-07
xp,0,0,28,0,0,29,xp,0,0,28,0,0,29,False,1,-4.6494286170359314e-08,1.4710655450612632e-06,1.5175598312316226e-06
xp,0,0,29,0,0,30,xp,0,0,29,0,0,30,False,1,-1.246563721429317e-05,-1.0902918725122114e-05,1.5627184891710565e-06
xp,0,0,30,0,0,31,xp,0,0,30,0,0,31,False,1,-7.740931819922283e-06,-1.1455374200702942e-05,3.714442380780659e-06
xp,0,0,31,0,0,32,xp,0,0,31,0,0,32,False,1,-1.5326332023739148e-06,-6.495167021713827e-06,4.962533819339912e-06
xp,0,0,32,0,0,33,xp,0,0,32,0,0,33,False,1,2.2404389893804373e-06,2.7622548820572427e-06,5.218158926768054e-07
xp,0,0,33,0,0,34,xp,0,0,33,0,0,34,False,1,3.0323720367594876e-06,6.0939144778528615e-06,3.061542441093374e-06
xp,0,0,34,0,0,35,xp,0,0,34,0,0,35,False,1,7.320535591664174e-06,9.473250759331941e-06,2.152715167667767e-06
