native_axis,native_source_z,native_source_y,native_source_x,native_dest_z,native_dest_y,native_dest_x,mapped_axis,mapped_source_z,mapped_source_y,mapped_source_x,mapped_dest_z,mapped_dest_y,mapped_dest_x,endpoint_swap,expected_sign,A_native,A_transformed_back,absolute_difference
yp,0,38,0,0,39,0,xp,0,0,38,0,0,39,False,1,-7.852353589929844e-06,-6.8055146870503645e-06,1.04683890287948e-06
yp,0,39,0,0,40,0,xp,0,0,39,0,0,40,False,1,-1.5012622631136537e-07,-7.077180643782718e-06,6.927054417471352e-06
yp,0,40,0,0,41,0,xp,0,0,40,0,0,41,False,1,8.296569369245913e-07,3.9873734424574526e-07,4.309195926788461e-07
yp,0,41,0,0,42,0,xp,0,0,41,0,0,42,False,1,-2.927924744002755e-06,-4.275167091116157e-07,2.500408034891139e-06
yp,0,42,0,0,43,0,xp,0,0,42,0,0,43,False,1,2.587617132807997e-06,-2.560842995536169e-07,2.8437014323616137e-06
yp,0,43,0,0,44,0,xp,0,0,43,0,0,44,False,1,1.4787624838465584e-07,-2.9836975196118177e-06,3.1315737679964737e-06
yp,0,44,0,0,45,0,xp,0,0,44,0,0,45,False,1,-6.125076344816085e-06,2.0636506656058288e-06,8.188727010421913e-06
yp,0,45,0,0,46,0,xp,0,0,45,0,0,46,False,1,4.304189503158803e-06,-8.757569636316024e-07,5.179946466790406e-06
yp,0,46,0,0,47,0,xp,0,0,46,0,0,47,False,1,-1.2342481100121892e-06,7.769275006434602e-07,2.0111756106556494e-06
yp,0,47,0,0,48,0,xp,0,0,47,0,0,48,False,1,-2.371593475740778e-06,-2.057997643161473e-07,2.165793711424631e-06
yp,0,48,0,0,49,0,xp,0,0,48,0,0,49,False,1,4.578724017966138e-06,9.741637032905943e-08,4.481307647637078e-06
yp,0,49,0,0,50,0,xp,0,0,49,0,0,50,False,1,-4.867815668800337e-07,-8.50426667904677e-08,4.01738900089566e-07
yp,0,50,0,0,51,0,xp,0,0,50,0,0,51,False,1,2.2046870802506777e-06,2.8431431435524584e-06,6.384560633017808e-07
yp,0,51,0,0,52,0,xp,0,0,51,0,0,52,False,1,5.460749887239218e-06,1.0546280559558703e-05,5.085530672319485e-06
yp,0,52,0,0,53,0,xp,0,0,52,0,0,53,False,1,3.6702891494773557e-06,6.714331125611792e-06,3.044041976134436e-06
yp,0,53,0,0,54,0,xp,0,0,53,0,0,54,False,1,8.899991859892713e-07,1.3684315640300615e-06,4.784323780407901e-07
yp,0,54,0,0,55,0,xp,0,0,54,0,0,55,False,1,-3.1870984178780395e-06,-1.1695467630649983e-05,8.508369212771944e-06
yp,0,55,0,0,56,0,xp,0,0,55,0,0,56,False,1,-8.221387523836108e-06,-1.2489214547153416e-05,4.267827023317308e-06
yp,0,56,0,0,57,0,xp,0,0,56,0,0,57,False,1,4.155800470085507e-07,4.0627573750197036e-07,9.30430950658036e-09
yp,0,57,0,0,58,0,xp,0,0,57,0,0,58,False,1,2.4632420508326137e-06,6.9857935434079515e-06,4.522551492575338e-06
yp,0,58,0,0,59,0,xp,0,0,58,0,0,59,False,1,6.537110633370605e-06,6.467222071751407e-06,6.988856161919831e-08
yp,0,59,0,0,60,0,xp,0,0,59,0,0,60,False,1,-5.355140508320842e-07,5.175062955327763e-06,5.710577006159847e-06
yp,0,60,0,0,61,0,xp,0,0,60,0,0,61,False,1,3.2468843228937856e-06,1.7116308030009126e-06,1.535253519892873e-06
yp,0,61,0,0,62,0,xp,0,0,61,0,0,62,False,1,4.600715964720755e-06,2.1852961634421036e-06,2.4154198012786517e-06
yp,0,62,0,0,63,0,xp,0,0,62,0,0,63,False,1,3.4952831844190816e-06,2.8867363538564086e-06,6.08546830562673e-07
yp,0,0,1,0,1,1,xp,0,1,0,0,1,1,False,1,-3.8011243737344285e-06,-6.580515619393082e-06,2.779391245658653e-06
yp,0,1,1,0,2,1,xp,0,1,1,0,1,2,False,1,6.743214587418989e-07,-3.6599212788905567e-06,4.334242737632455e-06
yp,0,2,1,0,3,1,xp,0,1,2,0,1,3,False,1,1.7443637762158768e-06,-1.4252613544407785e-06,3.169625130656655e-06
yp,0,3,1,0,4,1,xp,0,1,3,0,1,4,False,1,-1.4605014707562105e-06,4.757499251932684e-06,6.218000722688894e-06
yp,0,4,1,0,5,1,xp,0,1,4,0,1,5,False,1,2.4933661570951833e-06,1.04086949920801e-06,1.4524966578871733e-06
yp,0,5,1,0,6,1,xp,0,1,5,0,1,6,False,1,7.655346736049648e-07,2.4753750465101975e-06,1.7098403729052326e-06
yp,0,6,1,0,7,1,xp,0,1,6,0,1,7,False,1,-5.305211090907942e-06,-1.799270345169555e-06,3.505940745738387e-06
yp,0,7,1,0,8,1,xp,0,1,7,0,1,8,False,1,-2.1856797588587353e-06,-1.4520556717084377e-06,7.336240871502976e-07
yp,0,8,1,0,9,1,xp,0,1,8,0,1,9,False,1,-3.807569243100608e-06,3.6096292810793847e-06,7.417198524179993e-06
yp,0,9,1,0,10,1,xp,0,1,9,0,1,10,False,1,-4.232849503980903e-06,-1.8720504719046433e-06,2.36079903207626e-06
yp,0,10,1,0,11,1,xp,0,1,10,0,1,11,False,1,3.2130215632712496e-06,-2.748617106658636e-06,5.961638669929886e-06
yp,0,11,1,0,12,1,xp,0,1,11,0,1,12,False,1,4.359543861188767e-06,2.488808385338925e-06,1.8707354758498423e-06
yp,0,12,1,0,13,1,xp,0,1,12,0,1,13,False,1,1.1209078967800808e-05,6.966662309470832e-06,4.242416658329976e-06
