candidate_number,candidate_name,candidate_family,cluster_id,cluster_label,rms_kappa,rms_gamma,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,kappa_bias,gamma_bias,std_resid_kappa,std_resid_gamma,max_conservation_error,runtime_seconds,n_finite_pixels_kappa,n_finite_pixels_gamma,n_photons,grid_n,step,steps
1,Gradient (control),gradient,Abell2744,Abell 2744,0.1558016447600129,0.06082155109478467,0.014001283242230248,0.0894846182223967,-0.01057957767497121,0.10079111678948749,-0.05939227269880529,0.0015525044615070048,0.14403718427404782,0.060801733589368176,2.220446049250313e-16,0.23181861802004278,288,288,20000,256,0.03,160
1,Gradient (control),gradient,MACS0416,MACS J0416,0.18596014429000082,0.06527636650253028,0.018967012754256992,0.11745442862258898,0.00036284712828226834,0.12674274391854978,-0.09848896238078059,-0.012579496017368443,0.15773743865523845,0.06405279309851888,2.220446049250313e-16,0.22980574413668364,288,288,20000,256,0.03,160
1,Gradient (control),gradient,MACS1149,MACS J1149,0.08559205111477881,0.11556336632138196,0.23902221907516175,0.007503044877968726,0.10812500268698974,0.012020953045169697,-0.03243890908757914,-0.09306476324719898,0.07920679510776008,0.06851161563758894,2.220446049250313e-16,0.23254687013104558,288,288,20000,256,0.03,160
1,Gradient (control),gradient,AbellS1063,Abell S1063,0.1353950414190409,0.06971014058135759,0.08951008530735144,0.08360319633681881,-0.03831386987622781,0.09290241574484291,-0.05393297259251046,-0.02199898193895887,0.12418957970860244,0.06614792886796986,2.220446049250313e-16,0.22891566203907132,288,288,20000,256,0.03,160
1,Gradient (control),gradient,Abell370,Abell 370,0.17914589435421172,0.09173287793351412,0.1953536511633862,-0.0171367048166958,-0.03980978502957958,0.012167844121246184,-0.0674836225514129,-0.015467826596366079,0.1659494264868331,0.09041939633922443,2.220446049250313e-16,0.21625306410714984,288,288,20000,256,0.03,160
2,Local Neighbour Coherence,neighbour coherence,Abell2744,Abell 2744,0.14343518166808342,0.05724860755124785,0.02555200843344767,0.08602641258061179,-0.012931028445331609,0.09730302935648207,-0.05801932940433457,-0.005367494820260473,0.13117701306108248,0.05699643029095129,2.220446049250313e-16,0.22918420296628028,288,288,20000,256,0.03,160
2,Local Neighbour Coherence,neighbour coherence,MACS0416,MACS J0416,0.17308038419594962,0.06317707884151429,0.02346094957315662,0.11364219328469417,0.0010031554738130434,0.12389680138975115,-0.09737369759631778,-0.019916586492830846,0.14309151760268107,0.059955590843727834,2.220446049250313e-16,0.22184764698613435,288,288,20000,256,0.03,160
2,Local Neighbour Coherence,neighbour coherence,MACS1149,MACS J1149,0.08327742392685922,0.11704020936219105,0.2391190084712557,0.008170083053282503,0.09601373008645638,0.01124098962943526,-0.03331316977897374,-0.0954782322314809,0.07632405947780224,0.06769281924618678,2.220446049250313e-16,0.21389322902541608,288,288,20000,256,0.03,160
2,Local Neighbour Coherence,neighbour coherence,AbellS1063,Abell S1063,0.126077414545249,0.06860991439339473,0.09346934011095259,0.08103140360220147,-0.030555477364714183,0.08688438898390692,-0.050951379383086574,-0.0263186325114469,0.11532333414090724,0.0633612652635375,2.220446049250313e-16,0.21244027698412538,288,288,20000,256,0.03,160
2,Local Neighbour Coherence,neighbour coherence,Abell370,Abell 370,0.16048382659710878,0.08956506092904033,0.20631671653200145,0.012871535760719205,-0.029172744707107488,0.04055346396815388,-0.06460093858657534,-0.026506934474409223,0.14690737671398396,0.08555280570496844,2.220446049250313e-16,0.2145061610499397,288,288,20000,256,0.03,160
