candidate_number,candidate_name,candidate_family,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,median_rms_kappa,median_rms_gamma,mean_kappa_bias,std_kappa_bias,mean_gamma_bias,std_gamma_bias,mean_pearson_kappa,mean_pearson_gamma,max_conservation_error,median_runtime_seconds,n_clusters_with_positive_pearson_kappa,n_clusters_with_positive_pearson_gamma
1,Gradient (control),gradient,0.08951008530735144,0.08360319633681881,-0.01057957767497121,0.09290241574484291,0.1558016447600129,0.06971014058135759,-0.06234734786221767,0.02147857773703112,-0.028311712667677076,0.03327806377628225,0.11137085030847733,0.05618171664861549,2.220446049250313e-16,0.22980574413668364,5,4
2,Local Neighbour Coherence,neighbour coherence,0.09346934011095259,0.08103140360220147,-0.012931028445331609,0.08688438898390692,0.14343518166808342,0.06860991439339473,-0.0608517029498576,0.02103483975050778,-0.03471757610608567,0.03133787097846468,0.11758360462416281,0.06034832565630183,2.220446049250313e-16,0.2145061610499397,5,5
3,Cooperative Neighbour Response,cooperative response,0.09390719107780873,0.08036447397255711,-0.0006716969215228043,0.08638822677809543,0.14119101288048969,0.06633723856882769,-0.06114439646382151,0.02156894459291795,-0.03529783286831713,0.03066082537513288,0.10147681021891745,0.06172968211733778,2.220446049250313e-16,0.21594740310683846,4,4
4,Elastic Memory,elastic memory,0.09458271637575731,0.08242904852747251,-0.009290403902590946,0.09525493843840627,0.15550679140404888,0.06887400555359507,-0.0625772018495527,0.02164203443317563,-0.03018714192585606,0.032755481336758825,0.10666717059011928,0.05425021323150393,2.220446049250313e-16,0.21724963607266545,5,4
5,Gradient Curvature,gradient curvature,0.09282796974857636,0.08344616310096478,-0.009397399729156486,0.0936871240853611,0.1610021296336413,0.07029035529671007,-0.0627546074308692,0.021887898773428765,-0.02564460956574314,0.03408505305189196,0.11064072577183995,0.056674678288699196,2.220446049250313e-16,0.21840524894651026,5,4
6,Phase-Coherent Response,phase coherence,0.09670267155981405,0.0756994110087377,-0.006100102026690792,0.08153954552597525,0.13457182554231412,0.06724313557772447,-0.05888187420690869,0.021354642442426332,-0.0380664108496988,0.029646537829169983,0.11004636212201939,0.057380267616976975,2.220446049250313e-16,0.21582172298803926,5,4
7,Relaxation Response,relaxation,0.0899244116982756,0.07961756123592502,-0.004698540450767815,0.0868273657242844,0.14781071940494045,0.06801446148999435,-0.06170543222984626,0.021360668852870513,-0.03210739594639801,0.031885809936781605,0.10649050291754247,0.05742575988838268,2.220446049250313e-16,0.215562503086403,5,3
8,Weak-Gradient Enhancement,weak-gradient enhancement,0.06768269648002563,-0.02734154656745164,0.0018039969064904036,-0.0070326476944794075,0.33532135984501926,0.12790323258426375,-0.0652026430859032,0.015116545372017903,0.0570627384262433,0.03396163922023271,0.030387809441834363,0.01212962269237942,2.220446049250313e-16,0.21697614598087966,3,2
9,Constitutive Coupling,constitutive coupling,0.08944883970143155,0.08423177533458921,-0.010615365032790697,0.09392490613951023,0.15739191914414913,0.07001817602837503,-0.062469792298139995,0.021508550768887042,-0.027534914937173027,0.03358099658650759,0.11111272351774974,0.057558992442766355,2.220446049250313e-16,0.21579462417867035,5,4
10,Combined Local Response,combined response,0.10339683814108096,0.08236006923316277,-0.01173258724612844,0.09103655200761389,0.13989696057451279,0.0678596209492412,-0.061180008043671144,0.020995922106656288,-0.03786427711038008,0.030615656848852785,0.11330671534414057,0.06464614676483316,2.220446049250313e-16,0.22577949590049684,5,4
