x,observation,baryonic_gr,lcdm,pbuf
-8.000000000000000000e+00,1.161264920297100671e-153,2.635217601549461603e-155,2.344235994513946741e-165,6.943640079015473404e-154
-7.874015748031496287e+00,1.473266820202435321e-149,3.519645610399846373e-151,4.262632617454475408e-161,8.871113014208053228e-150
-7.748031496062992574e+00,1.641954101552173300e-145,4.129627649757654191e-147,6.809010145245925137e-157,9.956312660482898548e-146
-7.622047244094487972e+00,1.607570845360227505e-141,4.256497245347388376e-143,9.554755151103057600e-153,9.816314056178170591e-142
-7.496062992125984259e+00,1.382638778839869932e-137,3.854103045100384780e-139,1.177835519724172421e-148,8.502132446633998811e-138
-7.370078740157480546e+00,1.044664529844321843e-133,3.065658613568201321e-135,1.275496395046595910e-144,6.468994642813973665e-134
-7.244094488188975944e+00,6.933850416975378954e-130,2.142169164376922450e-131,1.213398147404691199e-140,4.323895809724941656e-130
-7.118110236220472231e+00,4.042979986097894786e-126,1.314962112319288428e-127,1.014044288386796648e-136,2.538885721244028953e-126
-6.992125984251968518e+00,2.070895660792234454e-122,7.090914024311883587e-124,7.444576937165383105e-133,1.309605798763388732e-122
-6.866141732283464805e+00,9.318464358040454826e-119,3.359082754237614054e-120,4.801231265467033281e-129,5.934273104429244994e-119
-6.740157480314961091e+00,3.683494132428193293e-115,1.397876134690903942e-116,2.720161767316596157e-125,2.362239748440539934e-115
-6.614173228346456490e+00,1.279101829169258375e-111,5.110297471932626147e-113,1.353836885880094479e-121,8.260568181721058035e-112
-6.488188976377952777e+00,3.901932581224674375e-108,1.641168511693947602e-109,5.919260543533106137e-118,2.537612886338323205e-108
-6.362204724409449064e+00,1.045644135740261827e-104,4.630092569084397759e-106,2.273516309149773340e-114,6.848103658897080203e-105
-6.236220472440944462e+00,2.461600405096130332e-101,1.147507877806930149e-102,7.671109732321916534e-111,1.623471928996346683e-101
-6.110236220472440749e+00,5.090737539396570726e-98,2.498337927904917322e-99,2.273776743185568691e-107,3.381027830269285845e-98
