module_name,version,status,source_path,source_sha256,test_path,test_sha256,certificate_path,certificate_sha256,conventions_version,dependencies,maximum_error,tolerance,independent_reference,wrong_controls,validated_date,supersedes,affected_labs
M01_conventions,1.0.0,verified,pbuf/core/conventions.py,3915bb578b005d6ed071685be3037b2a856dd3abbd600ba4c5c395b035b09e2e,pbuf/core/conventions.py,3915bb578b005d6ed071685be3037b2a856dd3abbd600ba4c5c395b035b09e2e,modules/M01_conventions/certificate.json,0c0a6bcb95325d7ab41dcc0d7f21121e18e705e404794aa1a018c146aa0f2377,1.0.0,,0.0,1e-15,yes,no,2026-08-06T19:36:22Z,experimental,pbuf.labs.recovery.pairwise_3d_field_path_recovery001
M02_coordinate_transforms,1.0.0,verified,pbuf/core/coordinate_transforms.py,6d6cfeccae56f394131d267a4bdb86908e1f96b074e2abe87df4828f7f51192e,pbuf/core/coordinate_transforms.py,6d6cfeccae56f394131d267a4bdb86908e1f96b074e2abe87df4828f7f51192e,modules/M02_coordinate_transforms/certificate.json,0921110559fc8a5edd21bbb0e9d2e5d89b4dcc2c687c8e941abd384f142bdb7e,1.0.0,M01,0.0,1e-15,yes,yes,2026-08-06T19:36:22Z,experimental,pbuf.labs.recovery.pairwise_3d_field_path_recovery001
M03_vector_transforms,1.0.0,verified,pbuf/core/vector_transforms.py,6a35cd114900f379a5eadea0bd72f7454dfd2f98b9040cd6c860fefec0557d7f,pbuf/core/vector_transforms.py,6a35cd114900f379a5eadea0bd72f7454dfd2f98b9040cd6c860fefec0557d7f,modules/M03_vector_transforms/certificate.json,a963f9d48f46ee545de168764f4943936c40c22b20c8a7f9608eb94c5f7ad068,1.0.0,M02,0.0,1e-14,yes,yes,2026-08-06T19:36:22Z,experimental,pbuf.labs.recovery.pairwise_3d_field_path_recovery001
M04_tensor_transforms,1.0.0,verified,pbuf/core/tensor_transforms.py,5b534bccee4c75d8e1b2150e44a01d1e919246e21e0b65d9f0c4a5a6f5f47768,pbuf/core/tensor_transforms.py,5b534bccee4c75d8e1b2150e44a01d1e919246e21e0b65d9f0c4a5a6f5f47768,modules/M04_tensor_transforms/certificate.json,9bedbc86b5c3333e3fd3e9e93ef5c24300a75e1c3327a775bbc9761dff6ac49a,1.0.0,M02,0.0,1e-14,yes,no,2026-08-06T19:36:22Z,experimental,pbuf.labs.recovery.pairwise_3d_field_path_recovery001
M05_pair_enumeration,1.0.0,verified,pbuf/core/pair_enumeration.py,ad3f07b45056e104a955d83a0139fb0386160fd28d3800c6c7cd351940e2fbca,pbuf/core/pair_enumeration.py,ad3f07b45056e104a955d83a0139fb0386160fd28d3800c6c7cd351940e2fbca,modules/M05_pair_enumeration/certificate.json,f0f93e1ac28eb47d1b9fdd102f2f8dfd15d71422fe7b23be751d9ecf23a49b12,1.0.0,M01,0.0,0.0,yes,no,2026-08-06T19:36:22Z,experimental,pbuf.labs.recovery.pairwise_3d_field_path_recovery001
M06_a8_pair_amplitude,1.0.0,verified,pbuf/models/a8_pair_amplitude.py,79261ab7f3ce69722a369a76324d4c13ead6fa35b706229720b8bed8a52b1c11,pbuf/models/a8_pair_amplitude.py,79261ab7f3ce69722a369a76324d4c13ead6fa35b706229720b8bed8a52b1c11,modules/M06_a8_pair_amplitude/certificate.json,7d09353444fad13c61ed9121580311d261f0b6257610cb6231a0d8d63ab92506,1.0.0,"M01,M05",0.0,1e-14,yes,no,2026-08-06T19:36:22Z,experimental,pbuf.labs.recovery.pairwise_3d_field_path_recovery001
M07_transverse_projector,1.0.0,verified,pbuf/models/transverse_projector.py,3fe82fa33bacb5d544e2c50a5d88a8e40eb76428b2657a1c037128e18ebb1bbc,pbuf/models/transverse_projector.py,3fe82fa33bacb5d544e2c50a5d88a8e40eb76428b2657a1c037128e18ebb1bbc,modules/M07_transverse_projector/certificate.json,9cd8f0c796091d476b414c08f1e7cd2a9666e7d5ef36d0e60a167a4fffb2a222,1.0.0,,5.551115123125783e-17,1e-14,yes,no,2026-08-06T19:36:22Z,experimental,pbuf.labs.recovery.pairwise_3d_field_path_recovery001
M08_pair_transfer,1.0.0,verified,pbuf/core/pair_transfer.py,9171fe4a8b92a7b2dbaac5c87d8850e2adc616525e4b88c01e6e68554dafb885,pbuf/core/pair_transfer.py,9171fe4a8b92a7b2dbaac5c87d8850e2adc616525e4b88c01e6e68554dafb885,modules/M08_pair_transfer/certificate.json,a6f0f8bc09abbefa493a5c629ab426516d173a7904ea3c892468ad930f253363,1.0.0,"M05,M07",0.0,1e-14,yes,no,2026-08-06T19:36:22Z,experimental,pbuf.labs.recovery.pairwise_3d_field_path_recovery001
M09_endpoint_assembly,1.0.0,verified,pbuf/core/pair_transfer.py,9171fe4a8b92a7b2dbaac5c87d8850e2adc616525e4b88c01e6e68554dafb885,pbuf/core/pair_transfer.py,9171fe4a8b92a7b2dbaac5c87d8850e2adc616525e4b88c01e6e68554dafb885,modules/M09_endpoint_assembly/certificate.json,cc40d66d4fd6ddbe65eb09fe0dc1d665d990b4c1eb62a910713e129b9b69211c,1.0.0,M08,2.432376777795247e-15,1e-14,yes,no,2026-08-06T19:36:22Z,experimental,pbuf.labs.recovery.pairwise_3d_field_path_recovery001
M10_midpoint_rasterization,1.0.0,verified,pbuf/core/pair_transfer.py,9171fe4a8b92a7b2dbaac5c87d8850e2adc616525e4b88c01e6e68554dafb885,pbuf/core/pair_transfer.py,9171fe4a8b92a7b2dbaac5c87d8850e2adc616525e4b88c01e6e68554dafb885,modules/M10_midpoint_rasterization/certificate.json,16eedbfaafc3b4131337547ac52ff3dfd3da5263065d3f82e70a6c200123d90a,1.0.0,"M08,M09",5.817019814258163,1e-14,yes,no,2026-08-06T19:36:22Z,experimental,pbuf.labs.recovery.pairwise_3d_field_path_recovery001
