launch,launch_label,nphotons,cells_visited_pct,launch_cells_pct,final_cells_pct,max_travel_distance,mean_travel_distance,max_y_deviation
A,1D edge launch (control),2000,11.370849609375,0.299072265625,0.299072265625,4.739983926965566,4.739747037054445,0.1240656556032258
A,1D edge launch (control),5000,11.370849609375,0.299072265625,0.299072265625,4.739983926965566,4.739747042743584,0.12538368931353516
A,1D edge launch (control),10000,11.370849609375,0.299072265625,0.299072265625,4.739983926965566,4.739747098151919,0.12538368931353516
A,1D edge launch (control),20000,11.370849609375,0.299072265625,0.299072265625,4.739986007338164,4.739747078371591,0.12538368931353516
B,Uniform Cartesian 2D grid,2000,18.084716796875,6.591796875,6.53076171875,4.73998525848049,4.739751652621193,0.12525367053352987
B,Uniform Cartesian 2D grid,5000,18.377685546875,7.03125,7.11669921875,4.7399850081122175,4.7397491086577,0.12212013982086534
B,Uniform Cartesian 2D grid,10000,18.408203125,7.03125,7.12890625,4.739985447470971,4.7397399083243865,0.1611682280800384
B,Uniform Cartesian 2D grid,20000,18.5302734375,7.03125,7.220458984375,4.739985447470971,4.739746246595185,0.14297704787694931
C,Hexagonal packing,2000,18.37158203125,7.0556640625,6.8603515625,4.73998525848049,4.739749053530872,0.1330254661204967
C,Hexagonal packing,5000,18.5302734375,7.14111328125,7.159423828125,4.7399850081122175,4.739744765367171,0.1597784401919139
C,Hexagonal packing,10000,18.66455078125,7.2998046875,7.177734375,4.739985447470971,4.739744211342631,0.1422268082794348
C,Hexagonal packing,20000,18.71337890625,7.32421875,7.2265625,4.739985799755548,4.739747673179377,0.15686330258367936
D,Jittered Cartesian grid (seed=123456),2000,18.5546875,6.54296875,6.50634765625,4.7399852200759245,4.739749140470803,0.1334264669953127
D,Jittered Cartesian grid (seed=123456),5000,18.76220703125,7.03125,7.281494140625,4.739985447470971,4.739745414534094,0.13234709021038027
D,Jittered Cartesian grid (seed=123456),10000,18.78662109375,7.03125,7.354736328125,4.739985799755548,4.7397460671864104,0.15350173757640695
D,Jittered Cartesian grid (seed=123456),20000,18.83544921875,7.03125,7.4462890625,4.739985336501924,4.739746163059645,0.15126346520891087
E,Multi-resolution (dense central),2000,18.20068359375,5.16357421875,5.126953125,4.739985336501925,4.739730148066076,0.11173659880159847
E,Multi-resolution (dense central),5000,18.389892578125,5.438232421875,5.46875,4.739984922228879,4.739726032214542,0.148204097751783
E,Multi-resolution (dense central),10000,18.505859375,5.6640625,5.74951171875,4.739984954028152,4.739726044814584,0.1398521106918036
E,Multi-resolution (dense central),20000,18.670654296875,5.95703125,6.0546875,4.739985008112216,4.739730837426161,0.1495977532743688
