launch,launch_label,nphotons,method,method_label,runtime_seconds,kappa_min,kappa_max,kappa_mean,kappa_std,kappa_dynamic_range,kappa_n_finite,gamma_min,gamma_max,gamma_mean,gamma_std,gamma_dynamic_range,gamma_n_finite,deflection_x_max,deflection_y_max,max_conservation_error,method_metadata_json
A,1D edge launch (control),5000,jacobian,Ray-bundle Jacobian (linear fit per bin),0.03515918995253742,1.0,1.0,1.0,0.0,0.0,24,0.35796789828390313,0.7398730519924842,0.5006272837844405,0.07472058198881153,0.3819051537085811,24,4.7399513305325485,0.08218002937998936,2.220446049250313e-16,"{""fit_per_bin"": [{""bin"": [20, 0], ""n_photons"": 209, ""det_J"": 0.0}, {""bin"": [21, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [22, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [23, 0], ""n_photons"": 209, ""det_J"": 0.0}, {""bin"": [24, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [25, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [26, 0], ""n_photons"": 209, ""det_J"": 0.0}, {""bin"": [27, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [28, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [29, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [30, 0], ""n_photons"": 209, ""det_J"": 0.0}, {""bin"": [31, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [32, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [33, 0], ""n_photons"": 209, ""det_J"": 0.0}, {""bin"": [34, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [35, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [36, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [37, 0], ""n_photons"": 209, ""det_J"": 0.0}, {""bin"": [38, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [39, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [40, 0], ""n_photons"": 209, ""det_J"": 0.0}, {""bin"": [41, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [42, 0], ""n_photons"": 208, ""det_J"": 0.0}, {""bin"": [43, 0], ""n_photons"": 208, ""det_J"": 0.0}]}"
A,1D edge launch (control),5000,area,Finite area distortion (initial vs final spread),0.03440542006865144,-21218388737.211826,-1015620748.0723149,-5182129288.913703,5054671894.770707,20202767989.13951,24,6943878195.958358,185065074150.81976,42854418759.35152,39075941747.211586,178121195954.86142,24,4.7399513305325485,0.08218002937998936,2.220446049250313e-16,"{""formula"": ""kappa = 1 - sqrt(det(C_f)/det(C_i))""}"
A,1D edge launch (control),5000,divergence,Displacement divergence (∇·d),0.0008731409907341003,-9.54555169154484,-9.357541199452212,-9.479307633586743,0.04157968568611443,0.1880104920926282,25,9.41425687794828,10.60785669608261,9.569747819772466,0.3047427629367327,1.1935998181343308,25,4.739951330532556,0.08218002937998911,2.220446049250313e-16,"{""formula"": ""kappa = 0.5 * div(x_final - x_initial)""}"
A,1D edge launch (control),5000,knn,Adaptive k-nearest-neighbour density,0.006603630026802421,-1.8023327023383224,0.03536271450098872,-0.4191083800722911,0.5358536416308072,1.8376954168393111,25,0.0,10.60785669608261,0.08965354900659872,0.8364119454143877,10.60785669608261,4096,4.739951330532556,0.08218002937998911,2.220446049250313e-16,"{""k_neighbours"": 8}"
A,1D edge launch (control),5000,voronoi,Voronoi area method,0.20081636391114444,-20.718266531401024,1.0,-13.620292697437785,3.9798739716873426,21.718266531401024,25,0.0,10.60785669608261,0.08965354900659872,0.8364119454143877,10.60785669608261,4096,4.739951330532556,0.08218002937998911,2.220446049250313e-16,"{""method"": ""Voronoi (final positions) vs uniform initial 1D spacing"", ""A_init_uniform"": 0.001200240048009602, ""A_fin_mean"": 0.018274448332174904, ""A_fin_std"": 0.04736665118004773}"
A,1D edge launch (control),5000,triangulation,Delaunay triangulation area method,0.034955917042680085,-21218388737.211826,-1015620748.0723149,-5182129288.913703,5054671894.770707,20202767989.13951,24,6943878195.958358,185065074150.81976,42854418759.35152,39075941747.211586,178121195954.86142,24,4.7399513305325485,0.08218002937998936,2.220446049250313e-16,"{""formula"": ""kappa = 1 - sqrt(det(C_f)/det(C_i))""}"
A,1D edge launch (control),10000,histogram,Histogram occupancy (current control),0.0011419740039855242,-0.5,-0.5,-0.5,0.0,0.0,25,0.0,4.739952670827663,0.06265017095648824,0.5406249157625239,4.739952670827663,4096,4.739947570404927,0.08277637795031909,2.220446049250313e-16,"{""bins"": 64, ""edges_extent"": 8.0}"
A,1D edge launch (control),10000,kernel,Gaussian KDE (Scott bandwidth),0.9395426569972187,-0.5,-0.5,-0.5,0.0,0.0,440,0.0,10.609720786345997,0.08965399085236497,0.836417183154608,10.609720786345997,4096,4.739953913433092,0.08216387660099933,2.220446049250313e-16,"{""h_init"": [0.3731963522418419, 0.3731963522418419], ""h_final"": [5.229908968016679e-05, 0.37376036300673343], ""n_photons"": 10000}"
A,1D edge launch (control),10000,jacobian,Ray-bundle Jacobian (linear fit per bin),0.04801125603262335,1.0,1.0,1.0,0.0,0.0,24,0.3582033903722239,0.7405090679015828,0.5005848714795276,0.07484687528667636,0.3823056775293589,24,4.739951228959455,0.08216387663044455,2.220446049250313e-16,"{""fit_per_bin"": [{""bin"": [20, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [21, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [22, 0], ""n_photons"": 416, ""det_J"": 0.0}, {""bin"": [23, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [24, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [25, 0], ""n_photons"": 416, ""det_J"": 0.0}, {""bin"": [26, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [27, 0], ""n_photons"": 416, ""det_J"": 0.0}, {""bin"": [28, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [29, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [30, 0], ""n_photons"": 416, ""det_J"": 0.0}, {""bin"": [31, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [32, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [33, 0], ""n_photons"": 416, ""det_J"": 0.0}, {""bin"": [34, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [35, 0], ""n_photons"": 416, ""det_J"": 0.0}, {""bin"": [36, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [37, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [38, 0], ""n_photons"": 416, ""det_J"": 0.0}, {""bin"": [39, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [40, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [41, 0], ""n_photons"": 416, ""det_J"": 0.0}, {""bin"": [42, 0], ""n_photons"": 417, ""det_J"": 0.0}, {""bin"": [43, 0], ""n_photons"": 416, ""det_J"": 0.0}]}"
A,1D edge launch (control),10000,area,Finite area distortion (initial vs final spread),0.047926914994604886,-21096613676.91682,-978845048.1299767,-5164187483.310337,5027732494.963759,20117768628.786842,24,6700168901.763391,184445244251.56335,42724084238.850044,38962706115.094055,177745075349.79996,24,4.739951228959455,0.08216387663044455,2.220446049250313e-16,"{""formula"": ""kappa = 1 - sqrt(det(C_f)/det(C_i))""}"
