candidate,reference_label,bend_max,bend_mean,conservation,speed_drift_pre_max,speed_drift_pre_mean,direction_drift_mean,position_error,stable,runtime
Candidate 1,Constitutive gradient ∇C,6.618073109838521e-05,1.8352883187492635e-05,1.399395725876218e-05,1.399395725876218e-05,1.966209305654449e-07,1.0876030232817946e-06,0.000593577186375274,True,0.013776063919067383
Candidate 2,Stress gradient ∇|∇C|/(C+ε),6.617993533157668e-05,1.8332692096185026e-05,1.435708961627924e-05,1.435708961627924e-05,2.009734336297364e-07,1.0863514572894857e-06,0.0005929705460434751,True,0.013495445251464844
Candidate 3,Energy gradient C·∇C,6.618073200955672e-05,1.8354049948700077e-05,1.3993957264979429e-05,1.3993957264979429e-05,1.9655878131611773e-07,1.0876421887331073e-06,0.0005936679311124189,True,0.013578414916992188
Candidate 4,Traction (∇C·N̂)N̂,6.617901669116225e-05,1.8296203656961144e-05,1.4759076642167912e-05,1.4759076642167912e-05,2.0707529544417013e-07,1.0844834157584996e-06,0.0005917083187660571,True,0.013558149337768555
Candidate 5,Force density ∇(∇²C),6.617975001699818e-05,1.8329343400600826e-05,1.4452434585643381e-05,1.4452434585643381e-05,2.01848358833782e-07,1.0861294944651478e-06,0.0005928810664691695,True,0.013581991195678711
Candidate 6,Principal strain direction,6.617803955413613e-05,1.8275883996637745e-05,1.4971938991470424e-05,1.4971938991470424e-05,2.106043000462934e-07,1.0833095787157497e-06,0.0005910090968224173,True,0.013594627380371094
Candidate 7,Principal stress direction,6.617517686280158e-05,1.8193660592561565e-05,1.5895127862153302e-05,1.5895127862153302e-05,2.2369894901391124e-07,1.0791730838786616e-06,0.0005878598095044894,True,0.01359868049621582
