Candidate,Bend,Conservation,Speed Drift,Stable
Candidate 1,6.6181e-05,1.3994e-05,1.3994e-05,yes
Candidate 2,6.6180e-05,1.4357e-05,1.4357e-05,yes
Candidate 3,6.6181e-05,1.3994e-05,1.3994e-05,yes
Candidate 4,6.6179e-05,1.4759e-05,1.4759e-05,yes
Candidate 5,6.6180e-05,1.4452e-05,1.4452e-05,yes
Candidate 6,6.6178e-05,1.4972e-05,1.4972e-05,yes
Candidate 7,6.6175e-05,1.5895e-05,1.5895e-05,yes
