transform,reversing_pair_count,E_pair_amplitude_oriented,E_pair_response_even,E_pair_response_odd,E_endpoint,E_interface,E_LOS_endpoint,E_LOS_interface,endpoint_closure,endpoint_energy,interface_energy,interface_pair_count_ok
RC0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.4092960140259168e-17,5.983317615058681e-05,1.2839170935185423e-05,True
RC1,0,2.523587160990623e-16,5.681142458948091e-16,2.0000000000000004,8.577647602870153e-16,8.99265912922513e-16,4.06877732342005e-16,4.715346077940668e-16,6.999614599552817e-18,5.9833176150586814e-05,1.2839170935185421e-05,True
RC2,0,2.9357193585078185e-16,8.519242847935669e-16,2.0000000000000004,1.2399814533828713e-15,1.3948670028773022e-15,5.384344980159682e-16,6.181713631666792e-16,1.760994331127459e-18,5.9833176150586814e-05,1.2839170935185421e-05,True
RC3,0,2.838034110675343e-16,7.33839181832272e-16,2.0000000000000004,1.0655642628092297e-15,1.2054063129473219e-15,4.2316674866463847e-16,4.831401008653246e-16,2.4170657673275607e-18,5.983317615058681e-05,1.2839170935185423e-05,True
RC4,32768,2.977927065169342e-16,8.037668988304315e-16,2.0000000000000004,1.2157923426804176,1.330345244221303e-15,4.242889237892122e-16,5.135412167950541e-16,2.3107754301554793e-18,5.983880412448444e-05,1.2839170935185423e-05,True
RC5,36288,3.0449206898304067e-16,8.385918857310313e-16,2.0000000000000004,1.1469657701352303,1.3738822090496204e-15,1.4587055298248333,5.798979349685016e-16,2.4592516005851594e-18,6.316764494962521e-05,1.2839170935185423e-05,True
RC6,36288,2.523587160990623e-16,5.681142458948091e-16,2.0000000000000004,1.14948675361989,8.99265912922513e-16,1.4590509383483254,4.715346077940668e-16,1.454609855418324e-18,6.337397212669973e-05,1.2839170935185423e-05,True
