transform,mapped_pair_count,missing_pair_count,orientation_reversing_pair_count,E_pair_amplitude_oriented,E_pair_response_even,E_pair_response_odd
RC0,105344,0,0,0.0,0.0,2.0
RC1,105344,0,0,2.523587160990623e-16,5.681142458948091e-16,2.0000000000000004
RC2,105344,0,0,2.9357193585078185e-16,8.519242847935669e-16,2.0000000000000004
RC3,105344,0,0,2.838034110675343e-16,7.33839181832272e-16,2.0000000000000004
RC4,105344,0,32768,2.977927065169342e-16,8.037668988304315e-16,2.0000000000000004
RC5,105344,0,36288,3.0449206898304067e-16,8.385918857310313e-16,2.0000000000000004
RC6,105344,0,36288,2.523587160990623e-16,5.681142458948091e-16,2.0000000000000004
