transform,E_LOS_endpoint_after_native_backtransform,E_LOS_interface_after_native_backtransform
RC0,0.0,0.0
RC1,4.06877732342005e-16,4.715346077940668e-16
RC2,5.384344980159682e-16,6.181713631666792e-16
RC3,4.2316674866463847e-16,4.831401008653246e-16
RC4,4.242889237892122e-16,5.135412167950541e-16
RC5,1.4587055298248333,5.798979349685016e-16
RC6,1.4590509383483254,4.715346077940668e-16
