transform,E_endpoint,endpoint_energy,endpoint_global_sum_norm,orientation_reversing_pair_count
RC0,0.0,5.983317615058681e-05,1.4092960140259168e-17,0
RC1,8.577647602870153e-16,5.9833176150586814e-05,6.999614599552817e-18,0
RC2,1.2399814533828713e-15,5.9833176150586814e-05,1.760994331127459e-18,0
RC3,1.0655642628092297e-15,5.983317615058681e-05,2.4170657673275607e-18,0
RC4,1.2157923426804176,5.983880412448444e-05,2.3107754301554793e-18,32768
RC5,1.1469657701352303,6.316764494962521e-05,2.4592516005851594e-18,36288
RC6,1.14948675361989,6.337397212669973e-05,1.454609855418324e-18,36288
